frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9530,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.034,1,304.68,17,0.9493,1.2981,1,0,1,-1,LOW CONF,0.0000
2,0.067,1,304.09,17,0.9533,6.9878,6,2,1,-1,LOW CONF,0.0000
3,0.101,1,304.67,17,0.9545,6.9812,10,4,1,-1,LOW CONF,0.0000
4,0.134,1,304.66,17,0.9612,0.8808,6,5,1,-1,LOW CONF,0.0000
5,0.168,1,304.66,17,0.9618,0.5963,4,4,1,-1,LOW CONF,0.0000
6,0.201,1,307.15,17,0.9642,1.0408,3,4,1,-1,LOW CONF,0.0000
7,0.235,1,307.65,17,0.9603,0.9376,3,4,1,-1,LOW CONF,0.0000
8,0.269,1,307.65,17,0.9638,1.5400,3,4,1,-1,LOW CONF,0.0000
9,0.302,1,306.80,17,0.9734,4.4975,5,4,1,-1,LOW CONF,0.0000
10,0.336,1,306.66,17,0.9752,2.7903,5,4,1,-1,LOW CONF,0.0000
11,0.369,1,309.06,17,0.9780,5.3676,8,4,1,-1,LOW CONF,0.0000
12,0.403,1,313.00,17,0.9705,5.2681,9,5,1,-1,LOW CONF,0.0000
13,0.437,1,312.00,17,0.9641,2.1361,7,5,1,-1,LOW CONF,0.0000
14,0.470,1,312.50,17,0.9601,2.2755,6,5,1,-1,LOW CONF,0.0000
15,0.504,1,313.00,17,0.9606,2.0734,5,5,1,-1,LOW CONF,0.0000
16,0.537,1,312.50,17,0.9548,2.4699,5,5,1,-1,LOW CONF,0.7789
17,0.571,1,309.56,17,0.9550,5.3436,7,5,1,-1,LOW CONF,0.7789
18,0.604,1,309.06,17,0.9515,1.9760,6,5,1,-1,LOW CONF,0.6921
19,0.638,1,312.50,17,0.9461,4.8821,8,5,1,-1,LOW CONF,0.6921
20,0.672,1,307.06,17,0.9526,4.3342,8,5,1,-1,LOW CONF,0.6539
21,0.705,1,305.56,17,0.9545,2.2573,7,6,1,-1,LOW CONF,0.6539
22,0.739,1,304.20,17,0.9555,3.8816,7,6,1,-1,LOW CONF,0.6437
23,0.772,1,305.38,17,0.9597,5.7176,9,6,1,-1,LOW CONF,0.6437
24,0.806,1,292.15,17,0.9708,7.7371,13,6,1,-1,LOW CONF,0.6332
25,0.839,1,298.77,17,0.9710,10.2955,16,6,1,-1,LOW CONF,0.6332
26,0.873,1,302.34,17,0.9627,10.2887,19,7,1,-1,LOW CONF,0.6426
27,0.907,1,300.26,17,0.9654,2.3266,13,7,1,-1,LOW CONF,0.6426
28,0.940,1,301.73,17,0.9607,1.4591,9,7,1,-1,LOW CONF,0.6924
29,0.974,1,303.20,17,0.9600,1.9365,7,7,1,-1,LOW CONF,0.6924
30,1.007,1,300.67,17,0.9696,1.9202,6,7,1,-1,LOW CONF,0.7168
31,1.041,1,303.53,17,0.9658,5.5366,8,7,1,-1,LOW CONF,0.7168
32,1.074,1,306.51,17,0.9664,1.8013,6,7,1,-1,LOW CONF,0.7521
33,1.108,1,308.51,17,0.9662,1.9261,5,7,1,-1,LOW CONF,0.7521
34,1.142,1,304.56,17,0.9704,4.7856,7,7,1,-1,LOW CONF,0.7567
35,1.175,1,304.56,17,0.9719,1.5171,5,7,1,-1,LOW CONF,0.7567
36,1.209,1,304.57,17,0.9696,1.6869,5,7,1,-1,LOW CONF,0.7358
37,1.242,1,302.60,17,0.9676,2.6153,5,7,1,-1,LOW CONF,0.7358
38,1.276,1,303.11,17,0.9703,1.7982,4,7,1,-1,LOW CONF,0.7157
39,1.310,1,301.62,17,0.9724,0.9231,3,7,1,-1,LOW CONF,0.7157
40,1.343,1,294.53,17,0.9738,6.3331,8,7,1,-1,LOW CONF,0.7020
41,1.377,1,302.12,17,0.9738,6.7397,10,7,1,-1,LOW CONF,0.7020
42,1.410,1,303.22,17,0.9767,5.4030,11,7,1,-1,LOW CONF,0.7979
43,1.444,1,302.17,17,0.9782,1.1111,7,7,1,-1,LOW CONF,0.7979
44,1.477,1,304.14,17,0.9768,1.8995,6,7,1,4,STOP,0.8154
45,1.511,1,302.04,17,0.9663,5.4799,8,7,1,4,STOP,0.8154
46,1.545,1,304.15,17,0.9697,6.0681,10,7,1,4,STOP,0.8209
47,1.578,1,297.51,17,0.9635,9.9147,15,7,1,4,STOP,0.8209
48,1.612,1,305.66,17,0.9719,9.3519,17,7,1,4,STOP,0.8077
49,1.645,1,305.66,17,0.9710,1.2917,11,7,1,4,STOP,0.8077
50,1.679,1,306.15,17,0.9675,1.4216,8,7,1,4,STOP,0.8133
51,1.712,1,305.66,17,0.9669,1.0366,5,7,1,4,STOP,0.8133
