video_index,video_name,behavior,frame,time_sec,midback_offset_ratio,midback_angle,body_axis_score_jitter
1,shake5772,shake,16,0.64,0.5505495071411133,84.39676587078635,1.3716855540498187
1,shake5772,shake,18,0.72,0.5505455732345581,84.29605661167865,0.7761290588095591
1,shake5772,shake,20,0.8,0.5508861541748047,84.19658088469016,0.8162991483689126
1,shake5772,shake,22,0.88,0.551659107208252,83.70279974056986,1.3904592948991592
1,shake5772,shake,24,0.96,0.5529182553291321,83.52478502854336,1.8060121697741351
1,shake5772,shake,26,1.04,0.5544586181640625,83.4340291867514,1.892162665505424
1,shake5772,shake,28,1.12,0.5555095672607422,83.66568892196166,1.892162665505424
1,shake5772,shake,30,1.2,0.5570651888847351,83.14557473557005,2.1867521376670425
1,shake5772,shake,32,1.28,0.5584847927093506,83.40253852360078,2.366038073736945
1,shake5772,shake,34,1.36,0.5579430460929871,84.88896883194042,2.366038073736945
1,shake5772,shake,36,1.44,0.5621120929718018,79.8892340432763,6.808446980610782
1,shake5772,shake,38,1.52,0.5669450759887695,77.38464877988561,10.440511240360834
1,shake5772,shake,40,1.6,0.5597180724143982,89.73963498747368,10.458590847224485
1,shake5772,shake,42,1.68,0.5530993938446045,91.3705292837333,10.527652467278259
1,shake5772,shake,44,1.76,0.5500280261039734,85.99218957771222,10.527652467278259
1,shake5772,shake,46,1.84,0.54680335521698,85.90074363405866,10.527652467278259
1,shake5772,shake,48,1.92,0.5492802858352661,80.06251711444591,10.527652467278259
1,shake5772,shake,50,2.0,0.5584204196929932,77.43335568786783,10.527652467278259
1,shake5772,shake,52,2.08,0.5631953477859497,77.75734004225637,10.527652467278259
1,shake5772,shake,54,2.16,0.566547155380249,77.1870803277693,10.56085091423472
1,shake5772,shake,56,2.24,0.5821212530136108,76.8514382748367,11.322290237349478
1,shake5772,shake,58,2.32,0.5978184938430786,76.3237274436469,11.767897733147962
1,shake5772,shake,60,2.4,0.610406756401062,76.43557625119843,12.177520963563822
1,shake5772,shake,62,2.48,0.6231791973114014,75.7708827575145,9.984284382559764
1,shake5772,shake,64,2.56,0.6294936537742615,76.70807590975802,3.338889847102891
1,shake5772,shake,66,2.64,0.6316214203834534,75.8329958913355,3.338889847102891
1,shake5772,shake,68,2.72,0.6363255381584167,73.50275424454375,6.7144469393657715
1,shake5772,shake,70,2.8,0.6503773927688599,66.42880567597621,17.34566318653843
1,shake5772,shake,72,2.88,0.6766400337219238,59.53811276897016,28.27852032959673
1,shake5772,shake,74,2.96,0.7120233178138733,57.406667506177406,33.52030260076936
1,shake5772,shake,76,3.04,0.7465074062347412,58.12686353145851,33.79503780112899
1,shake5772,shake,78,3.12,0.7818165421485901,55.33896895885981,35.904925456168414
1,shake5772,shake,80,3.2,0.8263487815856934,53.194917273559184,38.874081690245525
1,shake5772,shake,82,3.28,0.8686007261276245,53.659411347375766,37.0935394129616
1,shake5772,shake,84,3.36,0.9064502716064453,53.634562890730734,30.22679983974941
1,shake5772,shake,86,3.44,0.9580462574958801,44.10131521996478,34.04199496698173
1,shake5772,shake,88,3.52,1.0166280269622803,41.61667902115905,29.445314215629434
1,shake5772,shake,90,3.6,1.0749287605285645,38.126397314379815,34.970422852825905
1,shake5772,shake,92,3.68,1.1537985801696777,33.75803503591481,41.11559452761436
1,shake5772,shake,94,3.76,1.2170382738113403,37.895502911197475,36.77806119480277
1,shake5772,shake,96,3.84,1.2896586656570435,33.99361396370273,36.77806119480277
1,shake5772,shake,98,3.92,1.349584937095642,38.703858854710404,36.77806119480277
1,shake5772,shake,100,4.0,1.4669098854064941,27.54475176928193,32.92960883547697
1,shake5772,shake,102,4.08,1.559580683708191,31.979081867715557,20.03290390859746
1,shake5772,shake,104,4.16,1.6155509948730469,30.152095297225827,18.777871805246747
1,shake5772,shake,106,4.24,1.6846576929092407,30.462672092354556,15.515035594772316
1,shake5772,shake,108,4.32,1.7124035358428955,30.937228701664417,15.515035594772316
1,shake5772,shake,110,4.4,1.7863808870315552,28.202373067067956,14.666381663014738
1,shake5772,shake,112,4.48,1.8406879901885986,27.38881820104018,14.666381663014738
1,shake5772,shake,114,4.56,1.8878878355026245,32.11288596869808,6.079799177698714
1,shake5772,shake,116,4.64,1.8822304010391235,30.26287670575341,6.079799177698714
1,shake5772,shake,118,4.72,1.8892199993133545,27.754024598798573,5.495488924564759
1,shake5772,shake,120,4.8,1.8908354043960571,33.37898751313976,7.466962333005297
1,shake5772,shake,122,4.88,1.8487107753753662,34.40240807187001,8.786042454230806
1,shake5772,shake,124,4.96,1.839722990989685,34.20217169036783,8.786042454230806
1,shake5772,shake,126,5.04,1.7957205772399902,34.38043053207547,8.689126721654228
1,shake5772,shake,128,5.12,1.7125041484832764,42.96166911699236,20.962406054204365
1,shake5772,shake,130,5.2,1.6567809581756592,38.83477187831253,20.962406054204365
1,shake5772,shake,132,5.28,1.633036732673645,31.827631722980907,20.962406054204365
1,shake5772,shake,134,5.36,1.5907983779907227,31.159168058827635,19.522370349389302
1,shake5772,shake,136,5.44,1.6847403049468994,19.35197239768425,26.741757644916873
1,shake5772,shake,138,5.52,1.8201220035552979,19.225087032514192,26.772168029826275
1,shake5772,shake,140,5.6,2.4261765480041504,4.535139262056483,27.816565526307183
1,shake5772,shake,142,5.68,2.4635860919952393,26.971641202151066,27.816565526307183
1,shake5772,shake,144,5.76,2.493995189666748,35.93535222959488,23.20210776011097
1,shake5772,shake,146,5.84,2.4417481422424316,55.76751526755164,50.36042055853153
1,shake5772,shake,148,5.92,2.3434267044067383,58.233229919784186,57.72771569143532
1,shake5772,shake,150,6.0,2.258883476257324,53.75815864720243,57.72771569143532
1,shake5772,shake,152,6.08,2.0674781799316406,56.836579159985675,57.72771569143532
1,shake5772,shake,154,6.16,1.8408876657485962,61.018116895857474,59.52365115151227
1,shake5772,shake,156,6.24,1.1326252222061157,58.24868937581182,53.80343081093318
1,shake5772,shake,158,6.32,1.0084774494171143,58.699861535543654,45.98949865306734
1,shake5772,shake,160,6.4,0.9326004385948181,54.619983601084236,19.14377870668526
1,shake5772,shake,162,6.48,0.9318010210990906,54.47715544217185,19.14377870668526
1,shake5772,shake,164,6.56,0.928921639919281,57.62676368969541,22.59564300257226
1,shake5772,shake,166,6.64,0.9187774658203125,64.5501258212801,24.967625238549935
1,shake5772,shake,168,6.72,0.8914105892181396,65.66340373379681,26.692719121491486
1,shake5772,shake,170,6.8,0.8758354783058167,68.22347704491813,30.40228469771639
1,shake5772,shake,172,6.88,0.8490227460861206,76.0841477272183,39.28331383874582
1,shake5772,shake,174,6.96,0.8039188385009766,77.8923863753452,37.141454959417054
1,shake5772,shake,176,7.04,0.7607690095901489,76.52276297222012,36.103044602499764
1,shake5772,shake,178,7.12,0.7190383076667786,78.83836651309055,30.95449644074195
1,shake5772,shake,180,7.2,0.6851853132247925,80.77551460942757,30.95449644074195
1,shake5772,shake,182,7.28,0.6520473957061768,80.2455557680372,16.709917341629108
1,shake5772,shake,184,7.36,0.6361215114593506,74.86488804471156,15.316917664883746
1,shake5772,shake,186,7.44,0.6302155256271362,70.09581496056468,11.542239447626315
1,shake5772,shake,188,7.52,0.6335459351539612,71.01492630589378,11.542239447626315
1,shake5772,shake,190,7.6,0.638139009475708,76.18100548964439,9.923850948303325
1,shake5772,shake,192,7.68,0.6410682797431946,74.06749016057378,9.495262555264674
1,shake5772,shake,194,7.76,0.6429557800292969,73.50682168428479,9.495262555264674
1,shake5772,shake,196,7.84,0.6429920792579651,83.9130911188353,13.10523117657938
1,shake5772,shake,198,7.92,0.6423212289810181,81.72749221557365,13.10523117657938
1,shake5772,shake,200,8.0,0.6410822868347168,74.60260831644923,13.10523117657938
1,shake5772,shake,202,8.08,0.632372260093689,75.67152645455182,12.00343947876732
1,shake5772,shake,204,8.16,0.6214079260826111,81.21613438485497,10.731162302632555
1,shake5772,shake,206,8.24,0.6137288808822632,80.31702895180096,7.944319169776065
1,shake5772,shake,208,8.32,0.6040632128715515,82.29863419106015,7.68535012396984
1,shake5772,shake,210,8.4,0.592926561832428,84.41296056646016,6.9558405655268984
1,shake5772,shake,212,8.48,0.589317798614502,83.3400927135462,6.603795430228914
1,shake5772,shake,214,8.56,0.5857433080673218,84.32352509855325,5.371241092316382
1,shake5772,shake,216,8.64,0.5762194395065308,84.41059633011426,4.451998025316783
1,shake5772,shake,218,8.72,0.572248637676239,78.45426586838497,3.733560644945129
1,shake5772,shake,220,8.8,0.5744313597679138,77.24276694706057,5.035470554134079
1,shake5772,shake,222,8.88,0.5816413164138794,76.3246526991927,6.865199441423542
1,shake5772,shake,224,8.96,0.5848144888877869,78.7684486902223,6.865199441423542
1,shake5772,shake,226,9.04,0.5909075736999512,79.88115211594891,6.865199441423542
1,shake5772,shake,228,9.12,0.5980485677719116,76.80361603776744,6.865199441423542
1,shake5772,shake,230,9.2,0.603317141532898,81.76474316644854,6.330794979356611
1,shake5772,shake,232,9.28,0.6031354665756226,83.92493557324337,5.560619911723023
1,shake5772,shake,234,9.36,0.5996666550636292,82.11453862278232,5.560619911723023
1,shake5772,shake,236,9.44,0.5937246680259705,81.89080230902553,5.560619911723023
1,shake5772,shake,238,9.52,0.5866216421127319,80.81483088268095,5.598979810111757
1,shake5772,shake,240,9.6,0.5847347974777222,79.93805778344715,6.6180619538156265
1,shake5772,shake,242,9.68,0.5795817971229553,83.34182518190836,6.6180619538156265
1,shake5772,shake,244,9.76,0.571291446685791,83.46103973153981,8.272731029767854
1,shake5772,shake,246,9.84,0.5628470182418823,88.44712796342115,8.272731029767854
1,shake5772,shake,248,9.92,0.5569367408752441,92.09111872991868,9.61610566100292
1,shake5772,shake,250,10.0,0.5443998575210571,93.49540100219211,9.61610566100292
1,shake5772,shake,252,10.08,0.5344440937042236,90.62592138032564,9.61610566100292
1,shake5772,shake,254,10.16,0.5260875821113586,85.84204463135725,9.672473272328531
1,shake5772,shake,256,10.24,0.520164966583252,85.3504737304694,10.296605040451055
1,shake5772,shake,258,10.32,0.5172339677810669,85.15264849521901,10.296605040451055
1,shake5772,shake,260,10.4,0.5158622860908508,85.80695103125184,10.296605040451055
1,shake5772,shake,262,10.48,0.5168173313140869,86.17283566954366,10.296605040451055
1,shake5772,shake,264,10.56,0.5212821960449219,84.4479031434879,9.231482604283372
1,shake5772,shake,266,10.64,0.5305575728416443,85.0552146300071,5.435355031036849
1,shake5772,shake,268,10.72,0.5367900133132935,85.74013913329284,3.257038450731315
1,shake5772,shake,270,10.8,0.5382612347602844,85.95191107040127,2.027176766146596
1,shake5772,shake,272,10.88,0.5371993184089661,86.33496027687268,1.928583212125389
1,shake5772,shake,274,10.96,0.5362106561660767,86.09260186940166,1.928583212125389
1,shake5772,shake,276,11.04,0.5354104042053223,86.13037739013909,1.9304866817149815
1,shake5772,shake,278,11.12,0.535111129283905,86.63012875381526,1.6637290556699469
1,shake5772,shake,280,11.2,0.5328284502029419,87.20123950014104,2.055154816959046
1,shake5772,shake,282,11.28,0.5303423404693604,87.5994200358505,2.055154816959046
1,shake5772,shake,284,11.36,0.527616024017334,87.83918649515293,2.055154816959046
1,shake5772,shake,286,11.44,0.5258575677871704,87.34584572307075,2.6238480129484714
1,shake5772,shake,288,11.52,0.5247558355331421,87.36169201122789,2.6238480129484714
1,shake5772,shake,290,11.6,0.5237419605255127,86.99213196958159,2.6238480129484714
1,shake5772,shake,292,11.68,0.5213215351104736,90.16190017806997,2.8389860350799836
1,shake5772,shake,294,11.76,0.5148427486419678,93.05923665584471,2.8726330402346747
1,shake5772,shake,296,11.84,0.508455753326416,93.69839891374309,3.0239007287924977
1,shake5772,shake,298,11.92,0.5018503665924072,93.90751922105419,3.44712331520671
1,shake5772,shake,300,12.0,0.495674192905426,94.05677645268949,3.772985282324612
1,shake5772,shake,302,12.08,0.4890033006668091,94.34898026886943,3.772985282324612
1,shake5772,shake,304,12.16,0.48199978470802307,94.50459271720317,3.772985282324612
1,shake5772,shake,306,12.24,0.4746091663837433,94.61423725182703,3.772985282324612
1,shake5772,shake,308,12.32,0.4686959385871887,94.51970353277383,1.4597422958349568
1,shake5772,shake,310,12.4,0.46712470054626465,94.33981771059003,1.4597422958349568
