video_index,video_name,behavior,frame,time_sec,agg_cv,max_cv,top3_cv,max_seg,avg_body_size_px,midback_offset_ratio,midback_offset_jitter
4,7月3日(3),lick,16,0.533,0.020250263301512368,0.0872078612446785,0.05185950299104055,Nose-Chest,491.12738037109375,0.29006296396255493,0.009456164203584194
4,7月3日(3),lick,18,0.6,0.02037357585504651,0.08645647019147873,0.05110371671617031,Nose-Chest,492.058837890625,0.29050418734550476,0.010015531443059444
4,7月3日(3),lick,20,0.667,0.020039747934788465,0.07472292333841324,0.044290162002046905,Nose-Chest,493.47381591796875,0.2903987467288971,0.010250137187540531
4,7月3日(3),lick,22,0.733,0.01769496686756611,0.05516976863145828,0.03583603662749132,Nose-Chest,494.81060791015625,0.29027119278907776,0.010371641255915165
4,7月3日(3),lick,24,0.8,0.019305536917482432,0.04122314229607582,0.03762722760438919,LFElb-LFPaw,495.60986328125,0.290445476770401,0.009941085241734982
4,7月3日(3),lick,26,0.867,0.020320334006100893,0.044185686856508255,0.03980682541926702,LFElb-LFPaw,495.45361328125,0.29080092906951904,0.008741692639887333
4,7月3日(3),lick,28,0.933,0.02252812493735781,0.058320868760347366,0.04710140824317932,Nose-Chest,494.91552734375,0.29075807332992554,0.007980430498719215
4,7月3日(3),lick,30,1.0,0.025782721690260448,0.09441149979829788,0.05720290169119835,Nose-Chest,494.5980224609375,0.29107823967933655,0.009586446918547153
4,7月3日(3),lick,32,1.067,0.02723828713911084,0.12426011264324188,0.06482660149534543,Nose-Chest,494.5523681640625,0.29131820797920227,0.01077547762542963
4,7月3日(3),lick,34,1.133,0.02802547622615328,0.15336887538433075,0.0743801686912775,Nose-Chest,494.42694091796875,0.29088324308395386,0.010647427290678024
4,7月3日(3),lick,36,1.2,0.02928082523151086,0.18060700595378876,0.08423891725639503,Nose-Chest,494.0214538574219,0.29074668884277344,0.011062241159379482
4,7月3日(3),lick,38,1.267,0.02922213364105958,0.19223712384700775,0.08787036562959354,Nose-Chest,493.5811462402344,0.2903938889503479,0.012105443514883518
4,7月3日(3),lick,40,1.333,0.02518557094467374,0.16465729475021362,0.07529182235399882,Nose-Chest,492.57208251953125,0.29022687673568726,0.012420362792909145
4,7月3日(3),lick,42,1.4,0.01848771734736287,0.11351549625396729,0.050735283022125564,Nose-Chest,492.24755859375,0.29010850191116333,0.012558694928884506
4,7月3日(3),lick,44,1.467,0.01640165615110443,0.09101399034261703,0.043392046665151916,Nose-Chest,493.1062927246094,0.28956928849220276,0.013511449098587036
4,7月3日(3),lick,46,1.533,0.019166931653252013,0.11191051453351974,0.053699267407258354,Nose-Chest,494.1119079589844,0.2885436415672302,0.01116227637976408
4,7月3日(3),lick,48,1.6,0.021346751457223527,0.12381652742624283,0.06131298094987869,Nose-Chest,495.5579528808594,0.2871421277523041,0.005247716326266527
4,7月3日(3),lick,50,1.667,0.022083721947498046,0.12347105890512466,0.0629148967564106,Nose-Chest,496.7473449707031,0.28622373938560486,0.0070484112948179245
4,7月3日(3),lick,52,1.733,0.021038560948979396,0.11124029755592346,0.05832926804820696,Nose-Chest,497.3768310546875,0.28564977645874023,0.00795034971088171
4,7月3日(3),lick,54,1.8,0.021015384879249793,0.10930494219064713,0.05508994931976,Nose-Chest,497.0764465332031,0.2856237292289734,0.007852025330066681
4,7月3日(3),lick,56,1.867,0.02313730543336043,0.1344740092754364,0.06477375328540802,Nose-Chest,496.906005859375,0.2858063578605652,0.008595057763159275
4,7月3日(3),lick,58,1.933,0.024735096376389265,0.1485544890165329,0.07258685554067294,Nose-Chest,496.09051513671875,0.28643354773521423,0.01248769462108612
4,7月3日(3),lick,60,2.0,0.02531978007979118,0.1457124501466751,0.07299390373130639,Nose-Chest,494.6703186035156,0.2881193161010742,0.018850458785891533
4,7月3日(3),lick,62,2.067,0.023674004854491122,0.13001330196857452,0.06701239136358102,Nose-Chest,493.53594970703125,0.28959405422210693,0.022434554994106293
4,7月3日(3),lick,64,2.133,0.023036426542183526,0.1232575997710228,0.06290934731562932,Nose-Chest,492.54345703125,0.29084548354148865,0.02231299877166748
4,7月3日(3),lick,66,2.2,0.02396431389766244,0.133480504155159,0.06542441559334596,Nose-Chest,491.94110107421875,0.2921268343925476,0.019048376008868217
4,7月3日(3),lick,68,2.267,0.02617196201418455,0.14405563473701477,0.07241971045732498,Nose-Chest,491.99853515625,0.2925822138786316,0.016743114218115807
4,7月3日(3),lick,70,2.333,0.025710060476110533,0.13315145671367645,0.06873000040650368,Nose-Chest,493.11334228515625,0.29205411672592163,0.019601410254836082
4,7月3日(3),lick,72,2.4,0.02299581654369831,0.11048492044210434,0.06030359615882238,Nose-Chest,494.234130859375,0.29109126329421997,0.023012643679976463
4,7月3日(3),lick,74,2.467,0.0235932136599261,0.1198483556509018,0.06276046484708786,Nose-Chest,494.9330139160156,0.2898957431316376,0.024078302085399628
4,7月3日(3),lick,76,2.533,0.02599327889486001,0.1428571343421936,0.07261442889769872,Nose-Chest,494.95916748046875,0.28868943452835083,0.021076062694191933
4,7月3日(3),lick,78,2.6,0.027677123775132574,0.15908262133598328,0.0808393806219101,Nose-Chest,494.41180419921875,0.28800883889198303,0.017729466781020164
4,7月3日(3),lick,80,2.667,0.028179056351431288,0.15679526329040527,0.08227837085723877,Nose-Chest,493.1747741699219,0.2881118655204773,0.01820974424481392
4,7月3日(3),lick,82,2.733,0.025777830563199062,0.13582347333431244,0.07400267881651719,Nose-Chest,491.70892333984375,0.2884734272956848,0.019529923796653748
4,7月3日(3),lick,84,2.8,0.02444869793879871,0.12613685429096222,0.06758731417357922,Nose-Chest,490.43267822265625,0.2894202768802643,0.020118381828069687
4,7月3日(3),lick,86,2.867,0.02632515085861087,0.1487833708524704,0.0736819189041853,Nose-Chest,489.49169921875,0.2910359501838684,0.018143875524401665
4,7月3日(3),lick,88,2.933,0.029733612309568204,0.17282100021839142,0.0853302429119746,Nose-Chest,488.9818115234375,0.2921297550201416,0.013682495802640915
4,7月3日(3),lick,90,3.0,0.03294053165098795,0.17693042755126953,0.09253015120824178,Nose-Chest,489.66839599609375,0.2921883165836334,0.013205804862082005
4,7月3日(3),lick,92,3.067,0.032262698389016665,0.15932878851890564,0.08861274396379788,Nose-Chest,491.1654052734375,0.2912824749946594,0.017471451312303543
4,7月3日(3),lick,94,3.133,0.02904467503182017,0.12563535571098328,0.07569137463967006,Nose-Chest,492.82470703125,0.2902688682079315,0.018778005614876747
4,7月3日(3),lick,96,3.2,0.0267337470028836,0.09842727333307266,0.06365196655193965,Nose-Chest,493.89447021484375,0.2897236943244934,0.017393026500940323
4,7月3日(3),lick,98,3.267,0.02546817698301031,0.08489114791154861,0.05751487985253334,Nose-Chest,494.42730712890625,0.28953227400779724,0.01668497361242771
4,7月3日(3),lick,100,3.333,0.029307012589505084,0.11784204095602036,0.07205964624881744,Nose-Chest,494.7589111328125,0.2892339527606964,0.016003400087356567
4,7月3日(3),lick,102,3.4,0.03212932962924242,0.14425258338451385,0.08273396268486977,Nose-Chest,494.8043212890625,0.28875935077667236,0.014577819034457207
4,7月3日(3),lick,104,3.467,0.031609718275901214,0.14828188717365265,0.08196433385213216,Nose-Chest,495.1788330078125,0.2888316512107849,0.014426421374082565
4,7月3日(3),lick,106,3.533,0.027602925860824492,0.12633579969406128,0.0683564276744922,Nose-Chest,495.3046875,0.2895967364311218,0.013184523209929466
4,7月3日(3),lick,108,3.6,0.024595375172793865,0.10869137197732925,0.06202933440605799,Nose-Chest,495.19903564453125,0.29016566276550293,0.009867912158370018
4,7月3日(3),lick,110,3.667,0.025285317490880307,0.11637843400239944,0.06818974514802296,Nose-Chest,495.3278503417969,0.29034486413002014,0.00808025524020195
4,7月3日(3),lick,112,3.733,0.025037092980570518,0.11950697004795074,0.06814972559611003,Nose-Chest,496.3096923828125,0.28985917568206787,0.008330552838742733
4,7月3日(3),lick,114,3.8,0.023649825893629055,0.11844348162412643,0.06597452362378438,Nose-Chest,496.9814758300781,0.2892892360687256,0.006794971413910389
4,7月3日(3),lick,116,3.867,0.02197207333161854,0.1045370101928711,0.059865922977526985,Nose-Chest,496.8030090332031,0.28902459144592285,0.005995109677314758
4,7月3日(3),lick,118,3.933,0.021506192449193735,0.09243229776620865,0.05501142144203186,Nose-Chest,496.10076904296875,0.28940021991729736,0.008146466687321663
4,7月3日(3),lick,120,4.0,0.022122005108170785,0.0808257907629013,0.051526653269926705,Nose-Chest,493.96282958984375,0.2905625104904175,0.015246765688061714
