epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,554.582,0.58523,2.17009,0.06694,0.31446,1.25319,0.99913,0.99412,0.995,0.84892,0.98731,0.98235,0.98483,0.42294,0.64021,2.5714,0.03994,0.34145,1.16706,0.0004908,0.0004908,0.0004908
28,574.223,0.57454,2.20452,0.06603,0.31398,1.24978,0.99328,0.99412,0.99494,0.83288,0.9875,0.97059,0.98088,0.39547,0.71854,2.7002,0.0453,0.36764,1.20503,0.000490083,0.000490083,0.000490083
29,593.708,0.56798,2.21654,0.07447,0.30857,1.24634,0.99408,0.98717,0.99444,0.86535,0.97631,0.96962,0.97875,0.40082,0.62909,2.72694,0.03804,0.35084,1.1471,0.000489341,0.000489341,0.000489341
30,613.536,0.53267,2.16773,0.07313,0.30003,1.20044,0.9995,0.98235,0.99483,0.82878,0.97838,0.95882,0.97448,0.42314,0.73428,2.628,0.03999,0.36713,1.22974,0.000488572,0.000488572,0.000488572
31,633.134,0.52423,2.15547,0.06539,0.28784,1.19272,0.99412,0.99374,0.99488,0.84365,0.98235,0.98197,0.98574,0.42905,0.69691,2.60936,0.0395,0.36174,1.21201,0.000487776,0.000487776,0.000487776
32,652.644,0.55273,2.1501,0.06787,0.30156,1.23243,0.99894,0.99412,0.995,0.87369,0.93392,0.92941,0.93134,0.39664,0.59272,2.75932,0.04128,0.35756,1.13733,0.000486955,0.000486955,0.000486955
33,672.188,0.5598,2.11914,0.06122,0.30579,1.2392,0.9995,0.99412,0.995,0.84071,0.97362,0.94706,0.96911,0.42816,0.72479,2.64353,0.04111,0.34933,1.2218,0.000486108,0.000486108,0.000486108
34,692.208,0.53586,2.06407,0.06829,0.29314,1.20896,0.99306,0.99412,0.99465,0.82488,0.98131,0.98235,0.98855,0.44844,0.73759,2.49105,0.04189,0.35089,1.22637,0.000485235,0.000485235,0.000485235
35,714.008,0.50812,2.04962,0.05891,0.28204,1.17812,1,0.99314,0.995,0.86419,0.9672,0.94118,0.95831,0.41964,0.58861,2.7161,0.03891,0.34246,1.13522,0.000484336,0.000484336,0.000484336
36,733.537,0.50365,2.09892,0.06342,0.28844,1.1731,0.9985,0.99412,0.995,0.84469,0.98739,0.97059,0.98386,0.4525,0.71811,2.66908,0.04077,0.36212,1.25262,0.000483412,0.000483412,0.000483412
37,753.356,0.53561,2.09624,0.06542,0.29381,1.21112,0.98734,0.98824,0.99436,0.85282,0.97629,0.97059,0.97769,0.42753,0.66381,2.59601,0.03697,0.36614,1.18986,0.000482462,0.000482462,0.000482462
38,772.796,0.52316,2.11615,0.06594,0.28874,1.19525,1,0.99341,0.995,0.86015,0.98165,0.97059,0.98214,0.42991,0.63154,2.62917,0.03789,0.34768,1.14154,0.000481486,0.000481486,0.000481486
39,792.294,0.51441,2.08513,0.06527,0.2849,1.18332,0.99927,0.98824,0.99449,0.8729,0.99333,0.98235,0.98898,0.45762,0.62594,2.50334,0.04054,0.35052,1.14439,0.000480485,0.000480485,0.000480485
40,811.898,0.49268,2.03455,0.06831,0.27998,1.17193,0.99995,0.99412,0.995,0.84362,0.99937,0.98824,0.9928,0.47328,0.69748,2.47741,0.03996,0.35978,1.21417,0.000479459,0.000479459,0.000479459
41,831.239,0.51074,2.06627,0.06057,0.28056,1.18823,0.99411,0.99344,0.99494,0.88467,0.95554,0.93529,0.95222,0.4341,0.55413,2.65241,0.03997,0.33603,1.1098,0.000478408,0.000478408,0.000478408
42,851.082,0.52241,2.05608,0.05688,0.28056,1.20942,0.99933,0.99412,0.995,0.87168,0.98808,0.97537,0.98517,0.44844,0.62983,2.55987,0.03987,0.33546,1.15341,0.000477332,0.000477332,0.000477332
43,870.959,0.51412,2.00129,0.06116,0.28167,1.18199,0.99956,0.99412,0.995,0.87219,0.98182,0.97647,0.98218,0.46018,0.6065,2.44623,0.03884,0.3103,1.12586,0.000476231,0.000476231,0.000476231
44,890.509,0.48282,1.97272,0.05992,0.27438,1.15694,0.99956,0.99412,0.995,0.88612,0.99364,0.98824,0.99061,0.46438,0.53038,2.42587,0.03806,0.30934,1.06712,0.000475105,0.000475105,0.000475105
