filename,color_label,black_ratio,white_ratio,orange_ratio,gray_ratio,cream_ratio,chocolate_ratio,cinnamon_ratio
100-1-_png.rf.2932ae76eeea47880286045878ac2033.jpg,black,0.329,0.011,0.058,0.256,0.179,0.137,0.506
100-10-_png.rf.3a6cac55db2078ba3b40c8e53d7e1172.jpg,gray,0.008,0.001,0.0,0.772,0.128,0.0,0.916
100-11-_png.rf.fc28e592a78f7c7e41aba1318e21e484.jpg,gray,0.214,0.0,0.0,0.472,0.121,0.099,0.681
100-12-_png.rf.fee42c1346aa782465b0864ab3e658f3.jpg,black,0.272,0.014,0.103,0.156,0.212,0.092,0.456
100-3-_png.rf.cb3647495434eb6a0cb6e13f53102e94.jpg,black,0.348,0.004,0.0,0.154,0.048,0.0,0.058
100-4-_png.rf.f2478b664a185fb2a4a92009e2090e0a.jpg,black,0.301,0.021,0.16,0.193,0.246,0.206,0.535
100-7-_png.rf.5a3b430975a8c98e4394638f7a326213.jpg,other,0.012,0.0,0.0,0.024,0.0,0.0,0.0
100-8-_png.rf.bf9160dea2b98eed0bb0c4b4a935e350.jpg,orange,0.029,0.0,1.0,0.0,0.0,0.057,0.0
100-9-_png.rf.c71a55f9ebe77566e4272fc781f91c62.jpg,black,0.281,0.009,0.062,0.181,0.211,0.197,0.602
12445497644_c1307cca7b_o_jpg.rf.e30163a40064c9a36ff3e1b993b17da1.jpg,black,0.394,0.002,0.096,0.044,0.186,0.301,0.462
14621895019_b6a64a7a3c_b_jpg.rf.24e5af17753d4aba303ac9deb10cd1f7.jpg,orange,0.291,0.0,0.805,0.0,0.048,0.367,0.316
1592086435_26e18e6dc8_b_jpg.rf.f1ea87a57f0954640417c3cd46b9953b.jpg,other,0.032,0.0,0.081,0.129,0.774,0.0,0.968
20250502_115511722_iOS_jpg.rf.a037f2e1e0ddd1bdfbad35b66fcba1b4.jpg,black,0.593,0.0,0.001,0.257,0.172,0.051,0.333
20250710_042127597_iOS_jpg.rf.08a3d3b1a6a7414f799d732c9593fc30.jpg,gray,0.278,0.006,0.025,0.279,0.064,0.108,0.366
20250716_114028196_iOS_jpg.rf.6651f0b67c38787bef199b437b0ba154.jpg,black,0.33,0.0,0.001,0.128,0.001,0.0,0.001
20250815_085937589_iOS_jpg.rf.5135e5c3a6a78f8e5a28b05b758da49c.jpg,other,0.175,0.021,0.192,0.123,0.403,0.01,0.154
20250911_112646909_iOS_jpg.rf.9ef0e912254c67fcd88fdfe03e1295d1.jpg,gray,0.282,0.018,0.036,0.315,0.145,0.039,0.116
20250923_040910866_iOS_jpg.rf.c86b511cf09ffcc60270bae3d0b30ebf.jpg,orange,0.095,0.0,0.323,0.134,0.184,0.146,0.774
232512372_c1b41f410c_o_jpg.rf.b2a728387eef373c9007fccfdf755c16.jpg,black,0.712,0.0,0.051,0.0,0.007,0.799,0.164
267041d9-633b-4a85-9ef0-a79130c16b8d_jpg.rf.1b8cb0cba333e157ed064704312ec26a.jpg,black,0.699,0.0,0.051,0.014,0.0,0.424,0.017
28059621_m_jpg.rf.c4e1ca262397db14cdaecf9f2e2e6791.jpg,black,0.534,0.001,0.006,0.144,0.033,0.164,0.131
3-1-_png.rf.d4daaf913728f6707d0b7116292231ec.jpg,orange,0.264,0.0,0.993,0.0,0.0,0.354,0.037
3-11-_png.rf.4f150f747ef7272c077f2d6532dfe263.jpg,black,0.357,0.007,0.01,0.259,0.014,0.016,0.008
3-12-_png.rf.7273daa99e631e67fe3bfc8ce1c4fb45.jpg,orange,0.033,0.027,0.74,0.065,0.232,0.06,0.287
3-19-_png.rf.71e832c5c16d41303caec5a76e2c8dd2.jpg,gray,0.0,0.0,0.0,0.707,0.0,0.0,0.0
3-20-_png.rf.ac82a0079e6dafd339d03d480896a80d.jpg,orange,0.06,0.001,0.589,0.106,0.062,0.004,0.282
3-21-_png.rf.a67c1a9504ecdf2dd53598d4fafbca47.jpg,black,0.933,0.0,0.0,0.157,0.0,0.023,0.009
3-29-_png.rf.a2f8bfaa99fc2e0431d3c503c2edc6f6.jpg,orange,0.194,0.0,0.843,0.001,0.022,0.227,0.163
3-31-_png.rf.76bcbfc73a8fa6e1d102e67ac2d3e203.jpg,black,0.287,0.043,0.029,0.118,0.353,0.224,0.617
3-37-_png.rf.03c226f81568ce2fd25086a56070c5c1.jpg,black,1.0,0.0,0.0,0.01,0.0,0.0,0.0
3-4-_png.rf.040973e64d96e68acd473a21c1314bde.jpg,black,0.867,0.0,0.001,0.011,0.01,0.599,0.032
3-40-_png.rf.d73dc570f2ca4a2c0a25278472e39fe1.jpg,black,0.466,0.011,0.0,0.438,0.056,0.002,0.079
3-43-_png.rf.11775a70a2ca5aae3584622e8047d07a.jpg,orange,0.199,0.007,0.71,0.007,0.112,0.256,0.303
3-5-_png.rf.9c30a5882559a4c8b08a3de309936c55.jpg,black,0.512,0.001,0.203,0.036,0.038,0.455,0.279
3009083-uhd_3840_2160_30fps_mp4-0002_jpg.rf.c241e967d9e41c26afdd0e9cff698bdb.jpg,black,0.714,0.0,0.076,0.086,0.002,0.015,0.009
3009083-uhd_3840_2160_30fps_mp4-0009_jpg.rf.3393303cfd74849aba2989f142a6f377.jpg,black,0.617,0.0,0.036,0.063,0.005,0.015,0.02
3009083-uhd_3840_2160_30fps_mp4-0010_jpg.rf.81b1a36f14145c2f3cc84c65fdc27a59.jpg,black,0.658,0.0,0.058,0.082,0.001,0.016,0.002
3009083-uhd_3840_2160_30fps_mp4-0013_jpg.rf.073a56a712d2ec2554711dbd6dde5d25.jpg,black,0.658,0.0,0.088,0.106,0.001,0.023,0.009
3009083-uhd_3840_2160_30fps_mp4-0014_jpg.rf.3730e1b3cc8d405a2636f14503cf6855.jpg,black,0.557,0.0,0.042,0.112,0.007,0.013,0.012
33057441863_cc1dc58477_o_jpg.rf.abf2833acad10071f0734c380e48dd83.jpg,orange,0.122,0.0,0.967,0.0,0.0,0.122,0.003
