frame,kpt_id,conf,dx,dy,disp,norm_disp,ema_disp,accel,body_scale,frame_gap,tracking_quality
175,14,0.9995117,12.676559,5.8378906,13.956222,0.049038723,0.049038723,2.8959455490112305,284.59595,1,0.3333333333333333
175,15,0.9975586,-7.5058594,2.3351593,7.8607183,0.027620627,0.027620627,-12.749996185302734,284.59595,1,0.3333333333333333
175,16,0.8745117,0.33359528,-7.1722717,7.1800256,0.02522884,0.02522884,-5.440444469451904,284.59595,1,0.3333333333333333
176,0,0.9975586,3.6695557,0.8339844,3.7631328,0.013139539,0.013139539,-3.8585751056671143,286.3976,1,0.6666666666666666
176,1,0.9995117,4.003113,-3.3359375,5.2108917,0.018194607,0.018194607,-4.995116233825684,286.3976,1,0.6666666666666666
176,2,0.9995117,-4.336731,-6.5884705,7.88766,0.027540943,0.027540943,4.5350847244262695,286.3976,1,0.6666666666666666
176,3,0.99853516,5.6711426,2.0015717,6.013996,0.020998765,0.020998765,2.6572940349578857,286.3976,1,0.6666666666666666
176,4,1.0,3.0023499,3.0857391,4.3053327,0.015032711,0.015032711,-0.04417896270751953,286.3976,1,0.6666666666666666
176,5,1.0,5.0039062,-6.0046844,7.816349,0.027291948,0.027291948,3.2789812088012695,286.3976,1,0.6666666666666666
176,6,1.0,-14.344543,-1.5011902,14.422881,0.05035964,0.05035964,11.082775115966797,286.3976,1,0.6666666666666666
176,7,0.99902344,-25.353088,12.009399,28.053606,0.09795335,0.09795335,6.346918106079102,286.3976,1,0.6666666666666666
176,8,0.9995117,21.683594,11.675781,24.627262,0.08598976,0.08598976,17.70770835876465,286.3976,1,0.6666666666666666
176,9,0.99853516,48.704712,-2.0015564,48.745823,0.17020331,0.17020331,37.267086029052734,286.3976,1,0.6666666666666666
176,10,0.9980469,-15.011734,-1.8347473,15.123441,0.05280575,0.05280575,-9.270575523376465,286.3976,1,0.6666666666666666
176,11,0.9970703,-40.03125,-2.6687622,40.12011,0.14008535,0.14008535,-14.781150817871094,286.3976,1,0.6666666666666666
176,12,1.0,-2.6687622,-2.5019531,3.65815,0.012772976,0.012772976,-7.844801902770996,286.3976,1,0.6666666666666666
176,13,0.99560547,3.0023499,-1.0007935,3.164758,0.011050224,0.011050224,-2.5161445140838623,286.3976,1,0.6666666666666666
176,14,0.99902344,4.503525,-8.006256,9.185961,0.032074153,0.032074153,-4.770260810852051,286.3976,1,0.6666666666666666
176,15,0.99609375,7.6726685,-6.671875,10.167781,0.035502326,0.035502326,2.3070626258850098,286.3976,1,0.6666666666666666
176,16,0.8588867,3.6695328,2.6687622,4.537374,0.015842918,0.015842918,-2.6426515579223633,286.3976,1,0.6666666666666666
177,0,0.9970703,2.0015259,-3.6695251,4.179895,0.014456821,0.013534724,0.416762113571167,289.1296,1,1.0
177,1,0.9995117,-2.335144,-2.1683502,3.1866345,0.011021474,0.016042667,-2.024257183074951,289.1296,1,1.0
177,2,0.9995117,4.670288,-5.087311,6.905963,0.023885354,0.026444267,-0.9816970825195312,289.1296,1,1.0
177,3,0.99853516,5.6710815,-2.3351593,6.1330366,0.021212067,0.021062756,0.11904048919677734,289.1296,1,1.0
177,4,1.0,5.337494,3.5861359,6.4303355,0.022240322,0.017194996,2.125002861022949,289.1296,1,1.0
177,5,1.0,3.3359375,-5.0039062,6.013947,0.020800177,0.025344416,-1.8024020195007324,289.1296,1,1.0
177,6,1.0,-2.0015564,-1.5011597,2.501941,0.008653355,0.037847754,-11.920940399169922,289.1296,1,1.0
177,7,0.9995117,-0.33361816,9.00705,9.013226,0.031173652,0.07791944,-19.040380477905273,289.1296,1,1.0
177,8,1.0,23.018005,8.339844,24.48227,0.08467576,0.08559556,-0.14499282836914062,289.1296,1,1.0
177,9,0.99902344,54.042175,6.0046997,54.374744,0.18806356,0.17556138,5.6289215087890625,289.1296,1,1.0
177,10,0.99853516,14.344528,-9.340637,17.117622,0.059203975,0.05472522,1.9941816329956055,289.1296,1,1.0
177,11,0.9970703,10.675003,-7.0054626,12.768406,0.04416153,0.1113082,-27.351703643798828,289.1296,1,1.0
177,12,1.0,1.0007935,-3.1691284,3.3233962,0.011494486,0.012389429,-0.33475375175476074,289.1296,1,1.0
177,13,0.99560547,-7.0054626,-2.6687317,7.496575,0.025928078,0.01551358,4.331816673278809,289.1296,1,1.0
177,14,0.99902344,11.008591,-4.3367157,11.831998,0.040922817,0.034728754,2.6460371017456055,289.1296,1,1.0
177,15,0.99560547,8.506638,-10.341415,13.390585,0.046313435,0.038745657,3.222804069519043,289.1296,1,1.0
177,16,0.85058594,10.341408,-14.678131,17.955286,0.062101167,0.029720392,13.417911529541016,289.1296,1,1.0
178,0,0.9975586,-1.3343506,-4.336731,4.53737,0.015281155,0.014058653,0.35747528076171875,296.92587,1,1.0
178,1,0.9995117,-2.335144,-6.3382874,6.75476,0.022748977,0.01805456,3.5681252479553223,296.92587,1,1.0
178,2,0.9995117,-1.3343506,-8.339844,8.445915,0.028444525,0.027044345,1.539952278137207,296.92587,1,1.0
178,3,0.99853516,1.6679688,3.8363342,4.18325,0.014088533,0.01897049,-1.94978666305542,296.92587,1,1.0
178,4,1.0,-1.0007629,0.583786,1.1585908,0.0039019529,0.013207083,-5.271744728088379,296.92587,1,1.0
178,5,1.0,-4.003113,-8.339844,9.250833,0.03115536,0.0270877,3.2368855476379395,296.92587,1,1.0
178,6,1.0,-8.339844,4.5035095,9.478111,0.031920798,0.036069665,6.976170539855957,296.92587,1,1.0
178,7,0.99902344,-12.342957,7.672638,14.533339,0.048946016,0.06922741,5.520112991333008,296.92587,1,1.0
178,8,1.0,15.345276,15.5121155,21.81979,0.07348565,0.08196259,-2.6624794006347656,296.92587,1,1.0
178,9,0.9980469,39.364075,17.013275,42.883354,0.14442444,0.1662203,-11.491390228271484,296.92587,1,1.0
178,10,0.9980469,-12.342957,-2.1683655,12.531975,0.042205736,0.050969373,-4.5856475830078125,296.92587,1,1.0
178,11,0.9951172,-24.352356,0.0,24.352356,0.08201493,0.10252023,11.58395004272461,296.92587,1,1.0
