Keypoint,Mean,Std,Min,P5
Nose,1.0000,0.0001,0.9995,0.9995
Left_Ear,0.9896,0.0011,0.9878,0.9883
Right_Ear,0.9981,0.0002,0.9980,0.9980
Chest,0.9995,0.0001,0.9990,0.9995
Mid_Back,1.0000,0.0000,1.0000,1.0000
Hip,1.0000,0.0000,1.0000,1.0000
LF_Elbow,0.9992,0.0003,0.9985,0.9990
LF_Paw,0.9903,0.0015,0.9854,0.9878
RF_Elbow,1.0000,0.0000,1.0000,1.0000
RF_Paw,0.9990,0.0002,0.9985,0.9985
LH_Knee,0.9900,0.0032,0.9790,0.9834
LH_Paw,0.9947,0.0021,0.9858,0.9902
RH_Knee,1.0000,0.0000,1.0000,1.0000
RH_Paw,0.9998,0.0002,0.9995,0.9995
Tail_Root,0.0000,0.0000,0.0000,0.0000
Tail_Mid,0.0000,0.0000,0.0000,0.0000
Tail_Tip,0.0000,0.0000,0.0000,0.0000
BBox_Conf,0.9736,0.0016,0.9702,0.9707
