frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
34,1.0000,0.9902,0.9980,0.9995,1.0000,1.0000,0.9995,0.9912,1.0000,0.9990,0.9883,0.9941,1.0000,0.9995,0.0000,0.0000,0.0000,0.9707
35,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9985,0.9824,0.9888,1.0000,0.9995,0.0000,0.0000,0.0000,0.9702
36,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9985,0.9819,0.9883,1.0000,0.9995,0.0000,0.0000,0.0000,0.9702
37,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9985,0.9834,0.9893,1.0000,0.9995,0.0000,0.0000,0.0000,0.9702
38,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9985,0.9849,0.9902,1.0000,1.0000,0.0000,0.0000,0.0000,0.9702
39,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9990,0.9878,1.0000,0.9985,0.9834,0.9893,1.0000,0.9995,0.0000,0.0000,0.0000,0.9702
40,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9990,0.9878,1.0000,0.9985,0.9839,0.9893,1.0000,0.9995,0.0000,0.0000,0.0000,0.9702
41,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9995,0.9883,1.0000,0.9985,0.9849,0.9902,1.0000,1.0000,0.0000,0.0000,0.0000,0.9702
42,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9995,0.9888,1.0000,0.9990,0.9858,0.9912,1.0000,1.0000,0.0000,0.0000,0.0000,0.9702
43,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9995,0.9888,1.0000,0.9990,0.9858,0.9912,1.0000,1.0000,0.0000,0.0000,0.0000,0.9702
44,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9995,0.9883,1.0000,0.9985,0.9858,0.9907,1.0000,1.0000,0.0000,0.0000,0.0000,0.9702
45,1.0000,0.9917,0.9985,0.9995,1.0000,1.0000,0.9990,0.9883,1.0000,0.9985,0.9863,0.9912,1.0000,1.0000,0.0000,0.0000,0.0000,0.9707
