class,video,116_xy_conf_v_bone_T16_att_on[T16]_accuracy,116_xy_conf_v_bone_T24_att_on[T24]_accuracy,116_xy_conf_v_bone_T32_att_on[T32]_accuracy,116_xy_conf_v_bone_T16_att_on[T16]_n_windows,116_xy_conf_v_bone_T24_att_on[T24]_n_windows,116_xy_conf_v_bone_T32_att_on[T32]_n_windows
walk,walk_12.mp4,0.7857,0.8060,1.0000,70,67,64
walk,walk_24.mp4,0.9074,1.0000,1.0000,54,51,48
walk,walk_18.mp4,0.9870,1.0000,1.0000,77,74,71
walk,walk_29.mp4,1.0000,1.0000,1.0000,192,189,186
lick,7月3日(1).mp4,1.0000,1.0000,1.0000,40,37,34
lick,7月3日(2).mp4,1.0000,1.0000,1.0000,47,44,41
lick,7月3日(3).mp4,1.0000,1.0000,1.0000,36,33,30
lick,7月3日(4).mp4,1.0000,1.0000,1.0000,44,41,38
lick,7月3日.mp4,1.0000,1.0000,1.0000,42,39,36
scratch,7月3日 (2)(2).mp4,0.3438,0.3448,0.3846,32,29,26
scratch,7月3日 (2)(4).mp4,0.4884,0.5250,0.5676,43,40,37
scratch,7月3日 (2)(1).mp4,0.5745,0.5909,0.6585,47,44,41
scratch,7月3日 (2).mp4,0.6481,0.6471,0.7083,54,51,48
scratch,7月3日 (2)(3).mp4,0.6596,0.6818,0.7561,47,44,41
shake,7月7日 (5)(3).mp4,0.3448,0.4615,0.5217,29,26,23
shake,7月7日 (5)(2).mp4,0.3571,0.4400,0.4545,28,25,22
shake,7月7日 (5).mp4,0.3824,0.4194,0.5000,34,31,28
shake,7月7日 (5)(5).mp4,0.3871,0.4643,0.6000,31,28,25
shake,7月7日 (5)(1).mp4,0.4000,0.4444,0.5417,30,27,24
shake,7月7日 (5)(4).mp4,0.4062,0.4483,0.5385,32,29,26
stop,stop_2.mp4,0.8672,0.9200,0.9590,128,125,122
stop,stop_75.mp4,0.8889,1.0000,1.0000,72,69,66
stop,stop_3.mp4,1.0000,1.0000,1.0000,78,75,72
stop,stop_36.mp4,1.0000,1.0000,1.0000,12,9,6
stop,stop_48.mp4,1.0000,1.0000,1.0000,14,11,8
stop,stop_6.mp4,1.0000,1.0000,1.0000,90,87,84
stop,stop_71.mp4,1.0000,1.0000,1.0000,26,23,20
