frame,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_disp
1,1008.7500,596.2500,,,
2,1010.8125,595.5000,2.0625,-0.7500,2.1946
3,1010.2500,594.3750,-0.5625,-1.1250,1.2578
4,1010.2500,593.2500,0.0000,-1.1250,1.1250
5,1011.1875,593.2500,0.9375,0.0000,0.9375
6,1012.3125,592.5000,1.1250,-0.7500,1.3521
7,1011.1875,590.2500,-1.1250,-2.2500,2.5156
8,1012.3125,589.5000,1.1250,-0.7500,1.3521
9,1012.6875,588.0000,0.3750,-1.5000,1.5462
10,1013.2500,586.8750,0.5625,-1.1250,1.2578
11,1014.1875,586.5000,0.9375,-0.3750,1.0097
12,1015.5000,585.7500,1.3125,-0.7500,1.5117
13,1015.3125,584.6250,-0.1875,-1.1250,1.1405
14,1015.5000,584.2500,0.1875,-0.3750,0.4193
15,1015.6875,583.5000,0.1875,-0.7500,0.7731
16,1015.6875,583.5000,0.0000,0.0000,0.0000
17,1015.6875,583.1250,0.0000,-0.3750,0.3750
18,1015.5000,583.5000,-0.1875,0.3750,0.4193
19,1015.6875,582.0000,0.1875,-1.5000,1.5117
20,1016.2500,581.2500,0.5625,-0.7500,0.9375
21,1017.0000,579.7500,0.7500,-1.5000,1.6771
22,1017.7500,579.7500,0.7500,0.0000,0.7500
23,1017.0000,578.2500,-0.7500,-1.5000,1.6771
24,1016.8125,577.5000,-0.1875,-0.7500,0.7731
25,1016.8125,576.7500,0.0000,-0.7500,0.7500
26,1017.7500,576.0000,0.9375,-0.7500,1.2006
27,1017.0000,576.0000,-0.7500,0.0000,0.7500
28,1017.0000,574.5000,0.0000,-1.5000,1.5000
29,1017.0000,574.5000,0.0000,0.0000,0.0000
30,1017.0000,573.7500,0.0000,-0.7500,0.7500
31,1016.8125,574.1250,-0.1875,0.3750,0.4193
32,1016.2500,573.7500,-0.5625,-0.3750,0.6760
33,1016.8125,573.7500,0.5625,0.0000,0.5625
34,1017.1875,574.1250,0.3750,0.3750,0.5303
35,1018.3125,573.7500,1.1250,-0.3750,1.1859
36,1018.6875,572.6250,0.3750,-1.1250,1.1859
37,1018.6875,572.2500,0.0000,-0.3750,0.3750
38,1019.2500,572.2500,0.5625,0.0000,0.5625
39,1020.0000,571.5000,0.7500,-0.7500,1.0607
40,1020.7500,571.8750,0.7500,0.3750,0.8385
41,1020.7500,571.8750,0.0000,0.0000,0.0000
42,1020.7500,572.2500,0.0000,0.3750,0.3750
43,1020.7500,571.8750,0.0000,-0.3750,0.3750
44,1021.3125,571.8750,0.5625,0.0000,0.5625
45,1021.5000,571.5000,0.1875,-0.3750,0.4193
46,1022.2500,571.5000,0.7500,0.0000,0.7500
47,1023.1875,571.5000,0.9375,0.0000,0.9375
48,1023.1875,570.0000,0.0000,-1.5000,1.5000
49,1023.7500,569.6250,0.5625,-0.3750,0.6760
50,1024.3125,570.0000,0.5625,0.3750,0.6760
51,1023.7500,569.6250,-0.5625,-0.3750,0.6760
52,1024.6875,570.0000,0.9375,0.3750,1.0097
53,1025.2500,570.0000,0.5625,0.0000,0.5625
54,1025.2500,570.0000,0.0000,0.0000,0.0000
55,1026.1875,570.7500,0.9375,0.7500,1.2006
56,1027.3125,570.7500,1.1250,0.0000,1.1250
57,1027.5000,571.5000,0.1875,0.7500,0.7731
58,1028.2500,572.2500,0.7500,0.7500,1.0607
59,1029.0000,572.2500,0.7500,0.0000,0.7500
60,1030.5000,573.7500,1.5000,1.5000,2.1213
61,1030.3125,574.5000,-0.1875,0.7500,0.7731
62,1030.5000,575.2500,0.1875,0.7500,0.7731
63,1031.2500,575.2500,0.7500,0.0000,0.7500
64,1032.7500,576.7500,1.5000,1.5000,2.1213
65,1033.5000,576.7500,0.7500,0.0000,0.7500
66,1032.7500,577.5000,-0.7500,0.7500,1.0607
67,1034.8125,578.2500,2.0625,0.7500,2.1946
68,1035.7500,579.3750,0.9375,1.1250,1.4644
69,1035.7500,579.7500,0.0000,0.3750,0.3750
70,1036.5000,580.8750,0.7500,1.1250,1.3521
71,1036.5000,581.2500,0.0000,0.3750,0.3750
72,1036.5000,582.7500,0.0000,1.5000,1.5000
73,1036.6875,583.1250,0.1875,0.3750,0.4193
74,1038.1875,584.2500,1.5000,1.1250,1.8750
75,1039.3125,585.3750,1.1250,1.1250,1.5910
76,1039.3125,586.5000,0.0000,1.1250,1.1250
77,1038.1875,587.2500,-1.1250,0.7500,1.3521
78,1039.5000,588.0000,1.3125,0.7500,1.5117
79,1039.5000,589.5000,0.0000,1.5000,1.5000
80,1040.8125,589.8750,1.3125,0.3750,1.3650
81,1041.7500,590.2500,0.9375,0.3750,1.0097
82,1041.7500,591.0000,0.0000,0.7500,0.7500
83,1041.7500,591.7500,0.0000,0.7500,0.7500
84,1041.1875,591.7500,-0.5625,0.0000,0.5625
85,1040.2500,591.7500,-0.9375,0.0000,0.9375
86,1040.8125,592.5000,0.5625,0.7500,0.9375
87,1041.1875,593.2500,0.3750,0.7500,0.8385
88,1042.3125,593.2500,1.1250,0.0000,1.1250
89,1042.3125,594.0000,0.0000,0.7500,0.7500
90,1042.3125,593.2500,0.0000,-0.7500,0.7500
91,1043.8125,593.2500,1.5000,0.0000,1.5000
92,1044.1875,593.2500,0.3750,0.0000,0.3750
93,1045.5000,594.0000,1.3125,0.7500,1.5117
94,1044.1875,594.0000,-1.3125,0.0000,1.3125
95,1044.1875,594.0000,0.0000,0.0000,0.0000
96,1045.3125,594.7500,1.1250,0.7500,1.3521
