frame,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_disp
1,1008.7500,594.7500,,,
2,1009.5000,594.0000,0.7500,-0.7500,1.0607
3,1010.8125,593.2500,1.3125,-0.7500,1.5117
4,1009.6875,592.5000,-1.1250,-0.7500,1.3521
5,1011.0000,591.7500,1.3125,-0.7500,1.5117
6,1011.1875,591.0000,0.1875,-0.7500,0.7731
7,1011.0000,589.5000,-0.1875,-1.5000,1.5117
8,1011.1875,588.7500,0.1875,-0.7500,0.7731
9,1011.7500,587.2500,0.5625,-1.5000,1.6020
10,1011.7500,585.7500,0.0000,-1.5000,1.5000
11,1012.3125,584.2500,0.5625,-1.5000,1.6020
12,1012.3125,585.7500,0.0000,1.5000,1.5000
13,1011.7500,585.0000,-0.5625,-0.7500,0.9375
14,1011.7500,584.2500,0.0000,-0.7500,0.7500
15,1012.6875,584.6250,0.9375,0.3750,1.0097
16,1013.2500,583.8750,0.5625,-0.7500,0.9375
17,1013.2500,582.7500,0.0000,-1.1250,1.1250
18,1013.8125,582.7500,0.5625,0.0000,0.5625
19,1013.8125,582.0000,0.0000,-0.7500,0.7500
20,1013.8125,581.6250,0.0000,-0.3750,0.3750
21,1014.0000,580.5000,0.1875,-1.1250,1.1405
22,1014.1875,579.3750,0.1875,-1.1250,1.1405
23,1014.1875,579.0000,0.0000,-0.3750,0.3750
24,1014.1875,577.5000,0.0000,-1.5000,1.5000
25,1015.3125,577.5000,1.1250,0.0000,1.1250
26,1015.3125,577.5938,0.0000,0.0938,0.0938
27,1015.3125,577.5000,0.0000,-0.0938,0.0938
28,1015.3125,576.0000,0.0000,-1.5000,1.5000
29,1015.3125,575.2500,0.0000,-0.7500,0.7500
30,1015.3125,575.2500,0.0000,0.0000,0.0000
31,1015.3125,575.2500,0.0000,0.0000,0.0000
32,1015.5000,573.3750,0.1875,-1.8750,1.8844
33,1017.1875,573.3750,1.6875,0.0000,1.6875
34,1016.8125,573.0000,-0.3750,-0.3750,0.5303
35,1018.3125,573.0000,1.5000,0.0000,1.5000
36,1018.3125,572.2500,0.0000,-0.7500,0.7500
37,1019.2500,571.5000,0.9375,-0.7500,1.2006
38,1018.6875,571.1250,-0.5625,-0.3750,0.6760
39,1019.2500,570.7500,0.5625,-0.3750,0.6760
40,1019.8125,571.1250,0.5625,0.3750,0.6760
41,1019.8125,570.7500,0.0000,-0.3750,0.3750
42,1020.1875,570.7500,0.3750,0.0000,0.3750
43,1020.7500,570.3750,0.5625,-0.3750,0.6760
44,1020.7500,570.7500,0.0000,0.3750,0.3750
45,1021.3125,570.3750,0.5625,-0.3750,0.6760
46,1022.2500,570.0000,0.9375,-0.3750,1.0097
47,1023.1875,569.6250,0.9375,-0.3750,1.0097
48,1023.1875,569.2500,0.0000,-0.3750,0.3750
49,1024.5000,569.2500,1.3125,0.0000,1.3125
50,1025.8125,569.6250,1.3125,0.3750,1.3650
51,1025.2500,567.7500,-0.5625,-1.8750,1.9576
52,1025.8125,567.7500,0.5625,0.0000,0.5625
53,1025.8125,568.5000,0.0000,0.7500,0.7500
54,1027.3125,569.2500,1.5000,0.7500,1.6771
55,1028.2500,569.6250,0.9375,0.3750,1.0097
56,1029.7500,569.6250,1.5000,0.0000,1.5000
57,1029.1875,570.7500,-0.5625,1.1250,1.2578
58,1030.6875,571.1250,1.5000,0.3750,1.5462
59,1031.8125,571.5000,1.1250,0.3750,1.1859
60,1033.3125,572.2500,1.5000,0.7500,1.6771
61,1033.5000,573.0000,0.1875,0.7500,0.7731
62,1033.6875,573.0000,0.1875,0.0000,0.1875
63,1035.0000,573.7500,1.3125,0.7500,1.5117
64,1035.7500,574.8750,0.7500,1.1250,1.3521
65,1036.3125,575.6250,0.5625,0.7500,0.9375
66,1036.3125,576.7500,0.0000,1.1250,1.1250
67,1037.8125,578.2500,1.5000,1.5000,2.1213
68,1038.7500,579.0000,0.9375,0.7500,1.2006
69,1039.6875,580.1250,0.9375,1.1250,1.4644
70,1039.6875,580.8750,0.0000,0.7500,0.7500
71,1040.2500,581.2500,0.5625,0.3750,0.6760
72,1040.8125,582.0000,0.5625,0.7500,0.9375
73,1040.2500,582.7500,-0.5625,0.7500,0.9375
74,1041.1875,583.5000,0.9375,0.7500,1.2006
75,1042.3125,585.0000,1.1250,1.5000,1.8750
76,1042.3125,585.7500,0.0000,0.7500,0.7500
77,1042.5000,586.1250,0.1875,0.3750,0.4193
78,1044.0000,587.6250,1.5000,1.5000,2.1213
79,1044.1875,588.7500,0.1875,1.1250,1.1405
80,1044.7500,589.5000,0.5625,0.7500,0.9375
81,1045.3125,589.8750,0.5625,0.3750,0.6760
82,1045.5000,590.2500,0.1875,0.3750,0.4193
83,1045.5000,591.7500,0.0000,1.5000,1.5000
84,1045.6875,591.7500,0.1875,0.0000,0.1875
85,1045.6875,592.5000,0.0000,0.7500,0.7500
86,1047.0000,592.5000,1.3125,0.0000,1.3125
87,1049.2500,593.2500,2.2500,0.7500,2.3717
88,1049.2500,594.3750,0.0000,1.1250,1.1250
89,1050.0000,594.7500,0.7500,0.3750,0.8385
90,1048.3125,593.6250,-1.6875,-1.1250,2.0281
91,1048.5000,594.0000,0.1875,0.3750,0.4193
92,1048.6875,594.0000,0.1875,0.0000,0.1875
93,1049.2500,594.0000,0.5625,0.0000,0.5625
94,1049.2500,594.3750,0.0000,0.3750,0.3750
95,1049.8125,594.7500,0.5625,0.3750,0.6760
96,1050.0000,595.5000,0.1875,0.7500,0.7731
97,1050.0000,595.5000,0.0000,0.0000,0.0000
98,1051.3125,596.2500,1.3125,0.7500,1.5117
99,1051.5000,596.2500,0.1875,0.0000,0.1875
100,1052.2500,597.0000,0.7500,0.7500,1.0607
101,1052.2500,597.0000,0.0000,0.0000,0.0000
102,1052.2500,597.0000,0.0000,0.0000,0.0000
103,1052.2500,597.7500,0.0000,0.7500,0.7500
104,1052.2500,597.3750,0.0000,-0.3750,0.3750
105,1053.1875,597.7500,0.9375,0.3750,1.0097
106,1053.7500,597.3750,0.5625,-0.3750,0.6760
107,1054.5000,597.7500,0.7500,0.3750,0.8385
108,1054.5000,597.3750,0.0000,-0.3750,0.3750
109,1054.6875,597.7500,0.1875,0.3750,0.4193
110,1055.2500,598.5000,0.5625,0.7500,0.9375
111,1056.1875,598.8750,0.9375,0.3750,1.0097
112,1056.7500,598.8750,0.5625,0.0000,0.5625
113,1057.5000,599.2500,0.7500,0.3750,0.8385
114,1057.5000,600.0000,0.0000,0.7500,0.7500
115,1059.0000,600.0000,1.5000,0.0000,1.5000
116,1059.7500,600.3750,0.7500,0.3750,0.8385
117,1059.7500,601.1250,0.0000,0.7500,0.7500
118,1061.2500,602.2500,1.5000,1.1250,1.8750
119,1061.2500,603.3750,0.0000,1.1250,1.1250
120,1063.3125,604.1250,2.0625,0.7500,2.1946
121,1062.7500,605.2500,-0.5625,1.1250,1.2578
122,1062.7500,605.2500,0.0000,0.0000,0.0000
123,1064.2500,605.2500,1.5000,0.0000,1.5000
124,1063.6875,606.3750,-0.5625,1.1250,1.2578
125,1064.2500,607.1250,0.5625,0.7500,0.9375
126,1064.2500,606.3750,0.0000,-0.7500,0.7500
127,1064.2500,606.7500,0.0000,0.3750,0.3750
128,1064.2500,607.8750,0.0000,1.1250,1.1250
129,1065.1875,609.3750,0.9375,1.5000,1.7689
130,1065.0000,609.7500,-0.1875,0.3750,0.4193
131,1065.7500,610.5000,0.7500,0.7500,1.0607
132,1065.7500,611.6250,0.0000,1.1250,1.1250
133,1066.3125,612.3750,0.5625,0.7500,0.9375
134,1065.7500,613.5000,-0.5625,1.1250,1.2578
135,1066.3125,614.2500,0.5625,0.7500,0.9375
136,1066.5000,615.7500,0.1875,1.5000,1.5117
137,1066.5000,616.5000,0.0000,0.7500,0.7500
138,1066.3125,617.2500,-0.1875,0.7500,0.7731
139,1066.3125,617.6250,0.0000,0.3750,0.3750
140,1066.5000,618.3750,0.1875,0.7500,0.7731
141,1066.5000,619.5000,0.0000,1.1250,1.1250
142,1066.3125,620.2500,-0.1875,0.7500,0.7731
