behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9745,0.9756,+0.0011,+0.12%,13.970,15.149,+1.178,-8.43%,0.0130,0.0081,-0.0049,+37.50%
lick,0.9895,0.9899,+0.0004,+0.04%,2.344,2.593,+0.249,-10.61%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9843,0.9847,+0.0003,+0.03%,5.766,5.806,+0.040,-0.70%,0.0000,0.0000,+0.0000,+0.00%
shake,0.9896,0.9897,+0.0001,+0.01%,12.524,13.122,+0.598,-4.78%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9447,0.9629,+0.0182,+1.93%,2.504,2.572,+0.068,-2.70%,0.0000,0.0000,+0.0000,+0.00%
