metric,104_best_model,112_best_model,best,delta,primary
overall_accuracy,0.8993,0.8919,104_best_model,0.0074,YES
overall_top2_accuracy,0.9172,0.9248,112_best_model,0.0076,
overall_macro_f1,0.8652,0.8578,104_best_model,0.0075,
overall_event_det_rate_ratio,1.0000,1.0000,=,0.0000,
overall_event_det_rate_prob,0.9333,0.9333,=,0.0000,

walk_accuracy,0.9539,0.9352,104_best_model,0.0188,YES
walk_event_rate,1.0000,1.0000,=,0.0000,
walk_top2_accuracy,0.9949,0.9966,112_best_model,0.0017,
walk_avg_true_prob,0.9505,0.9270,104_best_model,0.0235,
walk_max_true_prob,0.9999,1.0000,=,0.0000,
walk_prob_event_rate,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,4/4,4/4,-,-
walk_prob_videos_detected,4/4,4/4,-,-
walk_n_correct,559,548,-,-
walk_n_windows,586,586,-,-

lick_accuracy,1.0000,1.0000,=,0.0000,YES
lick_event_rate,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.8918,0.8247,104_best_model,0.0671,
lick_max_true_prob,0.9748,0.9598,104_best_model,0.0150,
lick_prob_event_rate,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,-,-
lick_n_correct,311,311,-,-
lick_n_windows,311,311,-,-

scratch_accuracy,0.5455,0.5455,=,0.0000,YES
scratch_event_rate,1.0000,1.0000,=,0.0000,
scratch_top2_accuracy,0.5909,0.6273,112_best_model,0.0364,
scratch_avg_true_prob,0.5373,0.5381,=,0.0008,
scratch_max_true_prob,0.9996,0.9990,=,0.0006,
scratch_prob_event_rate,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,-,-
scratch_n_correct,180,180,-,-
scratch_n_windows,330,330,-,-

shake_accuracy,1.0000,1.0000,=,0.0000,YES
shake_event_rate,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,1.0000,1.0000,=,0.0000,
shake_avg_true_prob,0.9995,0.9979,104_best_model,0.0016,
shake_max_true_prob,0.9999,0.9997,=,0.0003,
shake_prob_event_rate,0.6667,0.6667,=,0.0000,
shake_n_videos_detected,6/6,6/6,-,-
shake_prob_videos_detected,4/6,4/6,-,-
shake_n_correct,36,36,-,-
shake_n_windows,36,36,-,-

stop_accuracy,0.9792,0.9744,104_best_model,0.0048,YES
stop_event_rate,1.0000,1.0000,=,0.0000,
stop_top2_accuracy,1.0000,1.0000,=,0.0000,
stop_avg_true_prob,0.9011,0.7723,104_best_model,0.1288,
stop_max_true_prob,0.9928,0.9672,104_best_model,0.0256,
stop_prob_event_rate,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,7/7,7/7,-,-
stop_prob_videos_detected,7/7,7/7,-,-
stop_n_correct,611,608,-,-
stop_n_windows,624,624,-,-

