behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9747,0.9724,-0.0023,-0.24%,14.535,15.406,+0.872,-6.00%,0.0113,0.0073,-0.0040,+35.71%
lick,0.9847,0.9934,+0.0088,+0.89%,2.491,2.506,+0.014,-0.58%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9879,0.9865,-0.0013,-0.13%,5.852,5.715,-0.137,+2.34%,0.0000,0.0000,+0.0000,+0.00%
shake,0.9918,0.9941,+0.0023,+0.23%,12.424,12.241,-0.183,+1.47%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9593,0.9681,+0.0088,+0.91%,2.894,3.277,+0.383,-13.24%,0.0000,0.0000,+0.0000,+0.00%
