Keypoint,Mean,Std,Min,P5
Nose,0.9991,0.0002,0.9990,0.9990
Left_Ear,0.9796,0.0019,0.9751,0.9761
Right_Ear,0.9975,0.0006,0.9966,0.9966
Chest,0.9985,0.0001,0.9985,0.9985
Mid_Back,0.9995,0.0001,0.9995,0.9995
Hip,1.0000,0.0000,1.0000,1.0000
LF_Elbow,0.9981,0.0005,0.9971,0.9976
LF_Paw,0.9496,0.0158,0.9238,0.9268
RF_Elbow,0.9999,0.0002,0.9995,0.9995
RF_Paw,0.9956,0.0015,0.9927,0.9932
LH_Knee,0.9791,0.0086,0.9551,0.9633
LH_Paw,0.9775,0.0083,0.9541,0.9633
RH_Knee,1.0000,0.0001,0.9995,1.0000
RH_Paw,0.9975,0.0007,0.9956,0.9966
Tail_Root,0.0000,0.0000,0.0000,0.0000
Tail_Mid,0.0000,0.0000,0.0000,0.0000
Tail_Tip,0.0000,0.0000,0.0000,0.0000
BBox_Conf,0.9655,0.0011,0.9634,0.9634
