behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9924,0.9849,-0.0076,-0.76%,9.832,9.747,-0.085,+0.87%,0.0000,0.0000,+0.0000,+0.00%
lick,0.9919,0.9922,+0.0003,+0.03%,1.752,1.934,+0.181,-10.33%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9862,0.9588,-0.0273,-2.77%,3.020,2.938,-0.082,+2.71%,0.0000,0.0000,+0.0000,+0.00%
shake,0.9954,0.9955,+0.0001,+0.01%,2.170,2.397,+0.227,-10.44%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9637,0.9569,-0.0068,-0.71%,2.665,3.055,+0.390,-14.64%,0.0000,0.0000,+0.0000,+0.00%
