frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
1,0.9990,0.9819,0.9971,0.9985,0.9995,1.0000,0.9985,0.9692,0.9995,0.9976,0.9873,0.9839,1.0000,0.9971,0.0000,0.0000,0.0000,0.9663
2,0.9990,0.9824,0.9971,0.9985,0.9995,1.0000,0.9985,0.9688,0.9995,0.9976,0.9873,0.9834,1.0000,0.9971,0.0000,0.0000,0.0000,0.9663
3,0.9990,0.9824,0.9971,0.9985,0.9995,1.0000,0.9985,0.9702,0.9995,0.9976,0.9878,0.9824,1.0000,0.9971,0.0000,0.0000,0.0000,0.9663
4,0.9990,0.9824,0.9971,0.9985,0.9995,1.0000,0.9985,0.9683,0.9995,0.9976,0.9878,0.9829,1.0000,0.9971,0.0000,0.0000,0.0000,0.9663
5,0.9990,0.9824,0.9971,0.9985,0.9995,1.0000,0.9985,0.9697,1.0000,0.9976,0.9873,0.9824,1.0000,0.9971,0.0000,0.0000,0.0000,0.9663
6,0.9990,0.9810,0.9971,0.9985,0.9995,1.0000,0.9985,0.9683,1.0000,0.9976,0.9868,0.9834,1.0000,0.9976,0.0000,0.0000,0.0000,0.9663
7,0.9990,0.9824,0.9971,0.9985,0.9995,1.0000,0.9985,0.9712,1.0000,0.9976,0.9888,0.9844,1.0000,0.9976,0.0000,0.0000,0.0000,0.9668
8,0.9990,0.9814,0.9971,0.9985,0.9995,1.0000,0.9985,0.9702,1.0000,0.9976,0.9878,0.9839,1.0000,0.9976,0.0000,0.0000,0.0000,0.9668
9,0.9990,0.9810,0.9971,0.9985,0.9995,1.0000,0.9985,0.9692,1.0000,0.9976,0.9863,0.9814,1.0000,0.9976,0.0000,0.0000,0.0000,0.9668
10,0.9990,0.9810,0.9971,0.9985,0.9995,1.0000,0.9985,0.9683,1.0000,0.9971,0.9868,0.9824,1.0000,0.9976,0.0000,0.0000,0.0000,0.9668
11,0.9990,0.9805,0.9971,0.9985,0.9995,1.0000,0.9985,0.9673,0.9995,0.9971,0.9863,0.9819,1.0000,0.9976,0.0000,0.0000,0.0000,0.9668
12,0.9990,0.9800,0.9971,0.9985,0.9995,1.0000,0.9985,0.9658,0.9995,0.9971,0.9844,0.9805,1.0000,0.9976,0.0000,0.0000,0.0000,0.9663
13,0.9990,0.9805,0.9971,0.9985,0.9995,1.0000,0.9985,0.9663,0.9995,0.9971,0.9834,0.9795,1.0000,0.9976,0.0000,0.0000,0.0000,0.9663
14,0.9990,0.9800,0.9971,0.9985,0.9995,1.0000,0.9985,0.9658,1.0000,0.9971,0.9844,0.9805,1.0000,0.9976,0.0000,0.0000,0.0000,0.9663
15,0.9990,0.9800,0.9971,0.9985,0.9995,1.0000,0.9985,0.9673,1.0000,0.9971,0.9849,0.9814,1.0000,0.9976,0.0000,0.0000,0.0000,0.9658
16,0.9990,0.9800,0.9966,0.9985,0.9995,1.0000,0.9985,0.9683,1.0000,0.9971,0.9863,0.9824,1.0000,0.9976,0.0000,0.0000,0.0000,0.9658
17,0.9990,0.9805,0.9971,0.9985,0.9995,1.0000,0.9985,0.9702,1.0000,0.9976,0.9888,0.9854,1.0000,0.9980,0.0000,0.0000,0.0000,0.9658
18,0.9990,0.9805,0.9971,0.9985,0.9995,1.0000,0.9985,0.9712,1.0000,0.9976,0.9888,0.9849,1.0000,0.9980,0.0000,0.0000,0.0000,0.9658
19,0.9995,0.9810,0.9971,0.9990,0.9995,1.0000,0.9985,0.9727,1.0000,0.9976,0.9893,0.9854,1.0000,0.9980,0.0000,0.0000,0.0000,0.9658
20,0.9990,0.9800,0.9971,0.9985,0.9995,1.0000,0.9990,0.9717,1.0000,0.9976,0.9893,0.9863,1.0000,0.9980,0.0000,0.0000,0.0000,0.9653
21,0.9990,0.9795,0.9966,0.9985,0.9995,1.0000,0.9990,0.9717,1.0000,0.9976,0.9888,0.9854,1.0000,0.9980,0.0000,0.0000,0.0000,0.9653
22,0.9990,0.9790,0.9966,0.9985,0.9995,1.0000,0.9990,0.9731,1.0000,0.9976,0.9897,0.9873,1.0000,0.9985,0.0000,0.0000,0.0000,0.9648
23,0.9995,0.9795,0.9971,0.9990,0.9995,1.0000,0.9990,0.9727,1.0000,0.9976,0.9893,0.9858,1.0000,0.9980,0.0000,0.0000,0.0000,0.9648
24,0.9995,0.9800,0.9971,0.9985,0.9995,1.0000,0.9985,0.9712,1.0000,0.9976,0.9888,0.9849,1.0000,0.9980,0.0000,0.0000,0.0000,0.9644
25,0.9995,0.9800,0.9971,0.9985,0.9995,1.0000,0.9990,0.9722,1.0000,0.9976,0.9883,0.9844,1.0000,0.9980,0.0000,0.0000,0.0000,0.9644
26,0.9995,0.9795,0.9971,0.9985,0.9995,1.0000,0.9985,0.9712,1.0000,0.9976,0.9873,0.9834,1.0000,0.9980,0.0000,0.0000,0.0000,0.9639
27,0.9995,0.9800,0.9971,0.9990,0.9995,1.0000,0.9985,0.9731,1.0000,0.9976,0.9873,0.9839,1.0000,0.9980,0.0000,0.0000,0.0000,0.9639
