epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,548.419,0.59883,1.77049,0.07103,0.31761,1.26974,1,0.99343,0.995,0.80517,0.99404,0.98117,0.98976,0.49778,0.79004,2.17911,0.0387,0.38798,1.27465,0.0004908,0.0004908,0.0004908
28,567.828,0.58228,1.74653,0.0684,0.32008,1.26857,0.99843,0.98824,0.99488,0.8555,0.98654,0.97647,0.98671,0.486,0.65289,2.26391,0.04691,0.36475,1.15672,0.000490083,0.000490083,0.000490083
29,586.953,0.55801,1.71677,0.07648,0.30652,1.2391,0.99414,0.9979,0.99488,0.79397,0.99166,0.98824,0.99061,0.49173,0.8341,2.2415,0.03985,0.38725,1.34087,0.000489341,0.000489341,0.000489341
30,606.663,0.55669,1.69278,0.07518,0.30615,1.22001,0.99415,0.9994,0.99424,0.80336,0.9883,0.99352,0.99417,0.50682,0.84086,2.15675,0.03776,0.38323,1.31428,0.000488572,0.000488572,0.000488572
31,626.084,0.55162,1.6907,0.06874,0.30311,1.22116,1,0.98119,0.99439,0.84086,0.97602,0.95766,0.978,0.49744,0.73959,2.23417,0.03693,0.35307,1.25226,0.000487776,0.000487776,0.000487776
32,645.595,0.53447,1.60743,0.07374,0.29525,1.21484,0.9873,0.98824,0.99418,0.88591,0.98142,0.98235,0.98797,0.53914,0.55962,2.07338,0.03903,0.34777,1.10499,0.000486955,0.000486955,0.000486955
33,666.276,0.55093,1.52509,0.0673,0.30382,1.22337,0.98793,0.99412,0.99453,0.85835,0.98208,0.98824,0.99026,0.53305,0.64944,2.08363,0.04194,0.35379,1.15267,0.000486108,0.000486108,0.000486108
34,686.356,0.55447,1.54583,0.07102,0.30241,1.2272,1,0.99861,0.995,0.77379,0.99408,0.98817,0.9921,0.57679,0.93725,1.90466,0.04092,0.38719,1.40524,0.000485235,0.000485235,0.000485235
35,706.199,0.51817,1.5559,0.06192,0.2893,1.1837,0.99699,0.99412,0.995,0.87255,0.98809,0.97571,0.9862,0.58974,0.60998,1.88503,0.04094,0.33213,1.11331,0.000484336,0.000484336,0.000484336
36,726.205,0.49232,1.48926,0.06644,0.27672,1.16554,0.99909,1,0.995,0.8652,0.99319,0.99412,0.99488,0.56416,0.65857,1.95232,0.03621,0.32262,1.16455,0.000483412,0.000483412,0.000483412
37,746.062,0.51904,1.53081,0.06557,0.28863,1.18613,1,0.99941,0.995,0.86747,0.99349,0.98824,0.99123,0.56059,0.64301,1.97738,0.03718,0.33447,1.16022,0.000482462,0.000482462,0.000482462
38,765.9,0.5173,1.5112,0.06874,0.28766,1.19284,0.99986,0.98824,0.99494,0.82131,0.99986,0.98824,0.9946,0.55582,0.80229,1.92715,0.04046,0.36774,1.28647,0.000481486,0.000481486,0.000481486
39,786.101,0.51024,1.48216,0.0662,0.28549,1.17633,1,0.99932,0.995,0.88489,0.98823,0.98756,0.99191,0.57923,0.56639,1.83621,0.03611,0.31221,1.08995,0.000480485,0.000480485,0.000480485
