video_index,video_name,behavior,frame,time_sec,agg_cv,max_cv,max_seg,avg_body_size_px,midback_offset_ratio,midback_offset_jitter
3,1 (26),walk,16,0.32,0.04114005478242269,0.10249737650156021,Hip-RHKnee,584.0895385742188,0.3028188645839691,0.03848304972052574
3,1 (26),walk,18,0.36,0.03654807404829906,0.10909528285264969,Hip-RHKnee,588.1414794921875,0.30099934339523315,0.02528591826558113
3,1 (26),walk,20,0.4,0.03466958781847587,0.10529375076293945,Hip-RHKnee,589.3540649414062,0.30276817083358765,0.028150420635938644
3,1 (26),walk,22,0.44,0.03373206313699484,0.09338178485631943,Hip-RHKnee,590.5714721679688,0.3058427572250366,0.02812967635691166
3,1 (26),walk,24,0.48,0.03502516785206703,0.0760776698589325,Hip-RHKnee,591.845458984375,0.3072153925895691,0.02630877122282982
3,1 (26),walk,26,0.52,0.03899270546837495,0.08969761431217194,Chest-RFElb,593.73681640625,0.3083384037017822,0.021858103573322296
3,1 (26),walk,28,0.56,0.04304354673681351,0.1268879473209381,Chest-RFElb,596.0982055664062,0.30862104892730713,0.0203690305352211
3,1 (26),walk,30,0.6,0.04508897397094048,0.15250062942504883,Chest-RFElb,599.4774780273438,0.3075404167175293,0.025139331817626953
3,1 (26),walk,32,0.64,0.05158666707575321,0.20609208941459656,Chest-RFElb,602.1171875,0.3057657480239868,0.02935052290558815
3,1 (26),walk,34,0.68,0.05936774926689955,0.2542896568775177,Chest-RFElb,604.5523681640625,0.30288153886795044,0.029213156551122665
3,1 (26),walk,36,0.72,0.06484239369344252,0.2834782004356384,Chest-RFElb,607.5763549804688,0.2999858260154724,0.028980258852243423
3,1 (26),walk,38,0.76,0.06754164970838107,0.29113081097602844,Chest-RFElb,610.1138916015625,0.2958683669567108,0.025490444153547287
3,1 (26),walk,40,0.8,0.0648545312623565,0.28012993931770325,Chest-RFElb,612.2190551757812,0.2916330099105835,0.028951333835721016
