Alpha,BBox_P95_Raw,BBox_P95_Smooth,BBox_Improvement_%,Mean_Keypoint_P95_Raw,Mean_Keypoint_P95_Smooth,Keypoint_Improvement_%,TailTip_P95_Raw,TailTip_P95_Smooth,Nose_P95_Raw,Nose_P95_Smooth
1.0,19.2438,19.2438,0.00,42.5185,42.5185,0.00,0.0000,0.0000,57.6172,57.6172
0.8,19.2438,16.8835,12.27,42.5185,42.0474,1.11,0.0000,0.0000,57.6172,57.8725
0.6,19.2438,15.5275,19.31,42.5185,41.7220,1.87,0.0000,0.0000,57.6172,57.8679
0.4,19.2438,12.5247,34.92,42.5185,41.5154,2.36,0.0000,0.0000,57.6172,57.0543
0.2,19.2438,9.9242,48.43,42.5185,41.5673,2.24,0.0000,0.0000,57.6172,57.3814
