metric,087_best_model,098_best_model,best,delta,primary
overall_accuracy,0.8961,0.8935,087_best_model,0.0026,YES
overall_top2_accuracy,0.9200,0.9170,087_best_model,0.0030,
overall_macro_f1,0.8548,0.8501,087_best_model,0.0046,
overall_event_det_rate_ratio,1.0000,1.0000,=,0.0000,
overall_event_det_rate_prob,0.9333,0.9333,=,0.0000,

walk_accuracy,0.9693,0.9573,087_best_model,0.0119,YES
walk_event_rate,1.0000,1.0000,=,0.0000,
walk_top2_accuracy,1.0000,1.0000,=,0.0000,
walk_avg_true_prob,0.9567,0.9408,087_best_model,0.0159,
walk_max_true_prob,1.0000,1.0000,=,0.0000,
walk_prob_event_rate,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,4/4,4/4,-,-
walk_prob_videos_detected,4/4,4/4,-,-
walk_n_correct,568,561,-,-
walk_n_windows,586,586,-,-

lick_accuracy,1.0000,1.0000,=,0.0000,YES
lick_event_rate,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.8833,0.9101,098_best_model,0.0267,
lick_max_true_prob,0.9787,0.9848,098_best_model,0.0061,
lick_prob_event_rate,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,-,-
lick_n_correct,311,311,-,-
lick_n_windows,311,311,-,-

scratch_accuracy,0.5303,0.5364,098_best_model,0.0061,YES
scratch_event_rate,1.0000,1.0000,=,0.0000,
scratch_top2_accuracy,0.6000,0.5848,087_best_model,0.0152,
scratch_avg_true_prob,0.5235,0.5274,098_best_model,0.0039,
scratch_max_true_prob,0.9995,0.9998,=,0.0003,
scratch_prob_event_rate,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,-,-
scratch_n_correct,175,177,-,-
scratch_n_windows,330,330,-,-

shake_accuracy,1.0000,1.0000,=,0.0000,YES
shake_event_rate,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,1.0000,1.0000,=,0.0000,
shake_avg_true_prob,0.9977,0.9920,087_best_model,0.0057,
shake_max_true_prob,0.9999,0.9996,=,0.0003,
shake_prob_event_rate,0.6667,0.6667,=,0.0000,
shake_n_videos_detected,6/6,6/6,-,-
shake_prob_videos_detected,4/6,4/6,-,-
shake_n_correct,36,36,-,-
shake_n_windows,36,36,-,-

stop_accuracy,0.9631,0.9631,=,0.0000,YES
stop_event_rate,1.0000,1.0000,=,0.0000,
stop_top2_accuracy,1.0000,1.0000,=,0.0000,
stop_avg_true_prob,0.9304,0.8734,087_best_model,0.0570,
stop_max_true_prob,0.9959,0.9859,087_best_model,0.0100,
stop_prob_event_rate,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,7/7,7/7,-,-
stop_prob_videos_detected,7/7,7/7,-,-
stop_n_correct,601,601,-,-
stop_n_windows,624,624,-,-

