model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,walk_15.mp4,280,280,0,0.9878,0.0072,7.254,11.884,26.140,142.035,0.0000,0.0000,0.0000,0.0000
old,walk,walk_19.mp4,982,982,0,0.9754,0.0100,8.360,9.120,23.072,179.127,0.0000,0.0031,0.0000,0.0000
old,walk,walk_20.mp4,121,121,0,0.9986,0.0005,11.305,14.473,33.441,259.661,0.0000,0.0000,0.0000,0.0000
old,walk,walk_21.mp4,206,206,0,0.9927,0.0047,20.074,21.270,55.424,228.155,0.0000,0.0000,0.0000,0.0000
old,lick,lick_60.mp4,240,240,0,0.9982,0.0005,1.446,1.700,5.145,15.835,0.0000,0.0000,0.0000,0.0000
old,lick,lick_61.mp4,240,240,0,0.9983,0.0004,1.831,2.164,5.897,28.298,0.0000,0.0000,0.0000,0.0000
old,lick,lick_62.mp4,240,240,0,0.9940,0.0016,1.469,2.766,5.163,85.914,0.0000,0.0000,0.0000,0.0000
old,lick,lick_70.mp4,240,240,0,0.9967,0.0014,2.778,3.396,9.665,36.722,0.0000,0.0000,0.0000,0.0000
old,lick,lick_74.mp4,178,178,0,0.9944,0.0005,2.152,2.975,7.895,24.645,0.0000,0.0000,0.0000,0.0000
old,scratch,scratch_27.mp4,240,240,0,0.9539,0.0204,2.353,4.763,10.046,74.113,0.0000,0.0000,0.0000,0.0028
old,scratch,scratch_32.mp4,240,240,0,0.9757,0.0133,3.600,6.996,14.512,89.502,0.0000,0.0000,0.0000,0.0000
old,scratch,scratch_33.mp4,240,240,0,0.9888,0.0028,2.715,6.075,11.645,108.310,0.0000,0.0000,0.0000,0.0000
old,scratch,scratch_39.mp4,240,240,0,0.9454,0.0295,3.724,6.264,13.334,98.827,0.0000,0.0000,0.0000,0.3208
old,shake,shake_49.mp4,240,240,0,0.9833,0.0188,2.693,7.322,10.089,110.287,0.0000,0.0000,0.0000,0.0000
old,shake,shake_50.mp4,240,240,0,0.9964,0.0023,2.484,7.047,10.644,150.787,0.0000,0.0000,0.0000,0.0000
old,shake,shake_51.mp4,240,240,0,0.9985,0.0011,2.147,5.470,9.351,90.615,0.0000,0.0000,0.0000,0.0000
old,shake,shake_57.mp4,240,240,0,0.9988,0.0016,2.150,5.341,7.614,117.897,0.0000,0.0000,0.0000,0.0000
old,shake,shake_58.mp4,240,240,0,0.9955,0.0027,1.241,2.914,5.446,42.863,0.0000,0.0000,0.0000,0.0000
old,shake,shake_63.mp4,240,240,0,0.9959,0.0036,2.499,5.009,9.462,84.824,0.0000,0.0000,0.0000,0.0000
old,stop,stop_2.mp4,397,397,0,0.9828,0.0132,4.664,9.849,16.809,248.470,0.0000,0.4433,0.0000,0.0076
old,stop,stop_3.mp4,248,248,0,0.9769,0.0086,2.955,4.523,9.717,117.363,0.0000,0.0000,0.0000,0.0000
old,stop,stop_36.mp4,50,50,0,0.9986,0.0001,0.776,1.373,2.973,16.190,0.0000,0.0000,0.0000,0.0000
old,stop,stop_48.mp4,55,55,0,0.9932,0.0022,1.994,4.757,7.872,64.418,0.0000,0.0000,0.0000,0.0000
