骨段索引,骨段名稱,CV(舊),CV(新),CV改善%
0,鼻尖→左耳,0.7149706576286265,0.5526674346722917,22.70068302769878
1,鼻尖→右耳,1.1474117935256032,0.8655583036815129,24.564283824589975
2,左耳→右耳,0.607250978430597,0.535745925811266,11.775205811340053
3,鼻尖→胸部,0.6654959739224288,0.5263340307511459,20.911011999359392
4,胸部→中背,0.5123953658019537,0.2378946490822105,53.57205285305413
5,中背→髖部,0.7366986876902184,0.5542898530920957,24.760303961233955
6,胸部→左前上,0.7963407816537007,0.686019783624046,13.853490921565575
7,左前上→左前下,0.842827150106294,0.5038019351174932,40.22476192702107
8,胸部→右前上,0.755531001366735,0.6731756155877068,10.900331756214673
9,右前上→右前下,0.8128318378381959,0.5225728442948389,35.709599412128426
10,髖部→左後上,0.6422800767406789,0.5325902463058579,17.0781928688606
11,左後上→左後下,0.765239771116781,0.4966089346711656,35.10413941274088
12,髖部→右後上,0.49216709336338615,0.32316362738162285,34.338635783923706
13,右後上→右後下,0.9096734544643242,0.5907102533787909,35.063483403802856
14,髖部→尾根,0.5894355489162828,0.5702328296728445,3.2578149122776283
15,尾根→尾中,0.587821554389286,0.5260510597657788,10.508375213052458
16,尾中→尾尖,0.6636590235845611,0.6443407092273272,2.9108794790105934
