video_index,video_name,behavior,frame,time_sec,agg_cv,max_cv,max_seg,avg_body_size_px,midback_offset_ratio,midback_offset_jitter
1,walk_1,walk,16,0.64,0.06741475879859465,0.2493562400341034,Chest-LFElb,394.7730712890625,0.42931509017944336,0.06974717229604721
1,walk_1,walk,18,0.72,0.05782163257782276,0.1544075757265091,Chest-LFElb,402.51104736328125,0.4212607443332672,0.051275480538606644
1,walk_1,walk,20,0.8,0.05181296026477447,0.14290504157543182,Hip-LHKnee,410.4324951171875,0.4151476323604584,0.03336060419678688
1,walk_1,walk,22,0.88,0.055274323058816105,0.1803869903087616,Hip-LHKnee,416.519775390625,0.41140538454055786,0.02120656706392765
1,walk_1,walk,24,0.96,0.06554642642060152,0.1941750943660736,Hip-LHKnee,421.44183349609375,0.4095984101295471,0.01840638369321823
1,walk_1,walk,26,1.04,0.0766973110775535,0.2582949101924896,Chest-LFElb,425.42333984375,0.409763902425766,0.017696749418973923
1,walk_1,walk,28,1.12,0.08519160417983165,0.38064366579055786,Chest-LFElb,428.6284484863281,0.41014569997787476,0.016681035980582237
1,walk_1,walk,30,1.2,0.088441724387499,0.47327476739883423,Chest-LFElb,430.971923828125,0.41046518087387085,0.01586977206170559
1,walk_1,walk,32,1.28,0.08975708506141718,0.5311142206192017,Chest-LFElb,432.176513671875,0.4088302254676819,0.014640239998698235
1,walk_1,walk,34,1.36,0.09363093656989244,0.5446585416793823,Chest-LFElb,430.37579345703125,0.40696439146995544,0.011247732676565647
1,walk_1,walk,36,1.44,0.09173205652489112,0.4831976294517517,Chest-LFElb,427.18438720703125,0.40685996413230896,0.01119399443268776
1,walk_1,walk,38,1.52,0.08200238430156158,0.3181346654891968,Chest-LFElb,423.73138427734375,0.40839487314224243,0.019751857966184616
1,walk_1,walk,40,1.6,0.07668359506015594,0.24312163889408112,Chest-LFElb,420.1615905761719,0.41127467155456543,0.025788988918066025
1,walk_1,walk,42,1.68,0.08754067438153121,0.35438668727874756,Chest-LFElb,415.07470703125,0.4135611355304718,0.025507625192403793
1,walk_1,walk,44,1.76,0.09259697422385216,0.36896607279777527,Chest-LFElb,409.9154052734375,0.4146119952201843,0.024005061015486717
1,walk_1,walk,46,1.84,0.09634544442479427,0.3501296639442444,Chest-LFElb,404.89129638671875,0.4146479070186615,0.02413184940814972
1,walk_1,walk,48,1.92,0.09753553311412151,0.3477066457271576,Chest-LFElb,401.4367980957031,0.41201871633529663,0.03528366610407829
1,walk_1,walk,50,2.0,0.09469239098521379,0.3329724669456482,Chest-LFElb,400.3482360839844,0.40694180130958557,0.05306413769721985
