Keypoint,Mean,Std,P95,Max
Nose,14.2357,20.2661,58.3412,116.8731
Left_Ear,16.8929,23.8880,69.1268,149.7016
Right_Ear,15.8178,23.4100,66.5383,143.4836
Chest,8.5353,9.9425,27.6734,75.1349
Mid_Back,7.0782,7.4432,21.4949,38.6541
Hip,7.6206,9.8383,24.6004,93.3622
LF_Elbow,9.1429,10.4968,31.4611,55.0727
LF_Paw,14.8109,23.0684,51.4138,166.9319
RF_Elbow,11.3516,15.6435,39.9686,105.7952
RF_Paw,17.8153,30.0276,68.5684,241.0072
LH_Knee,7.3557,8.4993,23.4206,57.1823
LH_Paw,12.0155,14.2922,38.8676,97.8714
RH_Knee,7.6524,8.8866,25.6869,59.3697
RH_Paw,10.9589,12.5141,36.7683,66.1064
Tail_Root,0.0000,0.0000,0.0000,0.0000
Tail_Mid,0.0000,0.0000,0.0000,0.0000
Tail_Tip,0.0000,0.0000,0.0000,0.0000
