frame,kp0_x,kp0_y,kp0_disp,kp1_x,kp1_y,kp1_disp,kp2_x,kp2_y,kp2_disp,kp3_x,kp3_y,kp3_disp,kp4_x,kp4_y,kp4_disp,kp5_x,kp5_y,kp5_disp,kp6_x,kp6_y,kp6_disp,kp7_x,kp7_y,kp7_disp,kp8_x,kp8_y,kp8_disp,kp9_x,kp9_y,kp9_disp,kp10_x,kp10_y,kp10_disp,kp11_x,kp11_y,kp11_disp,kp12_x,kp12_y,kp12_disp,kp13_x,kp13_y,kp13_disp,kp14_x,kp14_y,kp14_disp,kp15_x,kp15_y,kp15_disp,kp16_x,kp16_y,kp16_disp
1,1229.2500,416.2500,,1119.7500,227.2500,,1139.2500,258.9375,,1054.5000,561.0000,,828.0000,429.3750,,730.5000,649.8750,,992.2500,646.1250,,1103.2500,853.5000,,894.0000,679.5000,,950.2500,910.5000,,888.7500,695.2500,,912.7500,866.2500,,828.0000,703.5000,,885.0000,878.2500,,,,,,,,,,
2,1231.5000,418.1250,2.9288,1122.7500,229.3125,3.6406,1139.2500,262.5000,3.5625,1055.2500,562.1250,1.3521,828.7500,431.6250,2.3717,730.8750,651.7500,1.9121,993.7500,646.8750,1.6771,1105.5000,854.2500,2.3717,895.5000,679.8750,1.5462,950.2500,912.0000,1.5000,887.2500,697.1250,2.4012,912.0000,868.5000,2.3717,828.7500,704.6250,1.3521,889.5000,879.0000,4.5621,,,,,,,,,
3,1230.0000,417.7500,1.5462,1121.2500,228.7500,1.6020,1138.5000,261.7500,1.0607,1055.2500,562.1250,0.0000,828.0000,430.8750,1.0607,730.5000,651.3750,0.5303,993.7500,646.8750,0.0000,1104.0000,855.0000,1.6771,895.5000,679.5000,0.3750,950.2500,911.2500,0.7500,888.0000,696.3750,1.0607,911.2500,868.5000,0.7500,828.0000,704.2500,0.8385,887.2500,879.0000,2.2500,,,,,,,,,
4,1229.2500,418.5000,1.0607,1122.0000,229.1250,0.8385,1138.5000,262.5000,0.7500,1053.7500,563.2500,1.8750,827.2500,431.2500,0.8385,727.5000,651.0000,3.0233,992.2500,647.6250,1.6771,1104.7500,855.0000,0.7500,893.2500,681.0000,2.7042,948.7500,912.7500,2.1213,885.0000,696.7500,3.0233,909.7500,868.5000,1.5000,826.5000,704.2500,1.5000,886.5000,878.2500,1.0607,,,,,,,,,
5,1226.2500,421.8750,4.5156,1119.0000,228.7500,3.0233,1136.2500,261.3750,2.5156,1050.7500,565.1250,3.5377,823.5000,433.5000,4.3732,723.0000,654.0000,5.4083,991.5000,649.5000,2.0194,1104.7500,855.0000,0.0000,888.7500,683.6250,5.2097,947.2500,914.2500,2.1213,880.5000,698.6250,4.8750,903.0000,870.0000,6.9147,821.2500,706.5000,5.7118,879.7500,880.5000,7.1151,,,,,,,,,
6,1227.0000,422.6250,1.0607,1117.5000,229.6875,1.7689,1134.7500,262.1250,1.6771,1050.0000,565.8750,1.0607,824.2500,432.3750,1.3521,723.3750,654.0000,0.3750,993.0000,650.6250,1.8750,1107.0000,854.2500,2.3717,888.0000,684.7500,1.3521,947.2500,914.2500,0.0000,882.0000,698.2500,1.5462,903.7500,869.2500,1.0607,820.5000,706.1250,0.8385,879.0000,880.5000,0.7500,,,,,,,,,
7,1225.5000,424.1250,2.1213,1118.2500,231.0000,1.5117,1135.5000,262.5000,0.8385,1050.0000,566.2500,0.3750,824.2500,434.2500,1.8750,723.0000,654.7500,0.8385,991.5000,651.0000,1.5462,1105.5000,855.0000,1.6771,888.0000,684.7500,0.0000,947.2500,914.2500,0.0000,881.2500,698.6250,0.8385,903.7500,869.2500,0.0000,821.2500,706.8750,1.0607,881.2500,880.5000,2.2500,,,,,,,,,
8,1227.0000,424.8750,1.6771,1117.5000,231.3750,0.8385,1135.5000,263.2500,0.7500,1050.0000,567.3750,1.1250,823.5000,435.7500,1.6771,723.3750,656.6250,1.9121,993.0000,651.7500,1.6771,1106.2500,855.0000,0.7500,887.2500,684.7500,0.7500,946.5000,915.0000,1.0607,880.5000,700.1250,1.6771,902.2500,871.5000,2.7042,821.2500,708.0000,1.1250,881.2500,882.0000,1.5000,,,,,,,,,
9,1224.0000,427.8750,4.2426,1119.0000,232.5000,1.8750,1134.0000,264.7500,2.1213,1047.7500,568.5000,2.5156,822.0000,435.3750,1.5462,722.2500,657.7500,1.5910,992.2500,652.5000,1.0607,1104.7500,856.5000,2.1213,886.5000,686.6250,2.0194,946.5000,916.5000,1.5000,879.7500,700.5000,0.8385,899.2500,871.5000,3.0000,820.5000,709.5000,1.6771,881.2500,883.5000,1.5000,,,,,,,,,
10,1224.0000,429.0000,1.1250,1119.0000,235.6875,3.1875,1131.7500,268.3125,4.2135,1047.0000,569.2500,1.0607,823.5000,433.5000,2.4012,721.5000,655.1250,2.7300,990.0000,653.2500,2.3717,1103.2500,858.0000,2.1213,887.2500,687.0000,0.8385,945.7500,916.5000,0.7500,879.7500,699.7500,0.7500,900.0000,870.7500,1.0607,819.7500,709.5000,0.7500,879.7500,883.5000,1.5000,,,,,,,,,
