frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
72,2.400,1,190.60,17,0.9962,6.7894,100,73,1,0,WALK,0.9808
73,2.433,1,153.21,17,0.9964,23.8580,100,74,1,0,WALK,0.9808
74,2.467,1,196.78,17,0.9964,28.5954,93,74,1,0,WALK,0.9824
75,2.500,1,169.14,17,0.9967,14.1568,87,74,1,0,WALK,0.9824
76,2.533,1,199.55,17,0.9966,20.0656,71,74,1,0,WALK,0.9734
77,2.567,1,216.60,17,0.9960,10.6298,52,74,1,0,WALK,0.9734
78,2.600,1,156.46,17,0.9967,28.2753,91,74,1,0,WALK,0.9716
79,2.633,1,170.18,17,0.9970,16.7936,77,74,1,0,WALK,0.9716
80,2.667,1,154.05,17,0.9968,13.0248,73,74,1,0,WALK,0.8647
81,2.700,1,171.50,17,0.9968,9.0669,53,74,1,0,WALK,0.8647
82,2.733,1,166.53,17,0.9970,11.9236,52,73,1,-1,LOW CONF,0.6732
83,2.767,1,177.62,17,0.9970,15.9967,53,73,1,-1,LOW CONF,0.6732
84,2.800,1,182.18,17,0.9966,12.5064,49,73,1,3,SHAKE,0.8881
85,2.833,1,164.91,17,0.9965,15.3896,57,73,1,3,SHAKE,0.8881
86,2.867,1,148.87,17,0.9965,10.4398,57,73,1,-1,LOW CONF,0.5985
87,2.900,1,180.60,17,0.9966,14.4023,49,72,1,-1,LOW CONF,0.5985
88,2.933,1,187.60,17,0.9965,6.8559,38,72,1,-1,LOW CONF,0.7614
89,2.967,1,236.04,17,0.9964,26.0314,47,72,1,-1,LOW CONF,0.7614
90,3.000,1,187.57,17,0.9962,33.6775,83,73,1,-1,LOW CONF,0.6330
91,3.033,1,185.11,17,0.9963,8.0937,62,73,1,-1,LOW CONF,0.6330
92,3.067,1,178.75,17,0.9963,6.3944,48,74,1,-1,LOW CONF,0.6494
93,3.100,1,155.83,17,0.9969,15.0363,59,74,1,-1,LOW CONF,0.6494
94,3.133,1,153.86,17,0.9972,7.6263,49,74,1,-1,LOW CONF,0.7261
95,3.167,1,165.39,17,0.9967,10.5066,44,74,1,-1,LOW CONF,0.7261
96,3.200,1,170.02,17,0.9973,20.9662,58,74,1,-1,LOW CONF,0.6511
97,3.233,1,186.88,17,0.9974,10.0395,46,73,1,-1,LOW CONF,0.6511
98,3.267,1,173.73,17,0.9975,8.8279,43,73,1,-1,LOW CONF,0.5090
99,3.300,1,175.24,17,0.9973,8.8652,39,73,1,-1,LOW CONF,0.5090
100,3.333,1,149.77,17,0.9974,19.1564,61,73,1,-1,LOW CONF,0.6252
101,3.367,1,163.63,17,0.9974,11.8167,53,73,1,-1,LOW CONF,0.6252
102,3.400,1,182.10,17,0.9975,16.5058,52,73,1,-1,LOW CONF,0.6993
103,3.433,1,217.11,17,0.9976,25.8699,58,73,1,-1,LOW CONF,0.6993
104,3.467,1,201.60,17,0.9977,12.1167,53,72,1,-1,LOW CONF,0.7498
105,3.500,1,194.59,17,0.9977,7.4369,43,72,1,-1,LOW CONF,0.7498
106,3.533,1,234.14,17,0.9975,18.3873,42,71,1,-1,LOW CONF,0.5560
107,3.567,1,236.92,17,0.9973,5.2206,31,70,1,-1,LOW CONF,0.5560
108,3.600,1,247.20,17,0.9976,8.4404,27,69,1,-1,LOW CONF,0.4521
109,3.633,1,188.01,17,0.9978,37.6322,74,69,1,-1,LOW CONF,0.4521
110,3.667,1,227.51,17,0.9976,28.3817,70,69,1,-1,LOW CONF,0.6295
