model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8850,0.2384,8.525,26.475,0.0839
old,1,Left_Ear,0.9707,0.0655,7.091,24.632,0.0000
old,2,Right_Ear,0.9564,0.0777,7.678,25.171,0.0000
old,3,Chest,0.9980,0.0050,4.238,14.714,0.0000
old,4,Mid_Back,0.9996,0.0010,3.575,12.178,0.0000
old,5,Hip,0.9996,0.0007,3.855,14.483,0.0000
old,6,LF_Elbow,0.9667,0.1141,4.258,15.749,0.0227
old,7,LF_Paw,0.9557,0.0848,6.273,24.595,0.0000
old,8,RF_Elbow,0.8534,0.3074,4.764,17.950,0.1369
old,9,RF_Paw,0.9189,0.1862,6.780,26.322,0.0633
old,10,LH_Knee,0.7724,0.3547,4.389,16.078,0.2608
old,11,LH_Paw,0.8250,0.2996,6.238,23.400,0.1740
old,12,RH_Knee,0.8459,0.3122,3.914,15.195,0.0785
old,13,RH_Paw,0.8533,0.2819,5.747,24.575,0.0744
old,14,Tail_Root,0.9587,0.0878,4.753,17.006,0.0000
old,15,Tail_Mid,0.9647,0.0710,5.613,19.513,0.0000
old,16,Tail_Tip,0.7712,0.3394,8.455,28.278,0.1078
new,0,Nose,0.8803,0.2518,9.021,29.078,0.0899
new,1,Left_Ear,0.9691,0.0510,7.178,25.292,0.0000
new,2,Right_Ear,0.9554,0.0699,8.007,27.069,0.0000
new,3,Chest,0.9973,0.0072,4.372,15.827,0.0000
new,4,Mid_Back,0.9995,0.0013,4.025,13.776,0.0000
new,5,Hip,0.9997,0.0006,4.355,15.778,0.0000
new,6,LF_Elbow,0.9649,0.1031,4.805,17.278,0.0000
new,7,LF_Paw,0.9569,0.0852,7.125,29.442,0.0000
new,8,RF_Elbow,0.8492,0.3026,4.808,17.508,0.1346
new,9,RF_Paw,0.9093,0.1952,6.778,25.874,0.0637
new,10,LH_Knee,0.8211,0.3242,4.279,15.327,0.2174
new,11,LH_Paw,0.8520,0.2883,7.273,26.160,0.1602
new,12,RH_Knee,0.8781,0.2729,4.458,16.488,0.0697
new,13,RH_Paw,0.8969,0.2216,6.930,26.374,0.0372
new,14,Tail_Root,0.9755,0.0593,5.141,17.120,0.0000
new,15,Tail_Mid,0.9687,0.0593,5.831,19.267,0.0000
new,16,Tail_Tip,0.7701,0.3316,9.155,31.400,0.0973
