video_index,video_name,behavior,frame,time_sec,midback_offset_ratio,torso_ratio,midback_angle_jitter,torso_ratio_jitter,bone_length_oscillation
1,shake5772,shake,16,0.64,0.5560814142227173,0.26785644330084324,0.13716684977213542,0.0008683701356252035,0.002964951563626528
1,shake5772,shake,18,0.72,0.5561504364013672,0.2679745480418205,0.13953043619791666,0.0007707178592681885,0.002725911093875766
1,shake5772,shake,20,0.8,0.5564184784889221,0.26788026466965675,0.14525349934895834,0.0007345199584960938,0.0026978333480656147
1,shake5772,shake,22,0.88,0.5561932325363159,0.26795248314738274,0.18574574788411458,0.0008528530597686768,0.002489113714545965
1,shake5772,shake,24,0.96,0.556098461151123,0.26786632277071476,0.20207112630208332,0.0008543868859608968,0.00251007080078125
1,shake5772,shake,26,1.04,0.5569653511047363,0.26752870343625546,0.244415283203125,0.0008336067199707031,0.0023931225296109915
1,shake5772,shake,28,1.12,0.5576039552688599,0.2675532642751932,0.2681345621744792,0.00083656907081604,0.0028316557873040438
1,shake5772,shake,30,1.2,0.557693362236023,0.26740281470119953,0.32594197591145835,0.0009120941162109375,0.0036388118751347065
1,shake5772,shake,32,1.28,0.5578866600990295,0.2673369459807873,0.35692138671875,0.0009496569633483887,0.004418978933244944
1,shake5772,shake,34,1.36,0.5601342916488647,0.26773716136813164,0.5866836547851563,0.0012602547804514566,0.007015438750386238
1,shake5772,shake,36,1.44,0.5695702433586121,0.2669617738574743,0.8885960896809896,0.0018427749474843344,0.014008613303303719
1,shake5772,shake,38,1.52,0.5788381099700928,0.2669864743947983,1.0555399576822917,0.0028567155202229816,0.01812574453651905
1,shake5772,shake,40,1.6,0.5823625922203064,0.2694086730480194,1.3969573974609375,0.003924318154652913,0.022157128900289536
1,shake5772,shake,42,1.68,0.5808800458908081,0.2734655309468508,1.6459218343098958,0.004322999715805053,0.025900792330503464
1,shake5772,shake,44,1.76,0.5823012590408325,0.2777214404195547,1.8821767171223958,0.004729972283045451,0.028729954734444618
1,shake5772,shake,46,1.84,0.5881873369216919,0.28213384188711643,2.210557556152344,0.006065013011296591,0.030412841588258743
1,shake5772,shake,48,1.92,0.5931835174560547,0.28740016371011734,2.2390034993489585,0.0060206174850463865,0.029520297423005104
1,shake5772,shake,50,2.0,0.5991013050079346,0.29128494672477245,2.0193216959635416,0.006101588408152263,0.02793354168534279
1,shake5772,shake,52,2.08,0.5976259112358093,0.29661207646131516,1.7031204223632812,0.0051154891649882,0.024247605353593826
1,shake5772,shake,54,2.16,0.5977514982223511,0.30099442787468433,1.5908116658528646,0.0044301946957906084,0.02127790078520775
1,shake5772,shake,56,2.24,0.6030117273330688,0.30320504307746887,1.4049494425455729,0.003665099541346232,0.019633594900369644
1,shake5772,shake,58,2.32,0.6131478548049927,0.30365713126957417,0.9368148803710937,0.003552691141764323,0.015810171142220497
1,shake5772,shake,60,2.4,0.6206017136573792,0.30365195870399475,0.6492630004882812,0.003100202480951945,0.011513895355165005
1,shake5772,shake,62,2.48,0.6245464086532593,0.30346911400556564,0.4812398274739583,0.0020210901896158856,0.00764774065464735
1,shake5772,shake,64,2.56,0.6292281150817871,0.30232022888958454,0.34760843912760414,0.0014040112495422364,0.0063969967886805534
1,shake5772,shake,66,2.64,0.6307247877120972,0.30237176828086376,0.2661468505859375,0.0012607852617899577,0.0063246251083910465
1,shake5772,shake,68,2.72,0.6341174840927124,0.3015864919871092,0.3037653605143229,0.0014969110488891602,0.006102875806391239
1,shake5772,shake,70,2.8,0.645037055015564,0.29787868447601795,0.6531041463216146,0.002888810634613037,0.007073760032653809
1,shake5772,shake,72,2.88,0.6728578805923462,0.2898225225508213,1.2227363586425781,0.005302359660466512,0.012153085321187973
1,shake5772,shake,74,2.96,0.7040554881095886,0.27935806661844254,1.3210067749023438,0.005963942408561707,0.025745229795575142
1,shake5772,shake,76,3.04,0.7312856912612915,0.27038599643856287,1.4690198262532552,0.007213998834292094,0.03355145826935768
1,shake5772,shake,78,3.12,0.7713083028793335,0.26073627453297377,1.9456509908040365,0.008279404044151306,0.042177580296993256
1,shake5772,shake,80,3.2,0.823424220085144,0.25062013044953346,2.1728195190429687,0.008226287364959717,0.05409426987171173
1,shake5772,shake,82,3.28,0.8822084069252014,0.24058702681213617,2.244481404622396,0.008336483438809713,0.07155407965183258
1,shake5772,shake,84,3.36,0.9293920397758484,0.23321927711367607,2.391956075032552,0.009119113286336264,0.0748385637998581
1,shake5772,shake,86,3.44,0.9926522970199585,0.22423294838517904,2.5228591918945313,0.01041197677453359,0.08266296237707138
1,shake5772,shake,88,3.52,1.0601394176483154,0.21590335480868816,2.374841817220052,0.009133915106455484,0.08289267867803574
1,shake5772,shake,90,3.6,1.10484778881073,0.21155322063714266,2.427259318033854,0.009014379978179932,0.07126229256391525
1,shake5772,shake,92,3.68,1.1971209049224854,0.20105173997581005,2.9244733174641926,0.01094601054986318,0.07949426025152206
1,shake5772,shake,94,3.76,1.3187391757965088,0.18835964845493436,3.5749860127766926,0.01460640678803126,0.08195165544748306
1,shake5772,shake,96,3.84,1.375340461730957,0.17927257949486375,4.636251322428385,0.018912540872891744,0.0882188081741333
1,shake5772,shake,98,3.92,1.4336191415786743,0.16940245451405644,5.01968739827474,0.0195648988087972,0.0981406718492508
1,shake5772,shake,100,4.0,1.475203037261963,0.15930323163047433,5.129575602213541,0.019194623827934264,0.10542822629213333
1,shake5772,shake,102,4.08,1.4531590938568115,0.15913552371785045,5.447874704996745,0.019881582260131835,0.11012598872184753
1,shake5772,shake,104,4.16,1.4003679752349854,0.16530660586431623,5.829019165039062,0.02197637359301249,0.10940790921449661
1,shake5772,shake,106,4.24,1.3606622219085693,0.17217395966872573,5.531004842122396,0.02167124052842458,0.0934920683503151
1,shake5772,shake,108,4.32,1.283016324043274,0.1826619110070169,5.9637298583984375,0.021757631500562032,0.08300212770700455
1,shake5772,shake,110,4.4,1.1544303894042969,0.19680153764784336,4.512503051757813,0.01688926716645559,0.07748087495565414
1,shake5772,shake,112,4.48,1.089190125465393,0.20646547991782427,4.432383982340495,0.017138577500979104,0.07850324362516403
1,shake5772,shake,114,4.56,1.0171914100646973,0.2154613807797432,4.732568359375,0.018977381785710654,0.07877425849437714
1,shake5772,shake,116,4.64,0.9640195369720459,0.2237963629886508,4.531398264567057,0.01822317938009898,0.07339288294315338
1,shake5772,shake,118,4.72,0.9647592306137085,0.22432940918952227,3.88132807413737,0.015424365798632303,0.059641461819410324
1,shake5772,shake,120,4.8,0.953036904335022,0.2268853522837162,4.237842559814453,0.01609175403912862,0.07361192256212234
1,shake5772,shake,122,4.88,0.9420775771141052,0.22799467761069536,4.247058614095052,0.015218825141588847,0.0764676183462143
1,shake5772,shake,124,4.96,0.9257974624633789,0.23108695074915886,3.9269874572753904,0.014741155505180358,0.06782542914152145
1,shake5772,shake,126,5.04,0.9174950122833252,0.23396714124828577,3.8356664021809896,0.01409797469774882,0.06837774813175201
1,shake5772,shake,128,5.12,0.8970411419868469,0.23864021059125662,3.0293004353841146,0.011583545804023742,0.07430317252874374
1,shake5772,shake,130,5.2,0.8766156435012817,0.2449535420164466,2.5760678609212238,0.0104733407497406,0.06657572090625763
1,shake5772,shake,132,5.28,0.8658158779144287,0.24896790739148855,2.4601414998372397,0.01018314262231191,0.06530759483575821
1,shake5772,shake,134,5.36,0.8343175649642944,0.2577009731903672,2.2722462972005206,0.010020990173021953,0.06910211592912674
1,shake5772,shake,136,5.44,0.8295413255691528,0.26158497855067253,1.8303301493326822,0.00874149203300476,0.05383544787764549
1,shake5772,shake,138,5.52,0.8606224656105042,0.257736730389297,2.5010940551757814,0.01365329921245575,0.058417994529008865
1,shake5772,shake,140,5.6,0.889257550239563,0.25236519146710634,2.4967997233072916,0.013285478949546814,0.06035412475466728
1,shake5772,shake,142,5.68,0.9322136044502258,0.2456895476207137,4.11281992594401,0.021418273448944092,0.062329743057489395
1,shake5772,shake,144,5.76,1.0764870643615723,0.23190883453935385,6.435037612915039,0.03025658428668976,0.06573747843503952
1,shake5772,shake,146,5.84,1.3873066902160645,0.21537312306463718,9.62759017944336,0.04338840146859487,0.07574374228715897
1,shake5772,shake,148,5.92,1.373215913772583,0.22436746396124363,10.757096608479818,0.04985259771347046,0.07932616025209427
1,shake5772,shake,150,6.0,1.3612852096557617,0.23263237439095974,11.070795694986979,0.05188339153925578,0.08602483570575714
1,shake5772,shake,152,6.08,1.3467650413513184,0.24039811827242374,10.17928695678711,0.04720692833264669,0.09056613594293594
1,shake5772,shake,154,6.16,1.2898776531219482,0.25910502672195435,10.35782241821289,0.04653479854265849,0.07972656935453415
1,shake5772,shake,156,6.24,1.2328983545303345,0.27959713246673346,9.649490865071614,0.04417767326037089,0.07549785822629929
1,shake5772,shake,158,6.32,1.1690813302993774,0.2993843434378505,8.407733662923176,0.03796269198258718,0.06319154053926468
1,shake5772,shake,160,6.4,1.0074195861816406,0.3244699304923415,6.0916395823160805,0.02828511397043864,0.05487945303320885
1,shake5772,shake,162,6.48,0.673842191696167,0.3530804328620434,2.178241984049479,0.009856017430623372,0.0321224182844162
