frame,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_disp
115,709.5938,624.0000,3.8438,-16.8750,17.3072
116,710.3438,642.3750,0.7500,18.3750,18.3903
117,709.4062,644.1562,-0.9375,1.7812,2.0129
118,705.3750,645.7500,-4.0312,1.5938,4.3349
119,704.2500,635.2500,-1.1250,-10.5000,10.5601
120,704.3438,639.3750,0.0938,4.1250,4.1261
121,706.1250,620.2500,1.7812,-19.1250,19.2078
122,711.7500,607.8750,5.6250,-12.3750,13.5934
123,722.2500,618.0000,10.5000,10.1250,14.5865
124,726.6562,631.1250,4.4062,13.1250,13.8449
125,725.6250,633.3750,-1.0312,2.2500,2.4751
126,725.6250,633.7500,0.0000,0.3750,0.3750
127,735.0000,624.6562,9.3750,-9.0938,13.0609
128,736.8750,607.5000,1.8750,-17.1562,17.2584
129,738.0000,602.9062,1.1250,-4.5938,4.7295
130,742.5000,612.3750,4.5000,9.4688,10.4837
131,740.2500,616.1250,-2.2500,3.7500,4.3732
132,740.2500,616.1250,0.0000,0.0000,0.0000
133,741.7500,620.2500,1.5000,4.1250,4.3893
134,750.7500,614.6250,9.0000,-5.6250,10.6132
135,753.7500,609.0938,3.0000,-5.5312,6.2924
136,753.7500,606.0000,0.0000,-3.0938,3.0938
137,759.3750,610.5938,5.6250,4.5938,7.2624
138,759.3750,611.1562,0.0000,0.5625,0.5625
139,762.7500,618.6562,3.3750,7.5000,8.2244
140,762.3750,619.5000,-0.3750,0.8438,0.9233
141,769.6875,615.8438,7.3125,-3.6562,8.1756
142,776.2500,605.3438,6.5625,-10.5000,12.3821
143,782.2500,594.0938,6.0000,-11.2500,12.7500
144,782.2500,594.0938,0.0000,0.0000,0.0000
145,788.2500,596.6250,6.0000,2.5312,6.5121
146,788.8125,604.1250,0.5625,7.5000,7.5211
147,793.6875,627.3750,4.8750,23.2500,23.7556
148,803.8125,630.0938,10.1250,2.7188,10.4837
149,801.0000,627.8438,-2.8125,-2.2500,3.6018
150,801.0000,627.7500,0.0000,-0.0938,0.0938
151,798.7500,617.6250,-2.2500,-10.1250,10.3720
152,799.6875,606.7500,0.9375,-10.8750,10.9153
153,792.1875,612.0000,-7.5000,5.2500,9.1549
154,785.2500,633.0000,-6.9375,21.0000,22.1163
155,775.3125,641.3438,-9.9375,8.3438,12.9758
156,775.5000,641.3438,0.1875,0.0000,0.1875
157,765.3750,642.8438,-10.1250,1.5000,10.2355
158,752.6250,644.3438,-12.7500,1.5000,12.8379
159,739.8750,638.2500,-12.7500,-6.0938,14.1314
160,719.6250,626.9062,-20.2500,-11.3438,23.2108
161,706.5000,626.9062,-13.1250,0.0000,13.1250
162,706.5000,626.9062,0.0000,0.0000,0.0000
163,708.0000,630.3750,1.5000,3.4688,3.7792
164,709.1250,636.7500,1.1250,6.3750,6.4735
165,710.6250,643.5000,1.5000,6.7500,6.9147
166,707.6250,643.5000,-3.0000,0.0000,3.0000
167,704.2500,643.5938,-3.3750,0.0938,3.3763
168,704.2500,643.8750,0.0000,0.2812,0.2812
169,700.5000,640.5000,-3.7500,-3.3750,5.0451
170,696.0000,642.0000,-4.5000,1.5000,4.7434
171,688.5000,643.5938,-7.5000,1.5938,7.6675
172,687.3750,641.6250,-1.1250,-1.9688,2.2675
173,683.2500,633.8438,-4.1250,-7.7812,8.8070
174,683.3438,633.8438,0.0938,0.0000,0.0938
175,678.3750,625.4062,-4.9688,-8.4375,9.7918
176,680.6250,628.1250,2.2500,2.7188,3.5290
177,690.3750,632.3438,9.7500,4.2188,10.6236
178,714.8438,629.3438,24.4688,-3.0000,24.6520
179,735.3750,626.1562,20.5312,-3.1875,20.7772
180,735.3750,626.3438,0.0000,0.1875,0.1875
181,751.5000,620.6250,16.1250,-5.7188,17.1091
182,774.0000,607.5938,22.5000,-13.0312,26.0012
183,830.8125,599.2500,56.8125,-8.3438,57.4219
184,857.2500,600.0000,26.4375,0.7500,26.4481
185,850.3125,601.8750,-6.9375,1.8750,7.1864
186,850.3125,601.8750,0.0000,0.0000,0.0000
187,890.2500,604.4062,39.9375,2.5312,40.0176
188,937.5000,603.0000,47.2500,-1.4062,47.2709
189,954.7500,601.8750,17.2500,-1.1250,17.2866
190,975.0000,599.9062,20.2500,-1.9688,20.3455
191,987.7500,597.6562,12.7500,-2.2500,12.9470
192,987.7500,597.7500,0.0000,0.0938,0.0938
193,995.8125,599.2500,8.0625,1.5000,8.2008
194,1006.6875,609.3750,10.8750,10.1250,14.8587
195,1003.5000,615.0000,-3.1875,5.6250,6.4654
196,1001.2500,616.8750,-2.2500,1.8750,2.9288
197,1008.0000,618.0000,6.7500,1.1250,6.8431
198,1007.8125,618.0000,-0.1875,0.0000,0.1875
199,1005.7500,616.4062,-2.0625,-1.5938,2.6065
200,1001.2500,615.3750,-4.5000,-1.0312,4.6167
201,997.5000,615.7500,-3.7500,0.3750,3.7687
202,990.7500,614.6250,-6.7500,-1.1250,6.8431
203,984.7500,614.3438,-6.0000,-0.2812,6.0066
204,984.7500,614.2500,0.0000,-0.0938,0.0938
205,978.7500,615.3750,-6.0000,1.1250,6.1046
206,976.3125,615.8438,-2.4375,0.4688,2.4822
207,976.6875,618.7500,0.3750,2.9062,2.9303
208,969.0000,622.8750,-7.6875,4.1250,8.7243
209,946.3125,623.2500,-22.6875,0.3750,22.6906
210,946.5000,623.2500,0.1875,0.0000,0.1875
211,935.2500,623.1562,-11.2500,-0.0938,11.2504
212,928.5000,622.5938,-6.7500,-0.5625,6.7734
213,913.5000,621.6562,-15.0000,-0.9375,15.0293
214,902.2500,620.9062,-11.2500,-0.7500,11.2750
215,894.7500,621.0000,-7.5000,0.0938,7.5006
216,894.7500,620.9062,0.0000,-0.0938,0.0938
217,891.0000,619.5000,-3.7500,-1.4062,4.0050
218,894.0000,618.0938,3.0000,-1.4062,3.3132
219,892.5000,617.2500,-1.5000,-0.8438,1.7210
220,893.2500,617.3438,0.7500,0.0938,0.7558
221,893.2500,617.2500,0.0000,-0.0938,0.0938
