metric,087_best_model,097_best_model,best,delta,primary
overall_event_det_rate_ratio,1.0000,1.0000,=,0.0000,YES
overall_accuracy,0.8961,0.8903,087_best_model,0.0058,
overall_top2_accuracy,0.9200,0.9178,087_best_model,0.0022,
overall_macro_f1,0.8548,0.8548,=,0.0000,
overall_event_det_rate_prob,0.9333,0.9333,=,0.0000,

walk_event_rate,1.0000,1.0000,=,0.0000,YES
walk_accuracy,0.9693,0.9249,087_best_model,0.0444,
walk_top2_accuracy,1.0000,0.9829,087_best_model,0.0171,
walk_avg_true_prob,0.9567,0.9066,087_best_model,0.0502,
walk_max_true_prob,1.0000,0.9998,=,0.0002,
walk_prob_event_rate,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,4/4,4/4,-,-
walk_prob_videos_detected,4/4,4/4,-,-
walk_n_correct,568,542,-,-
walk_n_windows,586,586,-,-

lick_event_rate,1.0000,1.0000,=,0.0000,YES
lick_accuracy,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.8833,0.8588,087_best_model,0.0245,
lick_max_true_prob,0.9787,0.9411,087_best_model,0.0376,
lick_prob_event_rate,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,-,-
lick_n_correct,311,311,-,-
lick_n_windows,311,311,-,-

scratch_event_rate,1.0000,1.0000,=,0.0000,YES
scratch_accuracy,0.5303,0.5606,097_best_model,0.0303,
scratch_top2_accuracy,0.6000,0.6061,097_best_model,0.0061,
scratch_avg_true_prob,0.5235,0.5471,097_best_model,0.0236,
scratch_max_true_prob,0.9995,0.9996,=,0.0001,
scratch_prob_event_rate,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,-,-
scratch_n_correct,175,185,-,-
scratch_n_windows,330,330,-,-

shake_event_rate,1.0000,1.0000,=,0.0000,YES
shake_accuracy,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,1.0000,1.0000,=,0.0000,
shake_avg_true_prob,0.9977,0.9942,087_best_model,0.0036,
shake_max_true_prob,0.9999,0.9997,=,0.0002,
shake_prob_event_rate,0.6667,0.6667,=,0.0000,
shake_n_videos_detected,6/6,6/6,-,-
shake_prob_videos_detected,4/6,4/6,-,-
shake_n_correct,36,36,-,-
shake_n_windows,36,36,-,-

stop_event_rate,1.0000,1.0000,=,0.0000,YES
stop_accuracy,0.9631,0.9712,097_best_model,0.0080,
stop_top2_accuracy,1.0000,1.0000,=,0.0000,
stop_avg_true_prob,0.9304,0.8077,087_best_model,0.1227,
stop_max_true_prob,0.9959,0.9667,087_best_model,0.0292,
stop_prob_event_rate,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,7/7,7/7,-,-
stop_prob_videos_detected,7/7,7/7,-,-
stop_n_correct,601,606,-,-
stop_n_windows,624,624,-,-

