frame,bbox_cx,bbox_cy,bbox_dx,bbox_dy,bbox_disp
1,962.2500,446.6250,,,
2,939.1875,452.6250,-23.0625,6.0000,23.8302
3,938.2500,458.2500,-0.9375,5.6250,5.7026
4,932.8125,464.6250,-5.4375,6.3750,8.3790
5,936.1875,470.9062,3.3750,6.2812,7.1305
6,940.5000,474.0000,4.3125,3.0938,5.3074
7,939.0000,476.6250,-1.5000,2.6250,3.0233
8,935.2500,482.6250,-3.7500,6.0000,7.0755
9,933.1875,484.4062,-2.0625,1.7812,2.7252
10,926.8125,487.8750,-6.3750,3.4688,7.2576
11,923.8125,487.5000,-3.0000,-0.3750,3.0233
12,923.8125,490.5938,0.0000,3.0938,3.0938
13,921.1875,497.6250,-2.6250,7.0312,7.5053
14,916.3125,502.8750,-4.8750,5.2500,7.1644
15,915.7500,506.9062,-0.5625,4.0312,4.0703
16,913.3125,509.6250,-2.4375,2.7188,3.6514
17,913.6875,512.2500,0.3750,2.6250,2.6517
18,914.8125,514.1250,1.1250,1.8750,2.1866
19,917.2500,514.8750,2.4375,0.7500,2.5503
20,924.0000,517.4062,6.7500,2.5312,7.2090
21,927.7500,518.2500,3.7500,0.8438,3.8438
22,931.5000,519.0000,3.7500,0.7500,3.8243
23,934.3125,520.1250,2.8125,1.1250,3.0292
24,936.0000,520.5938,1.6875,0.4688,1.7514
25,933.7500,522.3750,-2.2500,1.7812,2.8697
26,933.0000,525.0000,-0.7500,2.6250,2.7300
27,930.0000,528.7500,-3.0000,3.7500,4.8023
28,928.5000,532.5938,-1.5000,3.8438,4.1261
29,928.5000,536.2500,0.0000,3.6562,3.6562
30,927.7500,535.8750,-0.7500,-0.3750,0.8385
31,926.2500,533.2500,-1.5000,-2.6250,3.0233
32,926.8125,531.0000,0.5625,-2.2500,2.3192
33,925.5000,529.1250,-1.3125,-1.8750,2.2887
34,924.1875,525.7500,-1.3125,-3.3750,3.6212
35,922.3125,522.6562,-1.8750,-3.0938,3.6176
36,921.1875,518.6250,-1.1250,-4.0312,4.1853
37,919.3125,512.2500,-1.8750,-6.3750,6.6450
38,920.2500,509.1562,0.9375,-3.0938,3.2327
39,920.8125,506.2500,0.5625,-2.9062,2.9602
40,921.0000,502.8750,0.1875,-3.3750,3.3802
41,918.0000,501.3750,-3.0000,-1.5000,3.3541
42,915.1875,497.3438,-2.8125,-4.0312,4.9154
43,915.1875,494.1562,0.0000,-3.1875,3.1875
44,911.8125,489.0000,-3.3750,-5.1562,6.1626
45,910.6875,485.6250,-1.1250,-3.3750,3.5576
46,909.1875,485.9062,-1.5000,0.2812,1.5261
47,907.6875,495.0938,-1.5000,9.1875,9.3091
48,904.6875,499.4062,-3.0000,4.3125,5.2533
49,902.2500,501.0000,-2.4375,1.5938,2.9123
50,895.5000,498.0938,-6.7500,-2.9062,7.3491
51,888.0000,492.7500,-7.5000,-5.3438,9.2090
52,880.5000,488.3438,-7.5000,-4.4062,8.6986
53,877.5000,482.9062,-3.0000,-5.4375,6.2102
54,877.5000,477.0938,0.0000,-5.8125,5.8125
55,877.5000,474.0000,0.0000,-3.0938,3.0938
56,879.1875,468.7500,1.6875,-5.2500,5.5145
57,892.5000,464.9062,13.3125,-3.8438,13.8563
58,915.1875,461.2500,22.6875,-3.6562,22.9802
59,901.5000,460.8750,-13.6875,-0.3750,13.6926
60,872.2500,463.4062,-29.2500,2.5312,29.3593
61,858.7500,465.7500,-13.5000,2.3438,13.7019
62,860.2500,474.6562,1.5000,8.9062,9.0317
63,859.6875,487.5000,-0.5625,12.8438,12.8561
64,856.5000,495.6562,-3.1875,8.1562,8.7570
65,872.2500,504.7500,15.7500,9.0938,18.1868
66,897.0000,504.8438,24.7500,0.0938,24.7502
67,899.8125,501.8438,2.8125,-3.0000,4.1122
68,897.7500,498.7500,-2.0625,-3.0938,3.7182
69,897.0000,493.5000,-0.7500,-5.2500,5.3033
70,893.2500,491.2500,-3.7500,-2.2500,4.3732
71,889.5000,486.0000,-3.7500,-5.2500,6.4517
72,882.7500,480.0000,-6.7500,-6.0000,9.0312
73,879.7500,475.5000,-3.0000,-4.5000,5.4083
74,876.7500,472.5000,-3.0000,-3.0000,4.2426
