frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,10,0.5411,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.033,1,117.75,10,0.5411,0.2438,0,0,1,-1,LOW CONF,0.0000
2,0.067,1,125.64,10,0.5386,7.0527,15,5,1,-1,LOW CONF,0.0000
3,0.100,1,122.80,10,0.5383,6.3896,23,10,1,-1,LOW CONF,0.0000
4,0.133,1,121.10,10,0.5395,3.0013,20,12,1,-1,LOW CONF,0.0000
5,0.167,1,120.42,10,0.5405,3.2364,19,13,1,-1,LOW CONF,0.0000
6,0.200,1,119.43,10,0.5406,5.4951,24,14,1,-1,LOW CONF,0.0000
7,0.233,1,114.04,10,0.5414,5.0963,27,16,1,-1,LOW CONF,0.0000
8,0.267,1,115.74,10,0.5406,1.3960,19,16,1,-1,LOW CONF,0.0000
9,0.300,1,116.13,10,0.5367,4.8790,22,17,1,-1,LOW CONF,0.0000
10,0.333,1,113.39,10,0.5378,5.1052,25,18,1,-1,LOW CONF,0.0000
11,0.367,1,115.72,10,0.5367,3.1353,22,18,1,-1,LOW CONF,0.0000
12,0.400,1,117.11,10,0.5370,3.9466,22,18,1,-1,LOW CONF,0.0000
13,0.433,1,116.40,10,0.5359,3.5616,21,18,1,-1,LOW CONF,0.0000
14,0.467,1,119.22,10,0.5351,5.6676,25,19,1,-1,LOW CONF,0.0000
