video_index,video_name,behavior,frame,time_sec,agg_cv,max_cv,top3_cv,max_seg,avg_body_size_px,midback_offset_ratio,midback_offset_jitter
5,walk_5,walk,16,0.533,0.0753831104017221,0.22711722552776337,0.18957854310671488,Chest-LFElb,752.301513671875,0.3114805817604065,0.05479736998677254
5,walk_5,walk,18,0.6,0.07206310761662629,0.2042984962463379,0.18072575827439627,Chest-LFElb,761.973876953125,0.30913394689559937,0.05121611803770065
5,walk_5,walk,20,0.667,0.06344889577191609,0.17071816325187683,0.1526851331194242,Chest-RFElb,771.3868408203125,0.307005912065506,0.045481182634830475
5,walk_5,walk,22,0.733,0.05219121778813692,0.12607447803020477,0.11264647046724956,Chest-RFElb,778.4256591796875,0.3055955469608307,0.039921075105667114
5,walk_5,walk,24,0.8,0.04654737189412117,0.10316796600818634,0.09317918121814728,Hip-LHKnee,780.760498046875,0.30564987659454346,0.03998171538114548
5,walk_5,walk,26,0.867,0.051116139914553896,0.13184019923210144,0.107526329656442,Chest-LFElb,778.2246704101562,0.30921685695648193,0.04934157058596611
5,walk_5,walk,28,0.933,0.06065035296174196,0.20161503553390503,0.1359451487660408,Chest-LFElb,771.2952270507812,0.31510111689567566,0.056531671434640884
5,walk_5,walk,30,1.0,0.07209571579901072,0.28264203667640686,0.16855993618567786,Chest-LFElb,763.6474609375,0.3218982219696045,0.048858460038900375
5,walk_5,walk,32,1.067,0.08408275361244495,0.36010777950286865,0.2151937559247017,Chest-LFElb,755.4326171875,0.3268299698829651,0.03717031329870224
5,walk_5,walk,34,1.133,0.0877199353506932,0.4006722569465637,0.24219107627868652,Chest-LFElb,748.5299072265625,0.3281371295452118,0.03291903808712959
5,walk_5,walk,36,1.2,0.08485148746806842,0.4051578640937805,0.24436945219834647,Chest-LFElb,742.956787109375,0.3280426561832428,0.03339233994483948
5,walk_5,walk,38,1.267,0.07659906557259652,0.36061814427375793,0.21829966207345328,Chest-LFElb,737.86181640625,0.3274969458580017,0.034972596913576126
5,walk_5,walk,40,1.333,0.06605235788111503,0.27846023440361023,0.17546640833218893,Chest-LFElb,731.935546875,0.32689985632896423,0.035986267030239105
5,walk_5,walk,42,1.4,0.0559785022185399,0.19280438125133514,0.13253087550401688,Chest-LFElb,724.826904296875,0.3266220688819885,0.03569060191512108
5,walk_5,walk,44,1.467,0.04713956925731439,0.1026141569018364,0.09327234327793121,Chest-LFElb,717.3292236328125,0.3256808817386627,0.03239859268069267
5,walk_5,walk,46,1.533,0.04802315452924141,0.11902462691068649,0.08141275991996129,Hip-LHKnee,704.7818603515625,0.32665541768074036,0.03715968877077103
5,walk_5,walk,48,1.6,0.05556810733217459,0.13853858411312103,0.09447058786948521,Hip-LHKnee,689.0637817382812,0.3289894461631775,0.04497832432389259
5,walk_5,walk,50,1.667,0.06351918526566945,0.14119164645671844,0.11258784681558609,Hip-LHKnee,672.2222290039062,0.3318532109260559,0.04522349685430527
5,walk_5,walk,52,1.733,0.0688375779069387,0.19785943627357483,0.14083079000314078,Chest-LFElb,658.1953735351562,0.33351850509643555,0.040249500423669815
5,walk_5,walk,54,1.8,0.07597542797716764,0.3283693790435791,0.18074971934159598,Chest-LFElb,649.974365234375,0.3324127197265625,0.046238094568252563
5,walk_5,walk,56,1.867,0.08025274153512257,0.3833039104938507,0.19805618872245154,Chest-LFElb,646.834228515625,0.3283829689025879,0.06523370742797852
5,walk_5,walk,58,1.933,0.08075110227442704,0.3874365985393524,0.20629367977380753,Chest-LFElb,649.020751953125,0.32052233815193176,0.0911666601896286
5,walk_5,walk,60,2.0,0.08004896829907711,0.36547642946243286,0.20746309061845145,Chest-LFElb,655.9681396484375,0.3108813762664795,0.11229332536458969
