frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
0,0.000,1,0.00,17,0.9563,0.0000,0,0,0,-1,LOW CONF,0.0000
1,0.033,1,316.33,17,0.9561,0.4768,0,0,1,-1,LOW CONF,0.0000
2,0.067,1,316.33,17,0.9559,0.2838,0,0,1,-1,LOW CONF,0.0000
3,0.100,1,324.06,17,0.9652,8.2155,7,2,1,-1,LOW CONF,0.0000
4,0.133,1,319.78,17,0.9626,14.8888,16,5,1,-1,LOW CONF,0.0000
5,0.167,1,332.00,17,0.9648,9.7759,17,7,1,-1,LOW CONF,0.0000
6,0.200,1,309.43,17,0.9449,13.5181,22,9,1,-1,LOW CONF,0.0000
7,0.233,1,288.90,17,0.9649,28.8364,41,13,1,-1,LOW CONF,0.0000
8,0.267,1,294.28,17,0.9702,6.4114,30,15,1,-1,LOW CONF,0.0000
9,0.300,1,297.70,17,0.9653,8.3873,25,16,1,-1,LOW CONF,0.0000
10,0.333,1,322.68,17,0.9589,17.9721,28,17,1,-1,LOW CONF,0.0000
11,0.367,1,307.15,17,0.9531,12.1983,28,18,1,-1,LOW CONF,0.0000
12,0.400,1,325.76,17,0.9505,14.4296,28,19,1,-1,LOW CONF,0.0000
13,0.433,1,329.99,17,0.9487,6.6741,22,19,1,-1,LOW CONF,0.0000
14,0.467,1,316.11,17,0.9489,14.9361,26,19,1,-1,LOW CONF,0.0000
15,0.500,1,345.16,17,0.9491,24.9311,33,20,1,-1,LOW CONF,0.0000
16,0.533,1,366.01,17,0.9575,25.6506,37,21,1,-1,LOW CONF,0.7784
17,0.567,1,371.08,17,0.9554,14.4558,32,22,1,-1,LOW CONF,0.7784
18,0.600,1,362.22,16,0.9430,11.1648,28,22,1,3,SHAKE,0.8052
19,0.633,1,342.11,16,0.9280,16.8979,31,23,1,3,SHAKE,0.8052
20,0.667,1,337.11,16,0.9182,6.5961,24,23,1,-1,LOW CONF,0.6347
21,0.700,1,333.70,16,0.9111,3.2134,17,22,1,-1,LOW CONF,0.6347
22,0.733,1,342.47,16,0.9114,16.4333,22,22,1,-1,LOW CONF,0.4043
23,0.767,1,345.78,16,0.9116,4.4624,17,22,1,-1,LOW CONF,0.4043
24,0.800,1,342.27,16,0.9025,4.4912,13,22,1,-1,LOW CONF,0.3643
25,0.833,1,324.00,16,0.9028,19.7257,24,22,1,-1,LOW CONF,0.3643
26,0.867,1,317.60,16,0.8941,6.4322,20,22,1,-1,LOW CONF,0.5925
