Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),26.90,27.16,+0.261,-0.97%
Mean Confidence,0.980,0.977,-0.003,-0.32%
Mean Jitter (px),6.91,6.96,+0.056,-0.82%
Missing Ratio,0.4%,0.4%,+0.0%,+0.00%
Nose Missing,4.4%,3.9%,-0.5%,+11.46%
Paw Missing,0.5%,0.2%,-0.3%,+0.29%
Tail Missing,2.4%,2.5%,+0.1%,-2.70%
Tail Tip Missing,5.2%,5.5%,+0.3%,-5.28%
