video_index,video_name,behavior,frame,time_sec,max_cv,top3_cv,max_seg,avg_body_size_px,midback_offset_ratio,torso_ratio
3,7月3日 (2)(1),scratch,16,0.533,0.007372585590928793,0.006703111343085766,Nose-Chest,757.6463623046875,0.19971361756324768,0.3874618113040924
3,7月3日 (2)(1),scratch,18,0.6,0.008657650090754032,0.006310124881565571,RHKnee-RHPaw,757.86669921875,0.2001478224992752,0.3875679671764374
3,7月3日 (2)(1),scratch,20,0.667,0.009404664859175682,0.006335556196669738,RHKnee-RHPaw,758.2059936523438,0.20053718984127045,0.3876875638961792
3,7月3日 (2)(1),scratch,22,0.733,0.009378692135214806,0.0064810098459323244,RHKnee-RHPaw,758.5882568359375,0.20088393986225128,0.387863427400589
3,7月3日 (2)(1),scratch,24,0.8,0.009113030508160591,0.006407477737714847,RHKnee-RHPaw,759.1578979492188,0.20117050409317017,0.3880746364593506
3,7月3日 (2)(1),scratch,26,0.867,0.008359694853425026,0.006602318026125431,RHKnee-RHPaw,759.2847900390625,0.20124219357967377,0.3880158066749573
3,7月3日 (2)(1),scratch,28,0.933,0.011044846847653389,0.008959037096550068,RHKnee-RHPaw,759.484375,0.20128434896469116,0.3879776895046234
3,7月3日 (2)(1),scratch,30,1.0,0.020642517134547234,0.015035524033010006,RHKnee-RHPaw,759.0345458984375,0.2010393738746643,0.3875904083251953
3,7月3日 (2)(1),scratch,32,1.067,0.020347442477941513,0.018100872946282227,RHKnee-RHPaw,757.2073364257812,0.2011357843875885,0.3865511417388916
3,7月3日 (2)(1),scratch,34,1.133,0.022651102393865585,0.020360688368479412,Hip-LHKnee,754.4552001953125,0.2011657953262329,0.38503772020339966
3,7月3日 (2)(1),scratch,36,1.2,0.038750194013118744,0.032543341939647995,RHKnee-RHPaw,748.12158203125,0.19927582144737244,0.3819277286529541
3,7月3日 (2)(1),scratch,38,1.267,0.061742302030324936,0.05616014947493871,Chest-MBack,740.042236328125,0.19548630714416504,0.37818506360054016
3,7月3日 (2)(1),scratch,40,1.333,0.1240333765745163,0.10530908902486165,LHKnee-LHPaw,731.4342651367188,0.1860741227865219,0.3745526671409607
3,7月3日 (2)(1),scratch,42,1.4,0.1448778510093689,0.121223879357179,LHKnee-LHPaw,722.427734375,0.1763744056224823,0.3707789480686188
3,7月3日 (2)(1),scratch,44,1.467,0.16966129839420319,0.13489815344413122,LHKnee-LHPaw,709.9882202148438,0.16737163066864014,0.36568549275398254
3,7月3日 (2)(1),scratch,46,1.533,0.17114992439746857,0.13647183030843735,LHKnee-LHPaw,697.0245361328125,0.15759193897247314,0.3601146638393402
