model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8946,0.2458,6.429,22.544,0.0439
old,1,Left_Ear,0.9758,0.0417,7.040,25.190,0.0005
old,2,Right_Ear,0.9645,0.0463,7.092,24.544,0.0002
old,3,Chest,0.9983,0.0063,4.495,15.603,0.0000
old,4,Mid_Back,0.9987,0.0031,4.485,16.492,0.0000
old,5,Hip,0.9982,0.0192,4.345,15.301,0.0000
old,6,LF_Elbow,0.9937,0.0291,5.973,24.532,0.0000
old,7,LF_Paw,0.9748,0.0841,9.956,42.168,0.0000
old,8,RF_Elbow,0.9973,0.0071,6.042,23.529,0.0000
old,9,RF_Paw,0.9577,0.1106,9.740,42.724,0.0037
old,10,LH_Knee,0.9583,0.1686,5.824,23.021,0.0140
old,11,LH_Paw,0.9600,0.1416,10.806,44.853,0.0129
old,12,RH_Knee,0.9954,0.0376,5.981,25.281,0.0008
old,13,RH_Paw,0.9822,0.0656,10.705,47.723,0.0015
old,14,Tail_Root,0.9854,0.0966,4.690,17.121,0.0069
old,15,Tail_Mid,0.9687,0.1422,5.645,20.937,0.0129
old,16,Tail_Tip,0.8744,0.2408,8.238,28.269,0.0523
new,0,Nose,0.8800,0.2440,6.377,22.551,0.0389
new,1,Left_Ear,0.9643,0.0660,7.037,25.590,0.0002
new,2,Right_Ear,0.9551,0.0684,7.127,24.561,0.0002
new,3,Chest,0.9983,0.0042,4.578,15.993,0.0000
new,4,Mid_Back,0.9984,0.0043,4.490,16.485,0.0000
new,5,Hip,0.9983,0.0169,4.257,15.369,0.0000
new,6,LF_Elbow,0.9897,0.0509,5.987,24.260,0.0000
new,7,LF_Paw,0.9855,0.0368,10.028,43.406,0.0000
new,8,RF_Elbow,0.9952,0.0178,6.058,24.981,0.0000
new,9,RF_Paw,0.9713,0.0634,9.772,42.904,0.0000
new,10,LH_Knee,0.9554,0.1814,5.682,22.964,0.0216
new,11,LH_Paw,0.9622,0.1324,10.721,45.933,0.0050
new,12,RH_Knee,0.9939,0.0319,5.946,24.121,0.0005
new,13,RH_Paw,0.9783,0.0716,10.418,45.335,0.0016
new,14,Tail_Root,0.9872,0.0893,4.854,16.661,0.0059
new,15,Tail_Mid,0.9678,0.1419,6.053,21.425,0.0131
new,16,Tail_Tip,0.8504,0.2451,9.067,32.641,0.0550
