frame,kp0_x,kp0_y,kp0_disp,kp1_x,kp1_y,kp1_disp,kp2_x,kp2_y,kp2_disp,kp3_x,kp3_y,kp3_disp,kp4_x,kp4_y,kp4_disp,kp5_x,kp5_y,kp5_disp,kp6_x,kp6_y,kp6_disp,kp7_x,kp7_y,kp7_disp,kp8_x,kp8_y,kp8_disp,kp9_x,kp9_y,kp9_disp,kp10_x,kp10_y,kp10_disp,kp11_x,kp11_y,kp11_disp,kp12_x,kp12_y,kp12_disp,kp13_x,kp13_y,kp13_disp,kp14_x,kp14_y,kp14_disp,kp15_x,kp15_y,kp15_disp,kp16_x,kp16_y,kp16_disp
1,1365.0000,487.5000,,1529.2500,274.5000,,1250.2500,243.7500,,1354.5000,607.8750,,954.0000,416.2500,,657.0000,515.2500,,1354.5000,717.7500,,1677.0000,780.0000,,1179.7500,731.6250,,1590.0000,835.5000,,808.5000,649.8750,,800.2500,867.0000,,828.7500,623.6250,,859.5000,868.5000,,,,,,,,,,
2,1365.7500,486.3750,1.3521,1530.0000,273.0000,1.6771,1250.2500,242.2500,1.5000,1356.7500,607.1250,2.3717,954.7500,415.5000,1.0607,657.0000,513.7500,1.5000,1356.0000,715.5000,2.7042,1677.0000,777.0000,3.0000,1180.5000,729.3750,2.3717,1590.0000,837.0000,1.5000,810.0000,649.5000,1.5462,798.7500,869.2500,2.7042,828.7500,619.8750,3.7500,859.5000,867.0000,1.5000,,,,,,,,,
3,1366.5000,485.2500,1.3521,1530.0000,271.5000,1.5000,1250.2500,240.7500,1.5000,1359.0000,606.7500,2.2810,954.0000,414.3750,1.3521,657.0000,513.7500,0.0000,1359.7500,714.7500,3.8243,1677.0000,774.0000,3.0000,1179.7500,729.0000,0.8385,1588.5000,837.0000,1.5000,814.5000,648.0000,4.7434,804.0000,868.5000,5.3033,827.2500,619.5000,1.5462,857.2500,865.5000,2.7042,,,,,,,,,
4,1367.2500,483.7500,1.6771,1530.0000,270.0000,1.5000,1251.0000,239.2500,1.6771,1358.2500,606.7500,0.7500,955.5000,412.8750,2.1213,657.0000,513.7500,0.0000,1357.5000,714.7500,2.2500,1677.0000,775.5000,1.5000,1180.5000,729.7500,1.0607,1587.0000,836.2500,1.6771,811.5000,648.3750,3.0233,805.5000,867.0000,2.1213,829.5000,621.0000,2.7042,864.7500,864.7500,7.5374,,,,,,,,,
5,1368.0000,483.0000,1.0607,1530.7500,269.8125,0.7731,1251.0000,238.5000,0.7500,1360.5000,606.0000,2.3717,954.7500,412.5000,0.8385,656.2500,514.1250,0.8385,1360.5000,712.8750,3.5377,1677.0000,771.0000,4.5000,1182.0000,727.5000,2.7042,1590.0000,835.5000,3.0923,814.5000,647.6250,3.0923,805.5000,867.0000,0.0000,829.5000,620.2500,0.7500,864.0000,865.5000,1.0607,,,,,,,,,
6,1369.5000,481.5000,2.1213,1530.7500,271.8750,2.0625,1252.5000,240.0000,2.1213,1361.2500,606.3750,0.8385,951.0000,411.7500,3.8243,655.5000,513.7500,0.8385,1364.2500,712.1250,3.8243,1678.5000,768.7500,2.7042,1183.5000,726.7500,1.6771,1590.0000,837.0000,1.5000,820.5000,648.0000,6.0117,808.5000,870.0000,4.2426,828.7500,620.6250,0.8385,857.2500,870.0000,8.1125,,,,,,,,,
7,1368.0000,480.0000,2.1213,1530.7500,270.5625,1.3125,1253.2500,238.5000,1.6771,1360.5000,603.7500,2.7300,951.7500,408.7500,3.0923,657.7500,511.8750,2.9288,1363.5000,710.2500,2.0194,1678.5000,768.7500,0.0000,1185.7500,727.1250,2.2810,1591.5000,836.2500,1.6771,819.0000,647.2500,1.6771,806.2500,867.0000,3.7500,829.5000,618.7500,2.0194,861.0000,864.0000,7.0755,,,,,,,,,
8,1368.0000,478.8750,1.1250,1531.5000,269.4375,1.3521,1254.0000,237.0000,1.6771,1362.7500,603.0000,2.3717,955.5000,408.7500,3.7500,658.5000,511.1250,1.0607,1364.2500,709.5000,1.0607,1677.0000,768.0000,1.6771,1186.5000,726.3750,1.0607,1591.5000,836.2500,0.0000,817.5000,646.8750,1.5462,802.5000,867.0000,3.7500,829.5000,616.8750,1.8750,861.0000,859.5000,4.5000,,,,,,,,,
9,1368.7500,478.1250,1.0607,1531.5000,268.3125,1.1250,1253.2500,235.8750,1.3521,1364.2500,602.6250,1.5462,957.0000,406.8750,2.4012,660.0000,509.2500,2.4012,1365.0000,708.0000,1.6771,1677.0000,766.5000,1.5000,1186.5000,725.2500,1.1250,1591.5000,836.2500,0.0000,819.0000,645.0000,2.4012,802.5000,867.0000,0.0000,829.5000,615.3750,1.5000,861.0000,858.7500,0.7500,,,,,,,,,
10,1369.5000,476.6250,1.6771,1531.5000,268.3125,0.0000,1254.0000,235.5000,0.8385,1363.5000,602.2500,0.8385,956.2500,405.7500,1.3521,660.0000,507.3750,1.8750,1365.0000,707.2500,0.7500,1675.5000,766.5000,1.5000,1185.7500,724.5000,1.0607,1590.0000,834.7500,2.1213,819.0000,644.2500,0.7500,801.0000,867.0000,1.5000,828.7500,613.5000,2.0194,860.2500,856.5000,2.3717,,,,,,,,,
11,1369.5000,474.3750,2.2500,1531.5000,266.8125,1.5000,1254.7500,233.6250,2.0194,1365.0000,601.8750,1.5462,957.0000,405.7500,0.7500,660.7500,508.1250,1.0607,1365.0000,708.0000,0.7500,1677.0000,768.0000,2.1213,1185.7500,725.2500,0.7500,1591.5000,834.0000,1.6771,819.0000,645.0000,0.7500,801.0000,864.0000,3.0000,830.2500,614.6250,1.8750,862.5000,854.2500,3.1820,,,,,,,,,
12,1371.0000,473.6250,1.6771,1532.2500,265.3125,1.6771,1254.0000,233.2500,0.8385,1365.0000,601.5000,0.3750,957.0000,404.2500,1.5000,660.7500,507.7500,0.3750,1365.7500,706.8750,1.3521,1677.0000,766.5000,1.5000,1187.2500,726.3750,1.8750,1596.0000,832.5000,4.7434,818.2500,645.3750,0.8385,802.5000,863.2500,1.6771,829.5000,613.5000,1.3521,865.5000,849.7500,5.4083,,,,,,,,,
13,1369.5000,472.1250,2.1213,1533.0000,264.9375,0.8385,1254.7500,233.2500,0.7500,1367.2500,600.3750,2.5156,958.5000,403.1250,1.8750,661.5000,505.1250,2.7300,1365.7500,705.3750,1.5000,1677.0000,765.7500,0.7500,1186.5000,725.2500,1.3521,1596.0000,831.0000,1.5000,819.0000,643.8750,1.6771,798.0000,864.0000,4.5621,829.5000,609.7500,3.7500,863.2500,845.2500,5.0312,,,,,,,,,
14,1369.5000,470.2500,1.8750,1533.0000,263.4375,1.5000,1254.7500,232.5000,0.7500,1372.5000,600.0000,5.2634,963.0000,403.5000,4.5156,663.7500,504.0000,2.5156,1368.7500,705.0000,3.0233,1677.0000,764.2500,1.5000,1188.0000,724.5000,1.6771,1596.0000,831.7500,0.7500,820.5000,642.7500,1.8750,796.5000,863.2500,1.6771,830.2500,605.6250,4.1926,864.7500,840.0000,5.4601,,,,,,,,,
15,1369.5000,471.3750,1.1250,1533.7500,263.2500,0.7731,1254.7500,231.3750,1.1250,1370.2500,598.8750,2.5156,963.7500,401.2500,2.3717,663.0000,502.8750,1.3521,1369.5000,703.5000,1.6771,1677.0000,761.2500,3.0000,1188.0000,722.6250,1.8750,1596.0000,831.0000,0.7500,821.2500,641.6250,1.3521,798.0000,863.2500,1.5000,829.5000,603.3750,2.3717,867.0000,838.5000,2.7042,,,,,,,,,
16,1369.5000,469.5000,1.8750,1534.5000,263.4375,0.7731,1255.5000,230.2500,1.3521,1368.0000,598.1250,2.3717,963.7500,399.7500,1.5000,662.2500,500.2500,2.7300,1368.7500,703.1250,0.8385,1677.0000,760.5000,0.7500,1188.0000,721.8750,0.7500,1596.0000,831.0000,0.0000,822.0000,640.1250,1.6771,799.5000,863.2500,1.5000,829.5000,601.5000,1.8750,867.7500,837.7500,1.0607,,,,,,,,,
