behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9756,0.9795,+0.0039,+0.40%,15.149,14.280,-0.869,+5.74%,0.0081,0.0138,+0.0057,-70.00%
lick,0.9899,0.9950,+0.0051,+0.52%,2.593,2.394,-0.199,+7.66%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9847,0.9832,-0.0014,-0.14%,5.806,5.654,-0.152,+2.63%,0.0000,0.0000,+0.0000,+0.00%
shake,0.9897,0.9901,+0.0003,+0.03%,13.122,12.744,-0.378,+2.88%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9629,0.9705,+0.0076,+0.79%,2.572,2.681,+0.109,-4.23%,0.0000,0.0000,+0.0000,+0.00%
