Frame,Timestamp,Behavior,GCN_Confidence,Is_Still,Motion_Score
1305,2026-06-17 16:53:51,walk,0.9841,NO,3.889185
1306,2026-06-17 16:53:51,walk,0.9872,NO,0.076592
1307,2026-06-17 16:53:51,walk,0.9872,NO,3.093605
1308,2026-06-17 16:53:51,walk,0.9932,NO,1.726307
1309,2026-06-17 16:53:51,walk,0.9932,NO,2.681863
1310,2026-06-17 16:53:51,walk,0.9950,NO,3.818030
1311,2026-06-17 16:53:51,walk,0.9950,NO,0.027641
1312,2026-06-17 16:53:51,walk,0.9960,NO,3.625348
1313,2026-06-17 16:53:51,walk,0.9960,NO,1.548392
1314,2026-06-17 16:53:52,walk,0.9958,NO,2.699015
1344,2026-06-17 16:53:53,walk,0.9561,NO,11.691039
1345,2026-06-17 16:53:54,walk,0.9561,NO,2.854663
1346,2026-06-17 16:53:54,walk,0.9684,NO,0.044220
1347,2026-06-17 16:53:54,walk,0.9684,NO,3.928395
1348,2026-06-17 16:53:54,walk,0.9745,NO,5.313934
1349,2026-06-17 16:53:54,walk,0.9745,NO,3.870068
1350,2026-06-17 16:53:54,walk,0.9787,NO,3.035075
1351,2026-06-17 16:53:54,walk,0.9787,NO,0.167569
1352,2026-06-17 16:53:54,walk,0.9866,NO,2.929714
1353,2026-06-17 16:53:54,walk,0.9866,NO,2.067107
1354,2026-06-17 16:53:54,walk,0.9887,NO,2.352972
1380,2026-06-17 16:53:56,walk,0.9936,NO,75.278706
1381,2026-06-17 16:53:56,walk,0.9936,NO,0.779089
1382,2026-06-17 16:53:56,walk,0.9883,NO,1.914577
1383,2026-06-17 16:53:56,walk,0.9883,NO,0.604763
1384,2026-06-17 16:53:56,walk,0.9875,NO,0.061951
1385,2026-06-17 16:53:56,walk,0.9875,NO,1.974334
1386,2026-06-17 16:53:56,walk,0.9842,NO,0.784371
1387,2026-06-17 16:53:56,walk,0.9842,NO,1.642465
1388,2026-06-17 16:53:56,walk,0.9660,NO,0.868073
1389,2026-06-17 16:53:56,walk,0.9660,NO,0.086434
1390,2026-06-17 16:53:56,walk,0.9313,NO,1.667012
1391,2026-06-17 16:53:56,walk,0.9313,NO,0.793147
1392,2026-06-17 16:53:56,walk,0.8497,NO,0.746306
1393,2026-06-17 16:53:57,walk,0.8497,NO,0.611900
1396,2026-06-17 16:53:57,lick,0.9919,NO,0.668976
1397,2026-06-17 16:53:57,lick,0.9919,NO,0.630207
1398,2026-06-17 16:53:57,lick,0.9937,NO,0.796393
1399,2026-06-17 16:53:57,lick,0.9937,NO,0.042194
1400,2026-06-17 16:53:57,lick,0.9954,NO,0.460135
1401,2026-06-17 16:53:57,lick,0.9954,NO,0.574196
1402,2026-06-17 16:53:57,lick,0.9963,NO,0.333840
1403,2026-06-17 16:53:57,lick,0.9963,NO,1.079569
1404,2026-06-17 16:53:57,lick,0.9958,NO,0.073282
1405,2026-06-17 16:53:57,lick,0.9958,NO,0.706007
1406,2026-06-17 16:53:57,lick,0.9964,NO,1.155767
1407,2026-06-17 16:53:57,lick,0.9964,NO,2.468638
1408,2026-06-17 16:53:58,lick,0.9951,NO,0.718562
1409,2026-06-17 16:53:58,lick,0.9951,NO,0.057542
1484,2026-06-17 16:54:03,walk,0.8715,NO,70.982929
1485,2026-06-17 16:54:03,walk,0.8715,NO,0.051856
1486,2026-06-17 16:54:03,walk,0.9517,NO,1.495879
1487,2026-06-17 16:54:03,walk,0.9517,NO,2.327160
1488,2026-06-17 16:54:03,walk,0.9360,NO,2.285901
1489,2026-06-17 16:54:03,walk,0.9360,NO,3.542545
1490,2026-06-17 16:54:03,walk,0.8877,NO,0.052778
1491,2026-06-17 16:54:03,walk,0.8877,NO,4.019110
1496,2026-06-17 16:54:03,shake,0.8359,NO,3.246285
1497,2026-06-17 16:54:03,shake,0.8359,NO,3.565784
1498,2026-06-17 16:54:03,shake,0.9564,NO,3.228047
1499,2026-06-17 16:54:04,shake,0.9564,NO,1.757311
1500,2026-06-17 16:54:04,shake,0.9897,NO,0.103717
1501,2026-06-17 16:54:04,shake,0.9897,NO,3.626103
1502,2026-06-17 16:54:04,shake,0.9929,NO,3.545457
1503,2026-06-17 16:54:04,shake,0.9929,NO,6.061892
1504,2026-06-17 16:54:04,shake,0.9956,NO,3.633888
1505,2026-06-17 16:54:04,shake,0.9956,NO,0.059483
1506,2026-06-17 16:54:04,shake,0.9948,NO,3.468983
1507,2026-06-17 16:54:04,shake,0.9948,NO,4.112449
1508,2026-06-17 16:54:04,shake,0.9965,NO,5.164291
1509,2026-06-17 16:54:04,shake,0.9965,NO,3.561160
1510,2026-06-17 16:54:04,shake,0.9972,NO,0.056173
1511,2026-06-17 16:54:04,shake,0.9972,NO,3.642475
1512,2026-06-17 16:54:04,shake,0.9982,NO,5.045177
1513,2026-06-17 16:54:04,shake,0.9982,NO,2.635384
1529,2026-06-17 16:54:05,shake,0.9990,NO,4.738342
1530,2026-06-17 16:54:06,shake,0.9990,NO,0.027429
1540,2026-06-17 16:54:06,walk,0.8195,NO,1.046500
1541,2026-06-17 16:54:06,walk,0.8195,NO,0.995309
1542,2026-06-17 16:54:06,walk,0.8359,NO,0.660509
1543,2026-06-17 16:54:06,walk,0.8359,NO,0.806786
1544,2026-06-17 16:54:06,walk,0.8397,NO,0.128459
1545,2026-06-17 16:54:06,walk,0.8397,NO,0.662453
1554,2026-06-17 16:54:07,stop,0.9077,NO,0.057356
1555,2026-06-17 16:54:07,stop,0.9077,NO,0.493285
1556,2026-06-17 16:54:07,stop,0.9127,NO,0.624665
1557,2026-06-17 16:54:07,stop,0.9127,NO,0.814879
1558,2026-06-17 16:54:07,stop,0.9203,NO,0.874723
1559,2026-06-17 16:54:07,stop,0.9203,NO,0.085923
1560,2026-06-17 16:54:07,stop,0.9193,NO,1.213265
1561,2026-06-17 16:54:08,stop,0.9193,NO,0.974802
1562,2026-06-17 16:54:08,stop,0.9263,NO,1.438237
1563,2026-06-17 16:54:08,stop,0.9263,NO,0.788652
1564,2026-06-17 16:54:08,stop,0.9258,NO,0.098038
1565,2026-06-17 16:54:08,stop,0.9258,NO,0.807936
1566,2026-06-17 16:54:08,stop,0.9317,NO,0.917524
1567,2026-06-17 16:54:08,stop,0.9317,NO,0.361380
1606,2026-06-17 16:54:10,walk,0.8785,NO,5.859293
1607,2026-06-17 16:54:11,walk,0.8785,NO,3.495272
1608,2026-06-17 16:54:11,walk,0.9511,NO,0.034323
1609,2026-06-17 16:54:11,walk,0.9511,NO,6.103485
1610,2026-06-17 16:54:11,walk,0.9873,NO,2.567181
1611,2026-06-17 16:54:11,walk,0.9873,NO,0.027888
1612,2026-06-17 16:54:11,walk,0.9946,NO,6.201798
1613,2026-06-17 16:54:11,walk,0.9946,NO,3.272221
1614,2026-06-17 16:54:11,walk,0.9957,NO,0.013892
1615,2026-06-17 16:54:11,walk,0.9957,NO,6.526124
1616,2026-06-17 16:54:11,walk,0.9958,NO,3.814090
1617,2026-06-17 16:54:11,walk,0.9958,NO,0.036355
1618,2026-06-17 16:54:11,walk,0.9966,NO,5.878900
1619,2026-06-17 16:54:11,walk,0.9966,NO,1.879707
1620,2026-06-17 16:54:11,walk,0.9969,NO,0.019884
1621,2026-06-17 16:54:11,walk,0.9969,NO,4.075894
1622,2026-06-17 16:54:12,walk,0.9948,NO,2.360442
1623,2026-06-17 16:54:12,walk,0.9948,NO,0.015106
1624,2026-06-17 16:54:12,walk,0.9935,NO,5.259729
1625,2026-06-17 16:54:12,walk,0.9935,NO,2.731859
1626,2026-06-17 16:54:12,walk,0.9955,NO,0.035882
1627,2026-06-17 16:54:12,walk,0.9955,NO,6.432104
1628,2026-06-17 16:54:12,walk,0.9961,NO,3.012590
1629,2026-06-17 16:54:12,walk,0.9961,NO,0.042841
1681,2026-06-17 16:54:15,walk,0.9982,NO,6.787771
1682,2026-06-17 16:54:15,walk,0.9981,NO,2.723712
1683,2026-06-17 16:54:15,walk,0.9981,NO,0.073890
1684,2026-06-17 16:54:15,walk,0.9981,NO,5.213788
1685,2026-06-17 16:54:16,walk,0.9981,NO,2.610015
1686,2026-06-17 16:54:16,walk,0.9986,NO,0.078500
1687,2026-06-17 16:54:16,walk,0.9986,NO,6.023785
1688,2026-06-17 16:54:16,walk,0.9980,NO,3.193492
1689,2026-06-17 16:54:16,walk,0.9980,NO,0.067843
1690,2026-06-17 16:54:16,walk,0.9981,NO,5.876743
1691,2026-06-17 16:54:16,walk,0.9981,NO,3.786110
1692,2026-06-17 16:54:16,walk,0.9986,NO,0.078095
1693,2026-06-17 16:54:16,walk,0.9986,NO,8.116440
1694,2026-06-17 16:54:16,walk,0.9986,NO,3.550548
1695,2026-06-17 16:54:16,walk,0.9986,NO,0.074668
1696,2026-06-17 16:54:16,walk,0.9983,NO,7.152079
1697,2026-06-17 16:54:16,walk,0.9983,NO,4.056808
1698,2026-06-17 16:54:16,walk,0.9977,NO,0.086766
1699,2026-06-17 16:54:16,walk,0.9977,NO,7.394858
1700,2026-06-17 16:54:16,walk,0.9974,NO,3.317727
1701,2026-06-17 16:54:16,walk,0.9974,NO,0.050261
1702,2026-06-17 16:54:17,walk,0.9961,NO,3.127098
1703,2026-06-17 16:54:17,walk,0.9961,NO,2.034740
1704,2026-06-17 16:54:17,walk,0.9953,NO,0.066306
1705,2026-06-17 16:54:17,walk,0.9953,NO,6.048723
1706,2026-06-17 16:54:17,walk,0.9928,NO,2.888969
1707,2026-06-17 16:54:17,walk,0.9928,NO,0.046648
1708,2026-06-17 16:54:17,walk,0.9944,NO,6.189584
1709,2026-06-17 16:54:17,walk,0.9944,NO,3.235845
1710,2026-06-17 16:54:17,walk,0.9956,NO,0.037510
1711,2026-06-17 16:54:17,walk,0.9956,NO,7.865223
1712,2026-06-17 16:54:17,walk,0.9955,NO,3.080776
1713,2026-06-17 16:54:17,walk,0.9955,NO,0.070619
1714,2026-06-17 16:54:17,walk,0.9932,NO,4.691899
1715,2026-06-17 16:54:17,walk,0.9932,NO,3.968991
1716,2026-06-17 16:54:17,walk,0.9927,NO,0.054306
1717,2026-06-17 16:54:17,walk,0.9927,NO,7.974387
1718,2026-06-17 16:54:18,walk,0.9876,NO,3.863515
1719,2026-06-17 16:54:18,walk,0.9876,NO,0.451699
1720,2026-06-17 16:54:18,walk,0.9697,NO,8.157039
1721,2026-06-17 16:54:18,walk,0.9697,NO,3.238656
1722,2026-06-17 16:54:18,walk,0.9384,NO,0.021254
1723,2026-06-17 16:54:18,walk,0.9384,NO,6.292072
2079,2026-06-17 16:54:40,stop,0.8615,NO,86.419716
2080,2026-06-17 16:54:40,walk,0.9691,NO,0.743497
2081,2026-06-17 16:54:40,walk,0.9691,NO,0.581621
2082,2026-06-17 16:54:40,walk,0.9433,NO,0.638804
2083,2026-06-17 16:54:40,walk,0.9433,NO,0.604044
2084,2026-06-17 16:54:40,walk,0.9083,NO,3.721281
2085,2026-06-17 16:54:40,walk,0.9083,NO,1.083561
2094,2026-06-17 16:54:41,stop,0.8800,NO,0.882745
2095,2026-06-17 16:54:41,stop,0.8800,NO,1.003064
