date,time,behavior_id,behavior_name,duration_sec,activity
2026-05-05,19:44:53,1,舔舐,2.0,8
2026-05-05,19:44:55,1,舔舐,2.0,17
2026-05-05,19:44:57,1,舔舐,2.1,12
2026-05-05,19:44:59,1,舔舐,2.1,8
2026-05-05,19:45:01,1,舔舐,2.1,8
2026-05-05,19:45:03,1,舔舐,2.1,9
2026-05-05,19:45:05,1,舔舐,2.0,13
2026-05-05,19:45:07,1,舔舐,2.0,9
2026-05-05,19:45:09,1,舔舐,2.0,13
2026-05-05,19:45:11,1,舔舐,2.0,10
2026-05-05,19:45:13,1,舔舐,2.0,11
2026-05-05,19:45:15,1,舔舐,2.1,8
2026-05-05,19:45:17,1,舔舐,2.0,8
2026-05-05,19:45:19,1,舔舐,2.0,17
2026-05-05,19:45:21,1,舔舐,2.0,13
2026-05-05,19:45:23,1,舔舐,2.1,8
2026-05-05,19:45:25,1,舔舐,2.0,17
2026-05-05,19:45:28,1,舔舐,2.0,13
2026-05-05,19:45:30,1,舔舐,2.1,7
2026-05-05,19:45:32,1,舔舐,2.0,11
2026-05-05,19:45:34,1,舔舐,2.1,7
2026-05-05,19:45:38,1,舔舐,3.9,12
2026-05-05,19:45:40,1,舔舐,2.1,12
2026-05-05,19:45:42,1,舔舐,2.1,15
2026-05-05,19:45:44,1,舔舐,2.2,13
2026-05-05,19:45:46,1,舔舐,2.1,17
2026-05-05,19:45:48,1,舔舐,2.1,14
2026-05-05,19:45:50,1,舔舐,2.1,12
2026-05-05,19:45:52,1,舔舐,2.1,20
2026-05-05,19:45:54,1,舔舐,2.1,16
2026-05-05,19:45:56,1,舔舐,2.0,14
2026-05-05,19:45:58,1,舔舐,2.1,17
2026-05-05,19:46:00,1,舔舐,2.1,11
2026-05-05,19:46:03,1,舔舐,2.1,7
2026-05-05,19:46:05,1,舔舐,2.1,5
2026-05-05,19:46:07,1,舔舐,2.1,6
2026-05-05,19:46:09,1,舔舐,2.1,9
2026-05-05,19:46:11,1,舔舐,2.1,21
2026-05-05,19:46:13,1,舔舐,2.1,17
2026-05-05,19:46:15,1,舔舐,2.1,12
2026-05-05,19:46:17,1,舔舐,2.1,14
2026-05-05,19:46:19,1,舔舐,2.1,14
2026-05-05,19:46:21,1,舔舐,2.1,17
2026-05-05,19:46:24,1,舔舐,2.1,16
2026-05-05,19:46:26,1,舔舐,2.1,11
2026-05-05,19:46:28,1,舔舐,2.1,9
2026-05-05,19:46:30,1,舔舐,2.1,5
2026-05-05,19:46:32,1,舔舐,2.1,3
2026-05-05,19:46:34,1,舔舐,2.1,3
2026-05-05,19:46:36,1,舔舐,2.1,5
2026-05-05,19:46:38,1,舔舐,2.1,8
2026-05-05,19:46:40,1,舔舐,2.1,16
2026-05-05,19:46:42,1,舔舐,2.1,13
2026-05-05,19:46:45,1,舔舐,2.1,8
2026-05-05,19:46:47,1,舔舐,2.1,6
2026-05-05,19:46:49,1,舔舐,2.1,12
2026-05-05,19:46:51,1,舔舐,2.1,10
2026-05-05,19:46:53,1,舔舐,2.1,13
2026-05-05,19:46:55,1,舔舐,2.1,16
