video_index,video_name,behavior,frame,time_sec,max_cv,top3_cv,max_seg,avg_body_size_px,midback_offset_ratio
3,7月3日 (2)(1),scratch,16,0.533,0.007372585590928793,0.006703111343085766,Nose-Chest,757.6463623046875,0.19971361756324768
3,7月3日 (2)(1),scratch,18,0.6,0.008657650090754032,0.006310124881565571,RHKnee-RHPaw,757.86669921875,0.2001478224992752
3,7月3日 (2)(1),scratch,20,0.667,0.009404664859175682,0.006335556196669738,RHKnee-RHPaw,758.2059936523438,0.20053718984127045
3,7月3日 (2)(1),scratch,22,0.733,0.009378692135214806,0.0064810098459323244,RHKnee-RHPaw,758.5882568359375,0.20088393986225128
3,7月3日 (2)(1),scratch,24,0.8,0.009113030508160591,0.006407477737714847,RHKnee-RHPaw,759.1578979492188,0.20117050409317017
3,7月3日 (2)(1),scratch,26,0.867,0.008359694853425026,0.006602318026125431,RHKnee-RHPaw,759.2847900390625,0.20124219357967377
3,7月3日 (2)(1),scratch,28,0.933,0.011044846847653389,0.008959037096550068,RHKnee-RHPaw,759.484375,0.20128434896469116
3,7月3日 (2)(1),scratch,30,1.0,0.020642517134547234,0.015035524033010006,RHKnee-RHPaw,759.0345458984375,0.2010393738746643
3,7月3日 (2)(1),scratch,32,1.067,0.020347442477941513,0.018100872946282227,RHKnee-RHPaw,757.2073364257812,0.2011357843875885
3,7月3日 (2)(1),scratch,34,1.133,0.022651102393865585,0.020360688368479412,Hip-LHKnee,754.4552001953125,0.2011657953262329
3,7月3日 (2)(1),scratch,36,1.2,0.038750194013118744,0.032543341939647995,RHKnee-RHPaw,748.12158203125,0.19927582144737244
3,7月3日 (2)(1),scratch,38,1.267,0.061742302030324936,0.05616014947493871,Chest-MBack,740.042236328125,0.19548630714416504
3,7月3日 (2)(1),scratch,40,1.333,0.1240333765745163,0.10530908902486165,LHKnee-LHPaw,731.4342651367188,0.1860741227865219
3,7月3日 (2)(1),scratch,42,1.4,0.1448778510093689,0.121223879357179,LHKnee-LHPaw,722.427734375,0.1763744056224823
3,7月3日 (2)(1),scratch,44,1.467,0.16966129839420319,0.13489815344413122,LHKnee-LHPaw,709.9882202148438,0.16737163066864014
3,7月3日 (2)(1),scratch,46,1.533,0.17114992439746857,0.13647183030843735,LHKnee-LHPaw,697.0245361328125,0.15759193897247314
3,7月3日 (2)(1),scratch,48,1.6,0.15329909324645996,0.12687410414218903,LHKnee-LHPaw,685.9740600585938,0.1476350873708725
3,7月3日 (2)(1),scratch,50,1.667,0.12632088363170624,0.11993672202030818,LHKnee-LHPaw,674.9376220703125,0.13734540343284607
3,7月3日 (2)(1),scratch,52,1.733,0.13067075610160828,0.1061736320455869,Nose-Chest,665.436767578125,0.1288882941007614
3,7月3日 (2)(1),scratch,54,1.8,0.13365456461906433,0.10226219395796458,Nose-Chest,658.8050537109375,0.12199613451957703
3,7月3日 (2)(1),scratch,56,1.867,0.13119302690029144,0.09740661333004634,Nose-Chest,652.0582275390625,0.12155859172344208
3,7月3日 (2)(1),scratch,58,1.933,0.11616730690002441,0.0884025643269221,Nose-Chest,645.58251953125,0.12085038423538208
3,7月3日 (2)(1),scratch,60,2.0,0.09266480803489685,0.07720649987459183,Nose-Chest,641.2109375,0.11785459518432617
3,7月3日 (2)(1),scratch,62,2.067,0.08996795862913132,0.08401262760162354,Nose-REar,639.1436767578125,0.11373314261436462
3,7月3日 (2)(1),scratch,64,2.133,0.08547735959291458,0.08113770683606465,Nose-REar,636.08642578125,0.10883668065071106
3,7月3日 (2)(1),scratch,66,2.2,0.08471029996871948,0.07880167911450069,RHKnee-RHPaw,632.61083984375,0.10498547554016113
3,7月3日 (2)(1),scratch,68,2.267,0.07094062119722366,0.06961564968029658,Nose-REar,632.8397827148438,0.1015653908252716
3,7月3日 (2)(1),scratch,70,2.333,0.06617554277181625,0.06160949791471163,RHKnee-RHPaw,632.1608276367188,0.09865140914916992
3,7月3日 (2)(1),scratch,72,2.4,0.058489084243774414,0.052883015324672066,RHKnee-RHPaw,630.9271240234375,0.09505019336938858
3,7月3日 (2)(1),scratch,74,2.467,0.042570073157548904,0.04059497887889544,LHKnee-LHPaw,631.9618530273438,0.09008552134037018
3,7月3日 (2)(1),scratch,76,2.533,0.04372245445847511,0.037378101299206413,LHKnee-LHPaw,634.6165771484375,0.08792626112699509
3,7月3日 (2)(1),scratch,78,2.6,0.04333188757300377,0.03293993261953195,LHKnee-LHPaw,635.2896728515625,0.0878613218665123
3,7月3日 (2)(1),scratch,80,2.667,0.028655322268605232,0.028414299711585045,Hip-LHKnee,638.28271484375,0.08677643537521362
3,7月3日 (2)(1),scratch,82,2.733,0.03185899183154106,0.029122617095708847,LHKnee-LHPaw,642.70703125,0.08579066395759583
3,7月3日 (2)(1),scratch,84,2.8,0.031854286789894104,0.027621087928613026,LHKnee-LHPaw,643.718017578125,0.08505495637655258
3,7月3日 (2)(1),scratch,86,2.867,0.031757086515426636,0.029075684646765392,LHKnee-LHPaw,647.6543579101562,0.08259278535842896
3,7月3日 (2)(1),scratch,88,2.933,0.02845580503344536,0.027296677231788635,LHKnee-LHPaw,652.2196044921875,0.08080565929412842
3,7月3日 (2)(1),scratch,90,3.0,0.03281397372484207,0.027300356576840084,LHKnee-LHPaw,653.869384765625,0.08120070397853851
3,7月3日 (2)(1),scratch,92,3.067,0.03166588768362999,0.028260997186104458,LHKnee-LHPaw,658.131591796875,0.07919888198375702
3,7月3日 (2)(1),scratch,94,3.133,0.03197414055466652,0.026299866537253063,LHKnee-LHPaw,661.3316650390625,0.07866678386926651
3,7月3日 (2)(1),scratch,96,3.2,0.032061364501714706,0.027585411444306374,LHKnee-LHPaw,661.828369140625,0.07909822463989258
3,7月3日 (2)(1),scratch,98,3.267,0.030073532834649086,0.025577617188294727,Nose-REar,663.1217041015625,0.07831022143363953
3,7月3日 (2)(1),scratch,100,3.333,0.032947298139333725,0.028667562330762546,Nose-REar,665.3929443359375,0.07815209776163101
3,7月3日 (2)(1),scratch,102,3.4,0.03505069762468338,0.029632999872167904,Nose-REar,662.4354248046875,0.07977959513664246
3,7月3日 (2)(1),scratch,104,3.467,0.03363661468029022,0.02874665396908919,Nose-REar,661.9973754882812,0.08013945817947388
3,7月3日 (2)(1),scratch,106,3.533,0.07399961352348328,0.04912403722604116,LHKnee-LHPaw,660.3089599609375,0.08445070683956146
3,7月3日 (2)(1),scratch,108,3.6,0.12394704669713974,0.07431356360514958,LHKnee-LHPaw,656.3041381835938,0.0917292982339859
3,7月3日 (2)(1),scratch,110,3.667,0.1676466464996338,0.10662101954221725,LHKnee-LHPaw,655.6005859375,0.09921828657388687
3,7月3日 (2)(1),scratch,112,3.733,0.19288939237594604,0.1305586646000544,LHKnee-LHPaw,657.910400390625,0.10932734608650208
