behavior,old_mean_confidence,new_mean_confidence,conf_change,conf_improvement_pct,old_mean_jitter,new_mean_jitter,jitter_change,jitter_improvement_pct,old_missing_ratio,new_missing_ratio,missing_change,missing_improvement_pct
walk,0.9855,0.9893,+0.0038,+0.39%,9.172,8.927,-0.246,+2.68%,0.0000,0.0000,+0.0000,+0.00%
lick,0.9833,0.9889,+0.0057,+0.58%,3.415,3.005,-0.410,+12.01%,0.0000,0.0000,+0.0000,+0.00%
scratch,0.9636,0.9708,+0.0072,+0.75%,5.120,4.761,-0.359,+7.01%,0.0036,0.0036,+0.0000,+0.00%
shake,0.9781,0.9611,-0.0171,-1.75%,12.267,12.578,+0.311,-2.54%,0.0000,0.0000,+0.0000,+0.00%
stop,0.9001,0.8969,-0.0032,-0.35%,4.536,3.342,-1.194,+26.32%,0.0000,0.0000,+0.0000,+0.00%
