Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),22.09,21.67,-0.421,+1.90%
Mean Confidence,0.986,0.983,-0.003,-0.31%
Mean Jitter (px),5.85,5.72,-0.129,+2.20%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,5.4%,5.2%,-0.3%,+4.73%
Paw Missing,0.1%,0.2%,+0.1%,-0.11%
Tail Missing,3.4%,4.2%,+0.8%,-23.43%
Tail Tip Missing,7.8%,9.7%,+1.9%,-24.01%
