video_index,video_name,behavior,frame,time_sec,midback_offset_ratio,midback_angle,body_axis_score_jitter
3,7月7日 (8),stop,16,0.533,0.3090928792953491,118.81341893374395,3.212081327164938
3,7月7日 (8),stop,18,0.6,0.3064817786216736,118.73802866650064,3.3161459196869885
3,7月7日 (8),stop,20,0.667,0.3060627281665802,117.54052137854724,1.0140495909735279
3,7月7日 (8),stop,22,0.733,0.3081957995891571,116.13568418042689,0.8895570773721886
3,7月7日 (8),stop,24,0.8,0.310757577419281,116.36841237538117,1.1773722104764488
3,7月7日 (8),stop,26,0.867,0.31345903873443604,115.29401414185301,1.5112009221644627
3,7月7日 (8),stop,28,0.933,0.3174186050891876,113.7408919876383,2.212459827659046
3,7月7日 (8),stop,30,1.0,0.3212641179561615,113.78839203434039,2.2972987600352752
3,7月7日 (8),stop,32,1.067,0.3252102732658386,113.39534513833088,2.8490672197754066
3,7月7日 (8),stop,34,1.133,0.329514741897583,112.57524884814876,3.035500959094165
3,7月7日 (8),stop,36,1.2,0.33273041248321533,113.01784438696293,3.41691035261789
3,7月7日 (8),stop,38,1.267,0.33462563157081604,113.1790793345054,2.917534665991525
3,7月7日 (8),stop,40,1.333,0.3360035717487335,114.01760847423229,2.5319090460826885
3,7月7日 (8),stop,42,1.4,0.33729368448257446,112.69737346210826,3.214377414741975
3,7月7日 (8),stop,44,1.467,0.3385964632034302,111.83401613431236,2.256383889467685
3,7月7日 (8),stop,46,1.533,0.3405228853225708,110.34690699039838,1.9601759293794743
3,7月7日 (8),stop,48,1.6,0.3424614667892456,110.84734833685529,1.8823977075864775
3,7月7日 (8),stop,50,1.667,0.34365224838256836,111.12004925359446,1.111296947034532
3,7月7日 (8),stop,52,1.733,0.3452696204185486,111.01323546430415,1.111296947034532
3,7月7日 (8),stop,54,1.8,0.3455381989479065,113.86953807932314,1.3353111585026198
3,7月7日 (8),stop,56,1.867,0.3456234335899353,113.50836331339873,1.3353111585026198
3,7月7日 (8),stop,58,1.933,0.3442768454551697,114.91140765243931,1.3353111585026198
3,7月7日 (8),stop,60,2.0,0.34356456995010376,113.9454624128074,1.5671327887591104
3,7月7日 (8),stop,62,2.067,0.34031176567077637,115.51595244633519,2.1805436684194603
3,7月7日 (8),stop,64,2.133,0.3363822102546692,115.94090035529565,2.1805436684194603
3,7月7日 (8),stop,66,2.2,0.3327295482158661,115.67806870598866,1.780101638506963
3,7月7日 (8),stop,68,2.267,0.32822975516319275,117.04773803156166,1.8064612363381087
3,7月7日 (8),stop,70,2.333,0.3251904249191284,117.95237112763836,3.340977354014086
3,7月7日 (8),stop,72,2.4,0.3211093246936798,119.9894381341287,2.5701304195438155
3,7月7日 (8),stop,74,2.467,0.3174894154071808,119.82158663942577,2.519408160348334
3,7月7日 (8),stop,76,2.533,0.30933624505996704,125.75318619195247,3.9724275732532988
3,7月7日 (8),stop,78,2.6,0.3009169101715088,129.74345630503984,4.882787839180253
3,7月7日 (8),stop,80,2.667,0.29308217763900757,128.57520670363888,4.972405025513936
3,7月7日 (8),stop,82,2.733,0.28382810950279236,131.152670830799,4.965115960948253
3,7月7日 (8),stop,84,2.8,0.2757191061973572,129.7665157154273,4.358232390576006
3,7月7日 (8),stop,86,2.867,0.27109357714653015,126.8487927147652,4.358232390576006
3,7月7日 (8),stop,88,2.933,0.2671113908290863,126.48654493570801,4.358232390576006
3,7月7日 (8),stop,90,3.0,0.2641560435295105,125.1328393100495,2.068243543047842
3,7月7日 (8),stop,92,3.067,0.2647770643234253,124.72716038354298,2.068243543047842
3,7月7日 (8),stop,94,3.133,0.2669790983200073,125.49229895621795,2.068243543047842
3,7月7日 (8),stop,96,3.2,0.268658310174942,126.20690761408984,2.068243543047842
3,7月7日 (8),stop,98,3.267,0.2732510566711426,123.6279037030409,2.068243543047842
3,7月7日 (8),stop,100,3.333,0.2777395248413086,123.62987653205882,1.7297461172025237
3,7月7日 (8),stop,102,3.4,0.2779505252838135,125.30360632473679,1.2097652126009706
3,7月7日 (8),stop,104,3.467,0.2783481478691101,125.21404166894489,1.2097652126009706
3,7月7日 (8),stop,106,3.533,0.27928417921066284,123.89427210899962,0.8973312312777466
3,7月7日 (8),stop,108,3.6,0.2781528830528259,127.25270731559912,1.0893550075705178
3,7月7日 (8),stop,110,3.667,0.2766992747783661,127.17751583365954,1.0893550075705178
3,7月7日 (8),stop,112,3.733,0.2761542797088623,123.51703025576228,1.9397125562059756
3,7月7日 (8),stop,114,3.8,0.276439905166626,122.38569130519211,1.9412030547804022
3,7月7日 (8),stop,116,3.867,0.27564537525177,122.90349776351691,2.834556081394439
3,7月7日 (8),stop,118,3.933,0.27651265263557434,121.6097048678477,4.251680074975269
3,7月7日 (8),stop,120,4.0,0.27848726511001587,120.40740937885028,4.251680074975269
3,7月7日 (8),stop,122,4.067,0.2805420756340027,119.7035321963872,4.251680074975269
