frame_idx,motion_px,rolling_mean_px,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,shake
2,1.1179,0.0000,0,1,shake
3,0.8673,0.9926,1,1,shake
4,0.8776,0.9543,1,1,shake
5,1.0879,0.9877,1,1,shake
6,1.0924,1.0086,1,1,shake
7,0.9771,1.0034,1,1,shake
8,1.3959,1.0595,1,1,shake
9,1.4182,1.1043,1,1,shake
10,1.7306,1.1739,1,1,shake
11,1.8335,1.2398,1,1,shake
12,1.3916,1.2536,1,1,shake
13,4.6830,1.5394,0,1,shake
14,0.9562,1.4946,1,1,shake
15,0.6981,1.4377,1,1,shake
16,0.5948,1.3815,1,1,shake
17,0.4918,1.3259,1,1,shake
18,0.4354,1.2735,1,1,shake
19,0.3316,1.2212,1,1,shake
20,0.4741,1.1818,1,1,shake
21,0.4469,1.1451,1,1,shake
22,0.4607,1.1125,1,1,shake
23,0.4464,1.0822,1,1,shake
24,0.5668,1.0598,1,1,shake
25,0.5576,1.0389,1,1,shake
26,3.7920,1.1490,1,1,shake
27,0.4078,1.1205,1,1,shake
28,0.3090,1.0904,1,1,shake
29,0.3492,1.0640,1,1,shake
30,0.3242,1.0385,1,1,shake
31,0.3306,1.0149,1,1,shake
32,0.3681,0.9899,1,1,shake
33,0.7717,0.9867,1,1,shake
34,1.1979,0.9974,1,1,shake
35,1.8220,1.0218,1,1,shake
36,1.8834,1.0482,1,1,shake
37,3.7567,1.1409,1,1,shake
38,10.5121,1.4447,1,1,shake
39,7.9202,1.6615,0,1,shake
40,19.4069,2.2507,0,1,shake
41,12.6509,2.6113,0,1,shake
42,6.7440,2.7897,0,1,shake
43,8.6438,2.9217,0,1,shake
44,9.5647,3.2086,0,1,shake
45,10.5995,3.5387,0,1,shake
46,10.3531,3.8640,0,1,shake
47,9.9183,4.1782,0,1,shake
48,8.5960,4.4502,0,1,shake
49,9.5409,4.7572,0,1,shake
50,8.4447,5.0229,0,1,shake
51,7.8995,5.2713,0,1,shake
52,11.4306,5.6370,0,1,shake
53,10.1672,5.9610,0,1,shake
54,7.1577,6.1807,0,1,shake
55,6.6431,6.3835,0,1,shake
