frame_idx,motion_px,rolling_mean_px,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,lick
2,0.8607,0.0000,0,1,lick
3,0.9292,0.8950,1,1,lick
4,3.6164,1.8021,1,1,lick
5,2.2081,1.9036,1,1,lick
6,2.8324,2.0894,0,1,lick
7,2.2227,2.1116,0,1,lick
8,1.2743,1.9920,1,1,lick
9,0.7324,1.8345,1,1,lick
10,2.7001,1.9307,1,1,lick
11,3.9714,2.1348,0,1,lick
12,2.1958,2.1403,0,1,lick
13,1.1244,2.0557,0,1,lick
14,1.0316,1.9769,1,1,lick
15,2.2200,1.9943,1,1,lick
16,3.2835,2.0802,0,1,lick
17,2.7720,2.1234,0,1,lick
18,2.1277,2.1237,0,1,lick
19,1.0851,2.0660,0,1,lick
20,0.3987,1.9782,1,1,lick
21,3.3994,2.0493,0,1,lick
22,3.0496,2.0969,0,1,lick
23,1.7815,2.0826,0,1,lick
24,1.5607,2.0599,0,1,lick
25,0.8789,2.0107,0,1,lick
26,1.0180,1.9710,1,1,lick
27,2.1828,1.9791,1,1,lick
28,2.6417,2.0037,0,1,lick
29,2.4387,2.0192,0,1,lick
30,1.6045,2.0049,0,1,lick
31,0.8697,1.9671,1,1,lick
32,0.6268,1.9593,1,1,lick
33,1.2831,1.9711,1,1,lick
34,3.0533,1.9523,1,1,lick
35,2.0844,1.9482,1,1,lick
36,1.7601,1.9124,1,1,lick
37,2.1912,1.9114,1,1,lick
38,1.3845,1.9151,1,1,lick
39,1.6517,1.9457,1,1,lick
40,1.2532,1.8975,1,1,lick
41,1.9785,1.8310,1,1,lick
42,3.0976,1.8611,1,1,lick
43,1.8792,1.8863,1,1,lick
44,0.9230,1.8826,1,1,lick
45,0.6765,1.8312,1,1,lick
46,1.2303,1.7627,1,1,lick
47,2.6204,1.7577,1,1,lick
48,2.2406,1.7615,1,1,lick
49,2.3526,1.8037,1,1,lick
50,0.9629,1.8225,1,1,lick
51,0.9444,1.7407,1,1,lick
52,0.5709,1.6581,1,1,lick
53,1.8848,1.6615,1,1,lick
54,2.7680,1.7017,1,1,lick
55,2.0866,1.7420,1,1,lick
56,1.0139,1.7419,1,1,lick
57,0.8052,1.6960,1,1,lick
58,1.6019,1.6613,1,1,lick
59,3.0040,1.6801,1,1,lick
60,2.5237,1.7108,1,1,lick
61,2.4831,1.7646,1,1,lick
62,1.2734,1.7861,1,1,lick
63,1.0079,1.7769,1,1,lick
64,1.1757,1.7144,1,1,lick
65,1.9327,1.7093,1,1,lick
66,2.9960,1.7505,1,1,lick
67,2.0130,1.7446,1,1,lick
68,1.3924,1.7448,1,1,lick
69,0.6426,1.7112,1,1,lick
70,1.3119,1.7131,1,1,lick
71,3.3904,1.7602,1,1,lick
72,2.3210,1.7343,1,1,lick
73,2.3312,1.7494,1,1,lick
74,1.0862,1.7548,1,1,lick
75,0.5396,1.7503,1,1,lick
76,0.8432,1.7373,1,1,lick
77,0.6436,1.6715,1,1,lick
78,2.3156,1.6740,1,1,lick
79,2.1956,1.6687,1,1,lick
80,1.8631,1.6987,1,1,lick
81,0.8719,1.6963,1,1,lick
82,0.5186,1.6946,1,1,lick
83,0.6994,1.6551,1,1,lick
84,1.0985,1.5994,1,1,lick
85,3.4334,1.6443,1,1,lick
86,2.3223,1.6879,1,1,lick
87,2.3702,1.7401,1,1,lick
88,1.8088,1.7470,1,1,lick
89,1.0338,1.6813,1,1,lick
90,0.7931,1.6236,1,1,lick
91,2.4443,1.6223,1,1,lick
92,2.6045,1.6667,1,1,lick
93,3.0586,1.7350,1,1,lick
94,0.7293,1.7202,1,1,lick
95,0.5892,1.6754,1,1,lick
96,0.7744,1.6013,1,1,lick
97,1.0604,1.5696,1,1,lick
98,3.7641,1.6486,1,1,lick
99,1.7277,1.6848,1,1,lick
100,1.8695,1.7034,1,1,lick
101,1.1432,1.6285,1,1,lick
102,1.1054,1.5879,1,1,lick
103,0.9526,1.5420,1,1,lick
104,2.2939,1.5823,1,1,lick
105,2.7485,1.6559,1,1,lick
106,1.6271,1.6820,1,1,lick
107,0.8417,1.6886,1,1,lick
108,0.7907,1.6378,1,1,lick
109,0.8599,1.5933,1,1,lick
110,2.7163,1.6217,1,1,lick
111,1.7157,1.6498,1,1,lick
112,1.3646,1.6780,1,1,lick
113,1.2943,1.6979,1,1,lick
114,1.0847,1.6974,1,1,lick
115,1.2813,1.6257,1,1,lick
116,1.4806,1.5976,1,1,lick
117,1.3689,1.5642,1,1,lick
118,2.7696,1.5963,1,1,lick
119,0.5996,1.5818,1,1,lick
120,0.6521,1.5771,1,1,lick
121,0.6933,1.5187,1,1,lick
122,1.5326,1.4830,1,1,lick
123,2.6633,1.4698,1,1,lick
124,1.4212,1.4929,1,1,lick
