frame_idx,motion_norm,rolling_mean_norm,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,stop
2,0.0002,0.0000,0,1,stop
3,0.0073,0.0038,1,1,stop
4,0.0069,0.0048,1,1,stop
5,0.0084,0.0057,1,1,stop
6,0.0085,0.0063,1,1,stop
7,0.0087,0.0067,1,1,stop
8,0.0070,0.0067,1,1,stop
9,0.0079,0.0069,1,1,stop
10,0.0067,0.0069,1,1,stop
11,0.0045,0.0066,1,1,stop
12,0.0081,0.0068,1,1,stop
13,0.0071,0.0068,1,1,stop
14,0.0087,0.0069,1,1,stop
15,0.0120,0.0073,1,1,stop
16,0.0136,0.0077,1,1,stop
17,0.0145,0.0081,1,1,stop
18,0.0078,0.0081,1,1,stop
19,0.0054,0.0080,1,1,stop
