frame_idx,motion_norm,rolling_mean_norm,is_still,detected,behavior_label
1,0.0000,0.0000,0,1,lick
2,0.0399,0.0000,0,1,lick
3,0.0280,0.0339,1,1,lick
4,0.0847,0.0509,1,1,lick
5,0.0570,0.0524,1,1,lick
6,0.0642,0.0548,1,1,lick
7,0.0681,0.0570,1,1,lick
8,0.0585,0.0572,1,1,lick
9,0.0284,0.0536,1,1,lick
10,0.0709,0.0555,1,1,lick
11,0.1031,0.0603,1,1,lick
12,0.0485,0.0592,1,1,lick
13,0.0356,0.0572,1,1,lick
14,0.0400,0.0559,1,1,lick
15,0.0570,0.0560,1,1,lick
16,0.0710,0.0570,1,1,lick
17,0.0731,0.0580,1,1,lick
18,0.0884,0.0598,1,1,lick
19,0.0446,0.0589,1,1,lick
