video_index,video_name,behavior,frame,time_sec,agg_cv,max_cv,max_seg,avg_body_size_px,midback_offset_ratio,midback_offset_jitter
5,stop_2,stop,16,0.533,0.020904816042345304,0.049093011766672134,Nose-Chest,714.492431640625,0.2545033097267151,0.01941232942044735
5,stop_2,stop,18,0.6,0.02307203712944801,0.058812856674194336,Nose-Chest,708.399658203125,0.2534167766571045,0.013710089027881622
5,stop_2,stop,20,0.667,0.02557267939958435,0.06902290880680084,Nose-Chest,701.7367553710938,0.2529231905937195,0.010920614935457706
5,stop_2,stop,22,0.733,0.027667370159178972,0.07972487807273865,Nose-Chest,695.4288330078125,0.25158220529556274,0.016078662127256393
5,stop_2,stop,24,0.8,0.027691224195922796,0.08015027642250061,Nose-Chest,688.6734619140625,0.2509487569332123,0.01791001670062542
5,stop_2,stop,26,0.867,0.026801521746585004,0.07824493944644928,Nose-Chest,682.034423828125,0.2503622770309448,0.02033088728785515
5,stop_2,stop,28,0.933,0.02456739774117103,0.06949630379676819,Nose-Chest,676.306396484375,0.2492542266845703,0.022969724610447884
5,stop_2,stop,30,1.0,0.021717905425108396,0.060600291937589645,Nose-Chest,671.260986328125,0.24890266358852386,0.022333381697535515
5,stop_2,stop,32,1.067,0.0184774688946513,0.04491500183939934,Nose-Chest,667.9153442382812,0.24781043827533722,0.020748838782310486
5,stop_2,stop,34,1.133,0.01551049267156766,0.027814440429210663,Nose-Chest,664.78564453125,0.24684612452983856,0.017745496705174446
5,stop_2,stop,36,1.2,0.016520492338503782,0.046004537492990494,Nose-Chest,662.5484619140625,0.24564486742019653,0.01118330005556345
5,stop_2,stop,38,1.267,0.020613945554941893,0.08021485805511475,Nose-Chest,660.525634765625,0.24561971426010132,0.012177709490060806
5,stop_2,stop,40,1.333,0.03338403505488084,0.17584316432476044,Nose-Chest,659.2669677734375,0.24468068778514862,0.01594124734401703
5,stop_2,stop,42,1.4,0.044772719677824244,0.264201819896698,Nose-Chest,658.3388671875,0.24315105378627777,0.0246096383780241
5,stop_2,stop,44,1.467,0.05383744097959537,0.31691715121269226,Nose-Chest,657.23974609375,0.2413480281829834,0.032526832073926926
5,stop_2,stop,46,1.533,0.058366977251493014,0.3156784772872925,Nose-Chest,656.2431640625,0.23798687756061554,0.03756847232580185
5,stop_2,stop,48,1.6,0.05689789834790505,0.2863563597202301,Nose-Chest,655.065185546875,0.2348746955394745,0.04206840693950653
5,stop_2,stop,50,1.667,0.050879796501249075,0.23628264665603638,Nose-Chest,654.6817626953125,0.23122800886631012,0.04267992824316025
5,stop_2,stop,52,1.733,0.043096882971720055,0.17759543657302856,Nose-Chest,653.715576171875,0.22738856077194214,0.0406893789768219
5,stop_2,stop,54,1.8,0.031676314412974395,0.10259955376386642,Nose-Chest,653.0359497070312,0.22324758768081665,0.03807464614510536
5,stop_2,stop,56,1.867,0.026809203868302014,0.10335204750299454,Nose-LEar,652.0709228515625,0.2192825973033905,0.036024969071149826
5,stop_2,stop,58,1.933,0.024595555921013538,0.09741813689470291,Nose-LEar,651.3921508789062,0.216010183095932,0.036123767495155334
5,stop_2,stop,60,2.0,0.02551043925520319,0.09917034953832626,Nose-LEar,650.4566650390625,0.2127782106399536,0.03556717187166214
5,stop_2,stop,62,2.067,0.02773738416055074,0.10786814242601395,Nose-LEar,649.4368896484375,0.2098858505487442,0.03473958745598793
5,stop_2,stop,64,2.133,0.027604237843591433,0.10815655440092087,Nose-LEar,648.3693237304688,0.20700356364250183,0.03297939524054527
5,stop_2,stop,66,2.2,0.025588668309725247,0.1001712903380394,Nose-LEar,647.690673828125,0.2044776976108551,0.028282253071665764
5,stop_2,stop,68,2.267,0.022038128979217548,0.08629666268825531,Nose-LEar,647.4290771484375,0.20246124267578125,0.020660465583205223
5,stop_2,stop,70,2.333,0.017674907898673646,0.04808567836880684,Nose-Chest,646.0804443359375,0.20251838862895966,0.025030044838786125
5,stop_2,stop,72,2.4,0.02254897327377246,0.0495092049241066,Nose-Chest,644.916259765625,0.20430037379264832,0.03859588876366615
5,stop_2,stop,74,2.467,0.0233334033535077,0.0414271205663681,Nose-LEar,644.0482177734375,0.20683616399765015,0.050632577389478683
5,stop_2,stop,76,2.533,0.019041260331869127,0.03459994122385979,Hip-LHKnee,643.6048583984375,0.20756764709949493,0.049772702157497406
5,stop_2,stop,78,2.6,0.01838425125461072,0.03248611092567444,Hip-LHKnee,643.14599609375,0.20818014442920685,0.04822860658168793
5,stop_2,stop,80,2.667,0.01767744729295373,0.029620902612805367,Hip-LHKnee,643.1993408203125,0.20914149284362793,0.04478248208761215
5,stop_2,stop,82,2.733,0.017391466721892356,0.028240490704774857,Hip-LHKnee,642.7883911132812,0.2102281153202057,0.04041534662246704
5,stop_2,stop,84,2.8,0.016596061084419488,0.025032058358192444,Hip-LHKnee,642.9827880859375,0.2113625407218933,0.035571515560150146
5,stop_2,stop,86,2.867,0.0159302880987525,0.02316804602742195,Hip-LHKnee,643.8473510742188,0.2112112194299698,0.03328775241971016
5,stop_2,stop,88,2.933,0.01419087527319789,0.021937308833003044,Hip-LHKnee,644.735595703125,0.20975688099861145,0.02868400141596794
5,stop_2,stop,90,3.0,0.008242781786248089,0.012312203645706177,MBack-Hip,645.24365234375,0.2078286111354828,0.008524681441485882
5,stop_2,stop,92,3.067,0.0063458522083237765,0.009326625615358353,MBack-Hip,646.0154418945312,0.20802663266658783,0.008409010246396065
5,stop_2,stop,94,3.133,0.005674566607922316,0.0077270627953112125,Chest-RFElb,647.2734375,0.20846645534038544,0.006817111279815435
