Keypoint,Mean,Std,Min,P5
Nose,0.7465,0.2803,0.2104,0.2581
Left_Ear,0.9024,0.1053,0.5801,0.6597
Right_Ear,0.8699,0.1357,0.4277,0.5913
Chest,0.9978,0.0023,0.9893,0.9932
Mid_Back,0.9989,0.0018,0.9893,0.9941
Hip,0.9997,0.0025,0.9702,0.9995
LF_Elbow,0.9975,0.0045,0.9790,0.9839
LF_Paw,0.9863,0.0133,0.9336,0.9619
RF_Elbow,0.9955,0.0044,0.9663,0.9878
RF_Paw,0.9892,0.0091,0.9590,0.9722
LH_Knee,0.8581,0.2023,0.0856,0.4089
LH_Paw,0.9706,0.0671,0.3118,0.8726
RH_Knee,0.9374,0.1241,0.0741,0.7632
RH_Paw,0.9622,0.0760,0.2515,0.8862
Tail_Root,0.0000,0.0000,0.0000,0.0000
Tail_Mid,0.0000,0.0000,0.0000,0.0000
Tail_Tip,0.0000,0.0000,0.0000,0.0000
BBox_Conf,0.9576,0.0052,0.9248,0.9492
