frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
1,0.8198,0.9136,0.9819,0.9976,0.9995,1.0000,0.9829,0.9697,0.9927,0.9741,0.7690,0.8789,0.9990,0.9858,0.0000,0.0000,0.0000,0.9644
2,0.8359,0.9180,0.9829,0.9980,0.9995,1.0000,0.9829,0.9702,0.9927,0.9741,0.7725,0.8750,0.9990,0.9854,0.0000,0.0000,0.0000,0.9644
3,0.8311,0.9165,0.9824,0.9976,0.9995,1.0000,0.9824,0.9692,0.9927,0.9736,0.7666,0.8726,0.9985,0.9849,0.0000,0.0000,0.0000,0.9644
4,0.8369,0.9194,0.9829,0.9980,0.9995,1.0000,0.9829,0.9702,0.9927,0.9741,0.7720,0.8755,0.9985,0.9849,0.0000,0.0000,0.0000,0.9644
5,0.8267,0.9155,0.9824,0.9976,0.9995,1.0000,0.9805,0.9673,0.9917,0.9722,0.7510,0.8677,0.9985,0.9829,0.0000,0.0000,0.0000,0.9644
6,0.8203,0.9102,0.9819,0.9976,0.9995,1.0000,0.9814,0.9663,0.9922,0.9722,0.7529,0.8770,0.9985,0.9839,0.0000,0.0000,0.0000,0.9644
7,0.8247,0.9136,0.9824,0.9976,0.9995,1.0000,0.9800,0.9663,0.9917,0.9717,0.7393,0.8633,0.9985,0.9824,0.0000,0.0000,0.0000,0.9644
8,0.8179,0.9106,0.9819,0.9976,0.9995,1.0000,0.9790,0.9644,0.9907,0.9702,0.7349,0.8604,0.9985,0.9824,0.0000,0.0000,0.0000,0.9644
9,0.8291,0.9126,0.9824,0.9976,0.9995,1.0000,0.9790,0.9648,0.9912,0.9707,0.7300,0.8623,0.9985,0.9824,0.0000,0.0000,0.0000,0.9644
10,0.8423,0.9165,0.9834,0.9980,0.9995,1.0000,0.9824,0.9688,0.9922,0.9731,0.7485,0.8745,0.9985,0.9839,0.0000,0.0000,0.0000,0.9644
11,0.8516,0.9175,0.9844,0.9980,0.9995,1.0000,0.9824,0.9683,0.9922,0.9722,0.7339,0.8672,0.9985,0.9829,0.0000,0.0000,0.0000,0.9644
12,0.8516,0.9170,0.9839,0.9980,0.9995,1.0000,0.9819,0.9678,0.9917,0.9722,0.7275,0.8638,0.9985,0.9824,0.0000,0.0000,0.0000,0.9644
13,0.8511,0.9189,0.9844,0.9980,0.9995,1.0000,0.9824,0.9678,0.9922,0.9722,0.7446,0.8726,0.9985,0.9834,0.0000,0.0000,0.0000,0.9644
14,0.8525,0.9219,0.9844,0.9980,0.9995,1.0000,0.9824,0.9683,0.9927,0.9731,0.7466,0.8682,0.9985,0.9829,0.0000,0.0000,0.0000,0.9644
15,0.8203,0.8877,0.9756,0.9971,0.9995,1.0000,0.9810,0.9736,0.9922,0.9805,0.7998,0.9229,0.9985,0.9902,0.0000,0.0000,0.0000,0.9644
16,0.8169,0.8833,0.9751,0.9971,0.9995,1.0000,0.9805,0.9717,0.9922,0.9790,0.7837,0.9185,0.9985,0.9893,0.0000,0.0000,0.0000,0.9639
17,0.8174,0.8843,0.9751,0.9971,0.9995,1.0000,0.9810,0.9727,0.9922,0.9795,0.7876,0.9209,0.9985,0.9897,0.0000,0.0000,0.0000,0.9639
18,0.8174,0.8843,0.9751,0.9971,0.9995,1.0000,0.9814,0.9727,0.9922,0.9800,0.7900,0.9219,0.9985,0.9897,0.0000,0.0000,0.0000,0.9639
19,0.9404,0.9023,0.9810,0.9985,0.9995,1.0000,0.9893,0.9785,0.9941,0.9810,0.8208,0.9326,0.9990,0.9922,0.0000,0.0000,0.0000,0.9648
20,0.9795,0.9204,0.9858,0.9990,1.0000,1.0000,0.9902,0.9785,0.9946,0.9805,0.8071,0.9346,0.9990,0.9922,0.0000,0.0000,0.0000,0.9653
21,0.9531,0.9009,0.9819,0.9995,0.9995,1.0000,0.9985,0.9902,0.9985,0.9839,0.9316,0.9712,1.0000,0.9971,0.0000,0.0000,0.0000,0.9624
22,0.9985,0.9570,0.9937,1.0000,1.0000,1.0000,0.9985,0.9883,0.9985,0.9834,0.9326,0.9761,1.0000,0.9971,0.0000,0.0000,0.0000,0.9639
23,0.8452,0.8740,0.9727,0.9985,0.9995,1.0000,0.9922,0.9819,0.9946,0.9854,0.7617,0.9507,0.9990,0.9922,0.0000,0.0000,0.0000,0.9648
24,0.8433,0.8735,0.9727,0.9985,0.9995,1.0000,0.9922,0.9819,0.9946,0.9854,0.7646,0.9517,0.9990,0.9922,0.0000,0.0000,0.0000,0.9648
25,0.9082,0.8716,0.9736,0.9990,0.9995,1.0000,0.9966,0.9863,0.9971,0.9863,0.8579,0.9692,0.9995,0.9951,0.0000,0.0000,0.0000,0.9644
26,0.9844,0.9209,0.9805,0.9990,0.9995,1.0000,0.9946,0.9800,0.9966,0.9819,0.8232,0.9644,0.9990,0.9941,0.0000,0.0000,0.0000,0.9639
27,0.9951,0.9009,0.9771,0.9995,0.9995,1.0000,0.9990,0.9893,0.9985,0.9834,0.9644,0.9927,1.0000,0.9985,0.0000,0.0000,0.0000,0.9624
28,0.9956,0.9170,0.9512,0.9995,1.0000,1.0000,0.9980,0.9819,0.9980,0.9810,0.9819,0.9946,1.0000,0.9990,0.0000,0.0000,0.0000,0.9624
29,0.9800,0.8506,0.9180,0.9990,1.0000,1.0000,0.9980,0.9766,0.9976,0.9727,0.9736,0.9932,0.9995,0.9985,0.0000,0.0000,0.0000,0.9614
30,0.9795,0.8491,0.9175,0.9990,1.0000,1.0000,0.9980,0.9766,0.9976,0.9727,0.9731,0.9932,0.9995,0.9985,0.0000,0.0000,0.0000,0.9614
31,0.9863,0.8672,0.9473,0.9995,1.0000,1.0000,0.9995,0.9893,0.9990,0.9810,0.9912,0.9971,1.0000,0.9995,0.0000,0.0000,0.0000,0.9624
