model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9173,0.1881,4.155,15.174,0.0172
old,1,Left_Ear,0.9822,0.0253,4.169,15.667,0.0000
old,2,Right_Ear,0.9600,0.0659,4.470,16.159,0.0000
old,3,Chest,0.9990,0.0017,2.611,9.792,0.0000
old,4,Mid_Back,0.9992,0.0010,2.793,10.740,0.0000
old,5,Hip,0.9999,0.0005,2.698,9.975,0.0000
old,6,LF_Elbow,0.9963,0.0219,3.610,14.399,0.0000
old,7,LF_Paw,0.9870,0.0296,6.249,26.900,0.0000
old,8,RF_Elbow,0.9962,0.0140,3.737,15.778,0.0000
old,9,RF_Paw,0.9726,0.0672,6.097,27.465,0.0000
old,10,LH_Knee,0.9622,0.1603,3.463,13.519,0.0336
old,11,LH_Paw,0.9576,0.1562,6.391,26.295,0.0274
old,12,RH_Knee,0.9937,0.0246,3.661,15.716,0.0000
old,13,RH_Paw,0.9779,0.0729,6.635,30.087,0.0000
old,14,Tail_Root,0.9976,0.0097,3.083,11.390,0.0000
old,15,Tail_Mid,0.9879,0.0470,4.340,15.810,0.0000
old,16,Tail_Tip,0.9096,0.1976,6.901,23.244,0.0382
new,0,Nose,0.9344,0.1793,4.277,15.570,0.0281
new,1,Left_Ear,0.9761,0.0332,4.310,16.324,0.0000
new,2,Right_Ear,0.9529,0.0837,4.611,16.984,0.0000
new,3,Chest,0.9986,0.0035,2.811,10.409,0.0000
new,4,Mid_Back,0.9990,0.0013,3.076,11.328,0.0000
new,5,Hip,0.9997,0.0014,2.739,10.035,0.0000
new,6,LF_Elbow,0.9949,0.0387,3.800,15.278,0.0000
new,7,LF_Paw,0.9813,0.0506,6.303,27.799,0.0000
new,8,RF_Elbow,0.9955,0.0300,3.718,15.633,0.0000
new,9,RF_Paw,0.9760,0.0637,5.997,27.184,0.0000
new,10,LH_Knee,0.9755,0.1197,3.424,13.468,0.0140
new,11,LH_Paw,0.9753,0.1054,6.702,26.922,0.0092
new,12,RH_Knee,0.9962,0.0143,3.788,15.510,0.0000
new,13,RH_Paw,0.9852,0.0482,6.776,29.600,0.0000
new,14,Tail_Root,0.9946,0.0270,3.225,12.273,0.0000
new,15,Tail_Mid,0.9857,0.0530,4.331,16.122,0.0000
new,16,Tail_Tip,0.8922,0.2022,6.708,22.053,0.0434
