frame,kp0_conf,kp1_conf,kp2_conf,kp3_conf,kp4_conf,kp5_conf,kp6_conf,kp7_conf,kp8_conf,kp9_conf,kp10_conf,kp11_conf,kp12_conf,kp13_conf,kp14_conf,kp15_conf,kp16_conf,bbox_conf
1,0.7051,0.9673,0.9854,0.9971,0.9990,1.0000,0.9937,0.9941,0.9980,0.9912,0.9805,0.9839,0.9917,0.9951,0.0000,0.0000,0.0000,0.9429
2,0.9351,0.9795,0.9946,0.9990,0.9990,1.0000,0.9980,0.9956,0.9990,0.9897,0.9736,0.9829,0.9902,0.9941,0.0000,0.0000,0.0000,0.9424
3,0.9409,0.9810,0.9951,0.9990,0.9990,1.0000,0.9980,0.9961,0.9990,0.9902,0.9751,0.9829,0.9902,0.9941,0.0000,0.0000,0.0000,0.9453
4,0.9458,0.9819,0.9946,0.9990,0.9990,1.0000,0.9985,0.9966,0.9995,0.9917,0.9834,0.9883,0.9922,0.9951,0.0000,0.0000,0.0000,0.9434
5,0.9458,0.9819,0.9941,0.9990,0.9990,1.0000,0.9985,0.9971,0.9995,0.9922,0.9844,0.9888,0.9912,0.9951,0.0000,0.0000,0.0000,0.9438
6,0.9219,0.9805,0.9932,0.9990,0.9990,1.0000,0.9980,0.9966,0.9990,0.9917,0.9805,0.9844,0.9888,0.9941,0.0000,0.0000,0.0000,0.9453
7,0.9429,0.9819,0.9941,0.9990,0.9990,1.0000,0.9980,0.9966,0.9990,0.9922,0.9805,0.9834,0.9878,0.9932,0.0000,0.0000,0.0000,0.9453
8,0.9565,0.9829,0.9946,0.9990,0.9990,1.0000,0.9980,0.9971,0.9990,0.9927,0.9824,0.9849,0.9883,0.9937,0.0000,0.0000,0.0000,0.9453
9,0.9595,0.9829,0.9956,0.9990,0.9990,1.0000,0.9980,0.9971,0.9995,0.9937,0.9829,0.9854,0.9888,0.9941,0.0000,0.0000,0.0000,0.9443
10,0.9512,0.9805,0.9951,0.9990,0.9990,1.0000,0.9985,0.9966,0.9990,0.9946,0.9829,0.9863,0.9888,0.9937,0.0000,0.0000,0.0000,0.9409
11,0.9683,0.9839,0.9961,0.9995,0.9990,1.0000,0.9990,0.9976,0.9995,0.9966,0.9893,0.9912,0.9893,0.9951,0.0000,0.0000,0.0000,0.9409
12,0.9771,0.9844,0.9966,0.9995,0.9990,1.0000,0.9995,0.9976,0.9995,0.9961,0.9883,0.9897,0.9883,0.9937,0.0000,0.0000,0.0000,0.9414
13,0.9595,0.9819,0.9966,0.9995,0.9990,1.0000,0.9990,0.9966,0.9995,0.9956,0.9883,0.9883,0.9878,0.9922,0.0000,0.0000,0.0000,0.9409
14,0.9204,0.9780,0.9951,0.9990,0.9985,1.0000,0.9985,0.9956,0.9995,0.9951,0.9858,0.9839,0.9868,0.9888,0.0000,0.0000,0.0000,0.9399
15,0.9336,0.9775,0.9956,0.9990,0.9985,1.0000,0.9990,0.9961,0.9995,0.9951,0.9873,0.9863,0.9893,0.9902,0.0000,0.0000,0.0000,0.9409
16,0.8989,0.9746,0.9941,0.9990,0.9990,1.0000,0.9990,0.9961,0.9995,0.9951,0.9897,0.9883,0.9912,0.9912,0.0000,0.0000,0.0000,0.9395
17,0.9395,0.9780,0.9956,0.9995,0.9990,1.0000,0.9990,0.9966,0.9995,0.9956,0.9897,0.9893,0.9937,0.9932,0.0000,0.0000,0.0000,0.9395
18,0.9609,0.9800,0.9961,0.9995,0.9990,1.0000,0.9995,0.9976,0.9995,0.9961,0.9927,0.9932,0.9956,0.9951,0.0000,0.0000,0.0000,0.9424
19,0.9614,0.9810,0.9961,0.9995,0.9990,1.0000,0.9995,0.9971,0.9995,0.9956,0.9897,0.9893,0.9937,0.9937,0.0000,0.0000,0.0000,0.9434
20,0.9722,0.9839,0.9961,0.9995,0.9990,1.0000,0.9990,0.9971,0.9995,0.9951,0.9883,0.9873,0.9907,0.9922,0.0000,0.0000,0.0000,0.9453
21,0.9741,0.9839,0.9961,0.9995,0.9990,1.0000,0.9995,0.9976,0.9995,0.9956,0.9878,0.9878,0.9922,0.9932,0.0000,0.0000,0.0000,0.9468
22,0.9751,0.9844,0.9966,0.9995,0.9990,1.0000,0.9990,0.9976,0.9995,0.9951,0.9829,0.9839,0.9927,0.9932,0.0000,0.0000,0.0000,0.9478
