frame,kp0_x,kp0_y,kp0_disp,kp1_x,kp1_y,kp1_disp,kp2_x,kp2_y,kp2_disp,kp3_x,kp3_y,kp3_disp,kp4_x,kp4_y,kp4_disp,kp5_x,kp5_y,kp5_disp,kp6_x,kp6_y,kp6_disp,kp7_x,kp7_y,kp7_disp,kp8_x,kp8_y,kp8_disp,kp9_x,kp9_y,kp9_disp,kp10_x,kp10_y,kp10_disp,kp11_x,kp11_y,kp11_disp,kp12_x,kp12_y,kp12_disp,kp13_x,kp13_y,kp13_disp,kp14_x,kp14_y,kp14_disp,kp15_x,kp15_y,kp15_disp,kp16_x,kp16_y,kp16_disp
1,1371.7500,500.2500,,1528.5000,278.6250,,1245.7500,233.6250,,1332.0000,622.1250,,974.2500,422.6250,,634.5000,511.5000,,1367.2500,722.6250,,1702.5000,790.5000,,1159.5000,755.2500,,1557.0000,848.2500,,768.0000,653.2500,,765.7500,848.2500,,804.7500,632.2500,,867.7500,874.5000,,,,,,,,,,
2,1371.7500,498.0000,2.2500,1530.0000,277.5000,1.8750,1245.7500,233.2500,0.3750,1335.0000,621.0000,3.2040,976.5000,422.2500,2.2810,634.8750,510.3750,1.1859,1368.0000,721.8750,1.0607,1704.0000,789.7500,1.6771,1162.5000,756.0000,3.0923,1563.0000,847.5000,6.0467,768.7500,652.1250,1.3521,766.5000,846.7500,1.6771,805.5000,631.8750,0.8385,867.0000,874.5000,0.7500,,,,,,,,,
3,1372.5000,496.5000,1.6771,1530.0000,275.2500,2.2500,1245.0000,232.1250,1.3521,1335.0000,619.8750,1.1250,978.0000,422.6250,1.5462,636.7500,510.0000,1.9121,1366.5000,720.3750,2.1213,1704.0000,789.7500,0.0000,1159.5000,752.2500,4.8023,1557.0000,846.0000,6.1847,766.8750,654.0000,2.6517,759.7500,849.0000,7.1151,807.0000,630.3750,2.1213,872.2500,872.2500,5.7118,,,,,,,,,
4,1371.0000,495.0000,2.1213,1530.0000,274.8750,0.3750,1244.2500,231.3750,1.0607,1338.0000,618.7500,3.2040,979.5000,421.1250,2.1213,637.5000,508.5000,1.6771,1370.2500,718.5000,4.1926,1704.0000,787.5000,2.2500,1162.5000,752.2500,3.0000,1560.0000,846.0000,3.0000,769.5000,651.7500,3.4573,765.7500,846.7500,6.4080,806.2500,629.6250,1.0607,870.0000,870.7500,2.7042,,,,,,,,,
5,1373.2500,492.7500,3.1820,1531.5000,274.1250,1.6771,1245.0000,231.0000,0.8385,1339.5000,617.6250,1.8750,981.7500,420.0000,2.5156,637.1250,507.3750,1.1859,1369.5000,717.3750,1.3521,1704.0000,787.5000,0.0000,1163.2500,752.2500,0.7500,1563.0000,845.2500,3.0923,768.0000,651.3750,1.5462,765.7500,845.2500,1.5000,806.2500,628.8750,0.7500,874.5000,868.5000,5.0312,,,,,,,,,
6,1374.7500,491.2500,2.1213,1531.5000,274.1250,0.0000,1246.5000,229.8750,1.8750,1340.2500,618.3750,1.0607,983.2500,418.8750,1.8750,639.0000,506.6250,2.0194,1372.5000,717.7500,3.0233,1704.0000,786.0000,1.5000,1165.5000,753.0000,2.3717,1564.5000,843.7500,2.1213,767.6250,650.2500,1.1859,761.2500,843.0000,5.0312,809.2500,628.1250,3.0923,877.5000,867.0000,3.3541,,,,,,,,,
7,1372.5000,491.2500,2.2500,1531.5000,274.8750,0.7500,1246.5000,229.5000,0.3750,1337.2500,615.0000,4.5156,976.5000,419.2500,6.7604,636.3750,505.5000,2.8559,1369.5000,715.1250,3.9863,1704.0000,783.7500,2.2500,1164.7500,749.2500,3.8243,1564.5000,843.0000,0.7500,765.7500,649.8750,1.9121,758.2500,843.7500,3.0923,807.0000,626.2500,2.9288,873.7500,867.7500,3.8243,,,,,,,,,
8,1371.7500,490.5000,1.0607,1532.2500,274.5000,0.8385,1246.5000,228.3750,1.1250,1338.0000,615.0000,0.7500,978.0000,418.5000,1.6771,636.3750,504.7500,0.7500,1371.0000,714.7500,1.5462,1704.0000,783.7500,0.0000,1164.0000,750.0000,1.0607,1566.0000,842.2500,1.6771,764.6250,649.1250,1.3521,756.0000,842.2500,2.7042,807.0000,625.5000,0.7500,876.7500,865.5000,3.7500,,,,,,,,,
9,1374.0000,488.2500,3.1820,1533.0000,273.7500,1.0607,1246.5000,227.2500,1.1250,1337.2500,613.1250,2.0194,979.5000,416.6250,2.4012,637.1250,502.5000,2.3717,1371.0000,712.5000,2.2500,1704.0000,784.5000,0.7500,1164.0000,747.7500,2.2500,1567.5000,838.5000,4.0389,760.8750,648.7500,3.7687,747.0000,841.5000,9.0312,807.7500,621.7500,3.8243,882.0000,858.7500,8.5513,,,,,,,,,
10,1374.0000,487.5000,0.7500,1533.7500,273.7500,0.7500,1248.0000,226.8750,1.5462,1336.5000,612.3750,1.0607,973.5000,415.8750,6.0467,636.3750,502.5000,0.7500,1373.2500,712.8750,2.2810,1705.5000,783.7500,1.6771,1166.2500,747.0000,2.3717,1567.5000,837.0000,1.5000,762.7500,648.3750,1.9121,748.5000,840.7500,1.6771,807.7500,622.8750,1.1250,877.5000,862.5000,5.8577,,,,,,,,,
