Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),24.63,22.09,-2.534,+10.29%
Mean Confidence,0.984,0.986,+0.002,+0.19%
Mean Jitter (px),6.49,5.85,-0.636,+9.80%
Missing Ratio,0.0%,0.0%,+0.0%,+0.00%
Nose Missing,1.0%,5.4%,+4.4%,-4.37%
Paw Missing,0.1%,0.1%,+0.0%,-0.02%
Tail Missing,3.3%,3.4%,+0.1%,-2.67%
Tail Tip Missing,7.8%,7.8%,-0.0%,+0.03%
