Keypoint,Mean,Std,P95,Max
Nose,1.0684,0.7485,2.5156,3.5377
Left_Ear,0.8948,0.6837,1.8750,3.2040
Right_Ear,0.8735,0.5727,1.8750,3.2040
Chest,1.2553,0.7807,3.0000,4.5156
Mid_Back,1.5520,1.1153,3.7770,6.7604
Hip,1.2466,0.7410,2.6595,3.7500
LF_Elbow,1.3958,0.8863,3.0337,4.3732
LF_Paw,1.1814,0.8834,2.7042,4.5621
RF_Elbow,1.7831,1.1191,3.8243,6.0000
RF_Paw,2.0683,1.4293,4.5893,6.7082
LH_Knee,1.6731,1.0475,3.7687,4.6385
LH_Paw,3.3115,2.2934,8.2840,9.8647
RH_Knee,1.3978,0.8088,3.0233,4.0389
RH_Paw,2.5772,1.6635,5.8577,8.5513
Tail_Root,0.0000,0.0000,0.0000,0.0000
Tail_Mid,0.0000,0.0000,0.0000,0.0000
Tail_Tip,0.0000,0.0000,0.0000,0.0000
