model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8630,0.2661,6.732,23.099,0.0454
old,1,Left_Ear,0.9704,0.0455,7.349,25.316,0.0003
old,2,Right_Ear,0.9526,0.0628,7.787,27.868,0.0002
old,3,Chest,0.9984,0.0039,4.947,16.137,0.0000
old,4,Mid_Back,0.9978,0.0064,4.713,16.824,0.0000
old,5,Hip,0.9978,0.0237,4.844,17.594,0.0000
old,6,LF_Elbow,0.9943,0.0260,6.513,25.433,0.0000
old,7,LF_Paw,0.9877,0.0362,10.908,43.867,0.0002
old,8,RF_Elbow,0.9937,0.0209,6.441,26.229,0.0000
old,9,RF_Paw,0.9789,0.0451,10.876,49.913,0.0000
old,10,LH_Knee,0.9666,0.1478,6.082,23.797,0.0138
old,11,LH_Paw,0.9681,0.1169,11.254,48.132,0.0027
old,12,RH_Knee,0.9885,0.0567,6.302,26.933,0.0014
old,13,RH_Paw,0.9704,0.0936,11.251,49.775,0.0033
old,14,Tail_Root,0.9861,0.0931,5.385,17.933,0.0074
old,15,Tail_Mid,0.9663,0.1442,6.031,21.802,0.0128
old,16,Tail_Tip,0.8531,0.2560,8.899,30.177,0.0621
new,0,Nose,0.8881,0.2302,6.498,23.267,0.0308
new,1,Left_Ear,0.9643,0.0738,6.848,24.738,0.0002
new,2,Right_Ear,0.9466,0.0784,6.900,23.488,0.0000
new,3,Chest,0.9982,0.0038,4.443,15.306,0.0000
new,4,Mid_Back,0.9985,0.0030,4.526,17.052,0.0000
new,5,Hip,0.9978,0.0208,4.540,15.844,0.0000
new,6,LF_Elbow,0.9649,0.1458,5.910,22.587,0.0129
new,7,LF_Paw,0.9709,0.0823,9.739,42.169,0.0000
new,8,RF_Elbow,0.9962,0.0178,6.072,24.857,0.0000
new,9,RF_Paw,0.9718,0.0506,9.669,43.328,0.0000
new,10,LH_Knee,0.9591,0.1594,5.525,21.211,0.0179
new,11,LH_Paw,0.9573,0.1394,10.571,43.123,0.0021
new,12,RH_Knee,0.9740,0.0902,5.772,22.229,0.0010
new,13,RH_Paw,0.9503,0.1474,10.217,44.703,0.0029
new,14,Tail_Root,0.9824,0.0816,4.685,15.331,0.0045
new,15,Tail_Mid,0.9501,0.1511,5.521,18.107,0.0110
new,16,Tail_Tip,0.8440,0.2725,7.721,27.717,0.0591
