model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.9355,0.1797,8.537,28.489,0.0574
old,1,Left_Ear,0.9712,0.0763,9.085,34.958,0.0025
old,2,Right_Ear,0.9706,0.0812,8.629,31.416,0.0043
old,3,Chest,0.9965,0.0341,4.362,15.987,0.0000
old,4,Mid_Back,0.9990,0.0013,4.348,15.869,0.0000
old,5,Hip,0.9999,0.0005,4.993,18.783,0.0000
old,6,LF_Elbow,0.9985,0.0025,4.327,16.831,0.0000
old,7,LF_Paw,0.9853,0.0471,5.666,22.748,0.0011
old,8,RF_Elbow,0.9956,0.0190,4.313,16.456,0.0000
old,9,RF_Paw,0.9747,0.0639,5.288,21.313,0.0014
old,10,LH_Knee,0.9973,0.0100,4.761,18.529,0.0000
old,11,LH_Paw,0.9929,0.0209,7.779,29.288,0.0000
old,12,RH_Knee,0.9932,0.0192,4.674,17.956,0.0000
old,13,RH_Paw,0.9877,0.0366,6.874,28.404,0.0000
old,14,Tail_Root,0.9937,0.0396,6.113,22.454,0.0005
old,15,Tail_Mid,0.9890,0.0421,7.874,28.259,0.0002
old,16,Tail_Tip,0.8943,0.2205,12.057,42.750,0.0777
new,0,Nose,0.9489,0.1665,8.551,28.859,0.0538
new,1,Left_Ear,0.9830,0.0393,8.612,32.377,0.0000
new,2,Right_Ear,0.9736,0.0649,8.458,31.243,0.0028
new,3,Chest,0.9975,0.0219,4.178,14.714,0.0000
new,4,Mid_Back,0.9985,0.0021,4.296,16.146,0.0000
new,5,Hip,0.9999,0.0008,4.553,16.147,0.0000
new,6,LF_Elbow,0.9986,0.0032,4.195,15.356,0.0000
new,7,LF_Paw,0.9903,0.0380,5.716,22.713,0.0005
new,8,RF_Elbow,0.9977,0.0145,4.111,15.083,0.0000
new,9,RF_Paw,0.9830,0.0555,5.424,21.612,0.0002
new,10,LH_Knee,0.9968,0.0126,4.480,16.750,0.0000
new,11,LH_Paw,0.9936,0.0216,7.326,27.352,0.0000
new,12,RH_Knee,0.9909,0.0250,4.594,17.684,0.0000
new,13,RH_Paw,0.9845,0.0442,6.710,26.846,0.0000
new,14,Tail_Root,0.9914,0.0482,5.679,20.547,0.0009
new,15,Tail_Mid,0.9833,0.0605,6.929,23.468,0.0015
new,16,Tail_Tip,0.8896,0.2288,10.932,40.609,0.0709
