metric,118_best_model,120_best_model,best,delta,primary
overall_accuracy,0.8286,0.8314,120_best_model,0.0028,YES
overall_top2_accuracy,0.8762,0.8605,118_best_model,0.0157,
overall_macro_f1,0.7857,0.7905,120_best_model,0.0048,
overall_event_det_rate_ratio,1.0000,1.0000,=,0.0000,
overall_event_det_rate_prob,1.0000,1.0000,=,0.0000,

walk_accuracy,0.9517,0.9644,120_best_model,0.0127,YES
walk_event_rate,1.0000,1.0000,=,0.0000,
walk_top2_accuracy,1.0000,1.0000,=,0.0000,
walk_avg_true_prob,0.9483,0.9660,120_best_model,0.0177,
walk_max_true_prob,0.9998,0.9999,=,0.0002,
walk_prob_event_rate,1.0000,1.0000,=,0.0000,
walk_n_videos_detected,4/4,4/4,-,-
walk_prob_videos_detected,4/4,4/4,-,-
walk_n_correct,374,379,-,-
walk_n_windows,393,393,-,-

lick_accuracy,1.0000,1.0000,=,0.0000,YES
lick_event_rate,1.0000,1.0000,=,0.0000,
lick_top2_accuracy,1.0000,1.0000,=,0.0000,
lick_avg_true_prob,0.8198,0.8845,120_best_model,0.0647,
lick_max_true_prob,0.9653,0.9517,118_best_model,0.0136,
lick_prob_event_rate,1.0000,1.0000,=,0.0000,
lick_n_videos_detected,5/5,5/5,-,-
lick_prob_videos_detected,5/5,5/5,-,-
lick_n_correct,209,209,-,-
lick_n_windows,209,209,-,-

scratch_accuracy,0.5291,0.5381,120_best_model,0.0090,YES
scratch_event_rate,1.0000,1.0000,=,0.0000,
scratch_top2_accuracy,0.5874,0.6502,120_best_model,0.0628,
scratch_avg_true_prob,0.5183,0.5340,120_best_model,0.0157,
scratch_max_true_prob,0.9992,0.9992,=,0.0000,
scratch_prob_event_rate,1.0000,1.0000,=,0.0000,
scratch_n_videos_detected,5/5,5/5,-,-
scratch_prob_videos_detected,5/5,5/5,-,-
scratch_n_correct,118,120,-,-
scratch_n_windows,223,223,-,-

shake_accuracy,0.3587,0.3696,120_best_model,0.0109,YES
shake_event_rate,1.0000,1.0000,=,0.0000,
shake_top2_accuracy,0.7935,0.6522,118_best_model,0.1413,
shake_avg_true_prob,0.3636,0.3798,120_best_model,0.0161,
shake_max_true_prob,1.0000,1.0000,=,0.0000,
shake_prob_event_rate,1.0000,1.0000,=,0.0000,
shake_n_videos_detected,6/6,6/6,-,-
shake_prob_videos_detected,6/6,6/6,-,-
shake_n_correct,66,68,-,-
shake_n_windows,184,184,-,-

stop_accuracy,0.9929,0.9810,118_best_model,0.0119,YES
stop_event_rate,1.0000,1.0000,=,0.0000,
stop_top2_accuracy,1.0000,1.0000,=,0.0000,
stop_avg_true_prob,0.9568,0.9370,118_best_model,0.0198,
stop_max_true_prob,0.9978,0.9970,=,0.0008,
stop_prob_event_rate,1.0000,1.0000,=,0.0000,
stop_n_videos_detected,7/7,7/7,-,-
stop_prob_videos_detected,7/7,7/7,-,-
stop_n_correct,417,412,-,-
stop_n_windows,420,420,-,-

