Alpha,BBox_P95_Raw,BBox_P95_Smooth,BBox_Improvement_%,Mean_Keypoint_P95_Raw,Mean_Keypoint_P95_Smooth,Keypoint_Improvement_%,TailTip_P95_Raw,TailTip_P95_Smooth,Nose_P95_Raw,Nose_P95_Smooth
1.0,1.6771,1.6771,0.00,3.5417,3.5417,0.00,0.0000,0.0000,2.6089,2.6089
0.8,1.6771,1.5290,8.83,3.5417,3.4737,1.92,0.0000,0.0000,2.6089,2.5596
0.6,1.6771,1.3501,19.50,3.5417,3.4020,3.95,0.0000,0.0000,2.6089,2.4862
0.4,1.6771,1.1966,28.65,3.5417,3.3714,4.81,0.0000,0.0000,2.6089,2.4488
0.2,1.6771,1.0258,38.83,3.5417,3.3909,4.26,0.0000,0.0000,2.6089,2.4307
