model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8696,0.2453,6.546,23.539,0.0383
old,1,Left_Ear,0.9712,0.0563,7.185,24.910,0.0000
old,2,Right_Ear,0.9612,0.0407,7.521,26.810,0.0000
old,3,Chest,0.9986,0.0028,4.631,15.320,0.0000
old,4,Mid_Back,0.9985,0.0035,4.426,15.429,0.0000
old,5,Hip,0.9982,0.0199,4.637,15.674,0.0000
old,6,LF_Elbow,0.9751,0.1127,6.064,23.670,0.0079
old,7,LF_Paw,0.9644,0.1095,10.484,43.596,0.0000
old,8,RF_Elbow,0.9920,0.0348,6.233,25.088,0.0000
old,9,RF_Paw,0.9719,0.0750,9.955,45.431,0.0000
old,10,LH_Knee,0.9586,0.1685,5.855,23.220,0.0148
old,11,LH_Paw,0.9541,0.1623,11.248,48.724,0.0150
old,12,RH_Knee,0.9909,0.0475,6.208,25.799,0.0011
old,13,RH_Paw,0.9712,0.0982,11.190,50.652,0.0024
old,14,Tail_Root,0.9887,0.0856,4.823,16.373,0.0053
old,15,Tail_Mid,0.9716,0.1262,5.600,20.331,0.0108
old,16,Tail_Tip,0.8446,0.2579,8.288,27.538,0.0593
new,0,Nose,0.0000,0.0000,0.000,0.000,0.0000
new,1,Left_Ear,0.0000,0.0000,0.000,0.000,0.0000
new,2,Right_Ear,0.0000,0.0000,0.000,0.000,0.0000
new,3,Chest,0.0000,0.0000,0.000,0.000,0.0000
new,4,Mid_Back,0.0000,0.0000,0.000,0.000,0.0000
new,5,Hip,0.0000,0.0000,0.000,0.000,0.0000
new,6,LF_Elbow,0.0000,0.0000,0.000,0.000,0.0000
new,7,LF_Paw,0.0000,0.0000,0.000,0.000,0.0000
new,8,RF_Elbow,0.0000,0.0000,0.000,0.000,0.0000
new,9,RF_Paw,0.0000,0.0000,0.000,0.000,0.0000
new,10,LH_Knee,0.0000,0.0000,0.000,0.000,0.0000
new,11,LH_Paw,0.0000,0.0000,0.000,0.000,0.0000
new,12,RH_Knee,0.0000,0.0000,0.000,0.000,0.0000
new,13,RH_Paw,0.0000,0.0000,0.000,0.000,0.0000
new,14,Tail_Root,0.0000,0.0000,0.000,0.000,0.0000
new,15,Tail_Mid,0.0000,0.0000,0.000,0.000,0.0000
new,16,Tail_Tip,0.0000,0.0000,0.000,0.000,0.0000
