frame,kp0_x,kp0_y,kp0_disp,kp1_x,kp1_y,kp1_disp,kp2_x,kp2_y,kp2_disp,kp3_x,kp3_y,kp3_disp,kp4_x,kp4_y,kp4_disp,kp5_x,kp5_y,kp5_disp,kp6_x,kp6_y,kp6_disp,kp7_x,kp7_y,kp7_disp,kp8_x,kp8_y,kp8_disp,kp9_x,kp9_y,kp9_disp,kp10_x,kp10_y,kp10_disp,kp11_x,kp11_y,kp11_disp,kp12_x,kp12_y,kp12_disp,kp13_x,kp13_y,kp13_disp,kp14_x,kp14_y,kp14_disp,kp15_x,kp15_y,kp15_disp,kp16_x,kp16_y,kp16_disp
14,1128.0000,475.1250,6.0117,1107.7500,351.0000,4.3732,1087.5000,355.8750,23.3496,993.0000,546.0000,5.3033,903.0000,378.7500,3.8243,769.5000,432.3750,6.7915,1000.5000,589.5000,7.0755,1101.7500,709.8750,22.8873,880.5000,577.8750,5.3033,928.5000,702.3750,11.4052,853.5000,549.0000,4.5621,837.0000,674.2500,20.5943,793.5000,532.8750,4.2426,726.7500,650.2500,7.5374,,,,,,,,,
15,1133.2500,481.1250,7.9726,1106.2500,357.0000,6.1847,1077.7500,363.3750,12.3009,991.5000,550.5000,4.7434,903.0000,375.3750,3.3750,768.7500,431.6250,1.0607,1006.5000,594.0000,7.5000,1111.5000,717.7500,12.5331,879.0000,576.0000,2.4012,924.0000,700.5000,4.8750,853.5000,550.1250,1.1250,834.7500,674.2500,2.2500,790.5000,532.8750,3.0000,721.5000,649.8750,5.2634,,,,,,,,,
16,1129.5000,473.6250,8.3853,1101.7500,360.0000,5.4083,1089.7500,365.6250,12.2091,1001.2500,552.0000,9.8647,902.2500,375.7500,0.8385,763.5000,432.7500,5.3692,1005.7500,594.7500,1.0607,1113.0000,721.5000,4.0389,881.2500,573.7500,3.1820,915.7500,701.2500,8.2840,850.5000,549.0000,3.2040,834.0000,677.2500,3.0923,790.5000,531.3750,1.5000,718.5000,652.5000,3.9863,,,,,,,,,
17,1142.2500,491.2500,21.7532,1113.0000,363.7500,11.8585,1078.5000,375.3750,14.8871,999.0000,558.3750,6.7604,906.0000,370.1250,6.7604,763.1250,430.1250,2.6517,1006.5000,597.3750,2.7300,1110.7500,726.7500,5.7118,874.5000,573.7500,6.7500,911.2500,701.2500,4.5000,849.7500,548.6250,0.8385,831.0000,674.2500,4.2426,786.7500,528.7500,4.5775,718.1250,647.2500,5.2634,,,,,,,,,
18,1146.7500,493.5000,5.0312,1114.5000,374.2500,10.6066,1062.0000,390.0000,22.0486,1007.2500,566.2500,11.4052,906.7500,375.3750,5.3033,761.2500,435.0000,5.2231,1002.0000,601.8750,6.3640,1096.5000,730.5000,14.7352,876.0000,577.1250,3.6933,905.2500,701.6250,6.0117,846.0000,549.0000,3.7687,828.0000,670.8750,4.5156,786.7500,532.5000,3.7500,724.5000,651.0000,7.3962,,,,,,,,,
19,1153.5000,495.3750,7.0056,1125.7500,384.3750,15.1353,1079.2500,392.6250,17.4486,1010.2500,567.0000,3.0923,903.0000,380.2500,6.1505,761.2500,440.6250,5.6250,997.5000,604.1250,5.0312,1086.0000,729.7500,10.5268,879.0000,578.6250,3.3541,900.7500,704.6250,5.4083,841.5000,553.5000,6.3640,817.5000,675.7500,11.5765,789.0000,538.8750,6.7604,726.0000,657.7500,6.9147,,,,,,,,,
20,1161.7500,497.6250,8.5513,1137.0000,384.7500,11.2562,1081.5000,399.0000,6.7604,1017.0000,570.3750,7.5467,897.0000,380.2500,6.0000,759.7500,446.2500,5.8216,993.0000,605.2500,4.6385,1078.5000,728.6250,7.5839,877.5000,582.0000,3.6933,897.0000,705.7500,3.9151,837.7500,555.7500,4.3732,812.2500,678.3750,5.8697,792.7500,546.7500,8.7223,735.7500,668.2500,14.3287,,,,,,,,,
21,1169.2500,496.8750,7.5374,1141.5000,389.6250,6.6344,1086.0000,399.7500,4.5621,1018.5000,569.2500,1.8750,898.5000,378.0000,2.7042,761.2500,447.7500,2.1213,990.7500,604.5000,2.3717,1076.2500,727.5000,2.5156,879.0000,579.0000,3.3541,894.7500,705.7500,2.2500,840.0000,556.1250,2.2810,819.0000,680.6250,7.1151,797.2500,548.6250,4.8750,749.2500,673.8750,14.6250,,,,,,,,,
22,1174.5000,504.7500,9.4646,1152.0000,385.8750,11.1496,1096.5000,401.6250,10.6661,1017.0000,566.2500,3.3541,897.7500,372.7500,5.3033,758.6250,444.3750,4.2757,990.0000,600.0000,4.5621,1068.7500,727.5000,7.5000,881.2500,578.2500,2.3717,890.2500,703.1250,5.2097,833.2500,551.2500,8.3264,817.5000,681.0000,1.5462,806.2500,547.5000,9.0700,777.7500,678.3750,28.8531,,,,,,,,,
23,1174.5000,506.2500,1.5000,1160.2500,385.8750,8.2500,1101.7500,400.1250,5.4601,1023.7500,567.7500,6.9147,896.2500,371.6250,1.8750,759.0000,448.1250,3.7687,989.2500,599.6250,0.8385,1062.7500,730.5000,6.7082,888.0000,580.1250,7.0056,894.0000,703.5000,3.7687,838.5000,555.7500,6.9147,828.0000,684.3750,11.0291,816.7500,553.8750,12.2838,795.7500,684.0000,18.8584,,,,,,,,,
24,1182.0000,507.0000,7.5374,1165.5000,383.6250,5.7118,1104.0000,398.6250,2.7042,1028.2500,570.0000,5.0312,896.2500,373.1250,1.5000,759.3750,450.3750,2.2810,985.5000,600.7500,3.9151,1053.0000,732.7500,10.0062,895.5000,588.0000,10.8750,914.2500,711.7500,21.8661,837.0000,558.0000,2.7042,823.5000,685.5000,4.6385,819.7500,561.0000,7.7308,802.5000,691.5000,10.0902,,,,,,,,,
25,1183.5000,507.7500,1.6771,1166.2500,383.2500,0.8385,1110.0000,396.7500,6.2861,1029.7500,570.7500,1.6771,894.7500,370.5000,3.0233,757.5000,446.6250,4.1926,984.7500,597.0000,3.8243,1050.7500,727.1250,6.0583,906.0000,595.8750,13.1250,954.0000,717.0000,40.0952,823.5000,553.5000,14.2302,798.0000,678.3750,26.4767,824.2500,561.0000,4.5000,819.0000,692.6250,16.5383,,,,,,,,,
26,1185.7500,505.5000,3.1820,1171.5000,383.2500,5.2500,1107.7500,397.5000,2.3717,1045.5000,576.3750,16.7243,886.5000,375.7500,9.7788,753.0000,452.6250,7.5000,984.0000,594.7500,2.3717,1036.5000,713.2500,19.8891,926.2500,605.2500,22.3149,1002.0000,717.7500,48.0059,802.5000,556.8750,21.2695,751.5000,668.6250,47.5112,827.2500,565.8750,5.7241,831.0000,688.5000,12.6892,,,,,,,,,
27,1195.5000,507.7500,10.0062,1172.2500,379.8750,3.4573,1119.7500,396.0000,12.0934,1039.5000,565.8750,12.0934,912.0000,377.6250,25.5688,762.0000,437.2500,17.8155,967.5000,585.0000,19.1654,1014.0000,712.1250,22.5281,945.0000,609.7500,19.2824,1066.5000,712.5000,64.7133,796.5000,548.2500,10.5067,751.5000,667.5000,1.1250,818.2500,557.2500,12.4656,817.5000,684.7500,14.0112,,,,,,,,,
28,1194.7500,503.6250,4.1926,1177.5000,382.5000,5.8697,1125.0000,396.0000,5.2500,1047.0000,565.8750,7.5000,910.5000,381.7500,4.3893,758.2500,440.2500,4.8023,966.7500,587.2500,2.3717,1009.5000,718.5000,7.8032,963.0000,619.8750,20.6523,1101.0000,716.6250,34.7457,801.0000,553.8750,7.2035,764.2500,666.7500,12.7720,810.0000,559.5000,8.5513,798.0000,675.7500,21.4767,,,,,,,,,
29,1197.0000,506.6250,3.7500,1183.5000,383.2500,6.0467,1134.0000,396.7500,9.0312,1050.0000,564.3750,3.3541,905.2500,387.3750,7.6944,754.5000,444.3750,5.5748,966.0000,585.7500,1.6771,1006.5000,720.7500,3.7500,981.7500,626.2500,19.8041,1137.0000,717.7500,36.0176,785.2500,556.8750,16.0332,736.5000,669.0000,27.8411,810.0000,563.2500,3.7500,801.7500,680.2500,5.8577,,,,,,,,,
30,1200.0000,503.2500,4.5156,1186.5000,382.8750,3.0233,1135.5000,397.5000,1.6771,1057.5000,564.0000,7.5094,903.0000,392.2500,5.3692,751.5000,444.0000,3.0233,964.5000,582.0000,4.0389,996.7500,718.5000,10.0062,1000.5000,630.0000,19.1213,1160.2500,723.7500,24.0117,776.2500,558.0000,9.0700,719.2500,672.0000,17.5089,804.0000,562.8750,6.0117,789.0000,680.6250,12.7555,,,,,,,,,
31,1201.5000,499.5000,4.0389,1189.5000,381.7500,3.2040,1136.2500,397.1250,0.8385,1067.2500,568.5000,10.7384,897.0000,393.7500,6.1847,742.8750,445.5000,8.7545,959.2500,582.7500,5.3033,980.2500,719.6250,16.5383,1014.7500,636.7500,15.7678,1173.7500,735.7500,18.0624,771.0000,559.8750,5.5748,707.2500,672.7500,12.0234,797.2500,566.6250,7.7217,774.7500,684.0000,14.6442,,,,,,,,,
32,1202.2500,501.0000,1.6771,1191.7500,385.1250,4.0562,1135.5000,399.7500,2.7300,1066.5000,569.2500,1.0607,893.2500,392.6250,3.9151,735.0000,444.3750,7.9550,951.7500,582.7500,7.5000,972.0000,720.7500,8.3264,1011.7500,637.5000,3.0923,1171.5000,741.7500,6.4080,773.2500,559.8750,2.2500,718.5000,676.1250,11.7453,787.5000,566.6250,9.7500,759.7500,685.5000,15.0748,,,,,,,,,
33,1203.0000,504.0000,3.0923,1190.2500,389.2500,4.3893,1147.5000,399.7500,12.0000,1063.5000,575.6250,7.0456,887.2500,391.8750,6.0467,725.2500,447.3750,10.2011,947.2500,583.8750,4.6385,961.5000,718.1250,10.8232,1006.5000,643.5000,7.9726,1158.0000,755.2500,19.0919,778.5000,563.6250,6.4517,728.6250,684.7500,13.3006,780.0000,576.7500,12.6002,747.7500,696.0000,15.9452,,,,,,,,,
34,1203.7500,514.5000,10.5268,1194.0000,390.0000,3.8243,1141.5000,411.3750,13.0821,1059.0000,581.2500,7.2035,881.2500,393.0000,6.1046,721.8750,450.7500,4.7730,945.0000,587.6250,4.3732,960.7500,715.8750,2.3717,994.5000,645.3750,12.1456,1140.0000,755.2500,18.0000,784.5000,566.6250,6.7082,752.2500,687.0000,23.7319,779.2500,583.1250,6.4190,752.2500,702.3750,7.8032,,,,,,,,,
35,1204.5000,522.7500,8.2840,1197.0000,394.8750,5.7241,1143.0000,420.0000,8.7545,1060.5000,585.0000,4.0389,879.0000,393.7500,2.3717,720.7500,454.1250,3.5576,941.2500,590.2500,4.5775,952.5000,717.7500,8.4604,990.7500,645.7500,3.7687,1130.2500,753.0000,10.0062,793.5000,569.6250,9.4868,769.5000,691.5000,17.8273,780.0000,587.6250,4.5621,752.2500,708.0000,5.6250,,,,,,,,,
36,1209.0000,528.0000,6.9147,1198.5000,395.6250,1.6771,1140.7500,424.8750,5.3692,1059.0000,586.8750,2.4012,874.5000,390.7500,5.4083,714.7500,451.1250,6.7082,938.2500,589.5000,3.0923,947.2500,717.3750,5.2634,987.0000,644.2500,4.0389,1119.7500,753.0000,10.5000,785.2500,567.0000,8.6575,755.2500,687.0000,14.9436,774.0000,587.2500,6.0117,743.6250,708.0000,8.6250,,,,,,,,,
37,1211.2500,532.1250,4.6987,1200.0000,404.2500,8.7545,1141.5000,425.6250,1.0607,1056.7500,587.6250,2.3717,878.2500,389.6250,3.9151,714.0000,447.7500,3.4573,930.7500,589.8750,7.5094,933.7500,717.0000,13.5052,980.2500,640.8750,7.5467,1109.2500,753.0000,10.5000,792.7500,571.5000,8.7464,767.2500,690.0000,12.3693,766.5000,584.6250,7.9461,726.7500,702.3750,17.7878,,,,,,,,,
38,1208.2500,535.5000,4.5156,1204.5000,412.5000,9.3975,1140.0000,426.0000,1.5462,1056.7500,590.2500,2.6250,891.0000,389.2500,12.7555,721.5000,438.7500,11.7154,927.0000,585.7500,5.5748,915.0000,711.0000,19.6866,981.7500,632.2500,8.7545,1105.5000,750.0000,4.8023,804.7500,566.6250,12.9524,786.0000,689.6250,18.7537,765.7500,573.7500,10.9008,714.3750,691.5000,16.4744,,,,,,,,,
39,1207.5000,534.7500,1.0607,1208.2500,420.7500,9.0623,1141.5000,425.6250,1.5462,1056.0000,591.0000,1.0607,895.5000,385.8750,5.6250,718.5000,436.8750,3.5377,928.5000,581.2500,4.7434,900.0000,701.2500,17.8903,981.0000,628.1250,4.1926,1095.0000,751.5000,10.6066,824.2500,563.6250,19.7294,828.7500,690.7500,42.7648,763.1250,570.0000,4.5775,712.8750,690.3750,1.8750,,,,,,,,,
40,1208.2500,538.1250,3.4573,1209.0000,423.0000,2.3717,1142.2500,423.0000,2.7300,1054.5000,591.0000,1.5000,894.7500,380.6250,5.3033,717.0000,440.6250,4.0389,945.7500,583.8750,17.4486,933.7500,692.2500,34.9294,972.0000,622.1250,10.8167,1087.5000,742.5000,11.7154,843.0000,563.2500,18.7537,869.2500,693.3750,40.5850,763.5000,571.8750,1.9121,708.7500,696.7500,7.5932,,,,,,,,,
41,1209.7500,537.0000,1.8750,1218.0000,417.0000,10.8167,1144.5000,422.2500,2.3717,1056.0000,585.7500,5.4601,899.2500,384.0000,5.6250,711.7500,436.1250,6.9147,962.2500,596.2500,20.6250,989.2500,708.7500,57.9008,965.2500,621.7500,6.7604,1072.5000,747.0000,15.6605,834.0000,564.3750,9.0700,870.0000,701.2500,7.9106,756.7500,569.2500,7.2425,695.2500,697.1250,13.5052,,,,,,,,,
